node,cost,prefix_rows,first_decision_date,unused_preparation_rows_excluded,status
ENTRY_VINTAGE_EXIT,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
ENTRY_VINTAGE_EXIT,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
VINTAGE_REFERENCE_RISK,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
DOWNSIDE_REFERENCE_RISK,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
VINTAGE_REFERENCE_RISK,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
DOWNSIDE_REFERENCE_RISK,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
PANIC_ONLY,BASE,3222,2013-05-31,245,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
REARM_RIDGE_CONTINUOUS,BASE,3222,2013-05-31,245,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
CONTINUOUS_REFERENCE_MIN_VARIANCE,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
CONTINUOUS_REFERENCE_MIN_VARIANCE,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
JOINT_DOWNSIDE_REFERENCE_PAIR,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
MODEL_SUPPORT_REFERENCE_ROUTER,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
TREND_NOISE_REFERENCE_BLEND,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
JOINT_DOWNSIDE_REFERENCE_PAIR,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
MODEL_SUPPORT_REFERENCE_ROUTER,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
TREND_NOISE_REFERENCE_BLEND,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RETURN_RUNS_STATE,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RETURN_RUNS_STATE,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RETURN_LAG_STATE,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RETURN_LAG_STATE,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RETURN_SIGN_BALANCE,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RETURN_SIGN_BALANCE,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
ACCOUNT_VOLATILITY_EXPOSURE,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RISK_EPISODE_30_10,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
TWO_CLOSE_ZERO_EXIT,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
CONFIRMED_RISK_EPISODE_30_10,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
R2_Z_CONFIRM,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
MEAN_REBOUND_AUX_50,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
INTENT_MIX_80_15_05,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
INTENT_MIX_BAND_20,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
ADD_GATE_EXPOSURE_115,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RUNS_OPPORTUNITY_CAPPED_SUM,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
SELECTED_MIX_BAND10_SIMPLE2,BASE,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
ACCOUNT_VOLATILITY_EXPOSURE,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RISK_EPISODE_30_10,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
TWO_CLOSE_ZERO_EXIT,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
CONFIRMED_RISK_EPISODE_30_10,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
R2_Z_CONFIRM,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
MEAN_REBOUND_AUX_50,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
INTENT_MIX_80_15_05,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
INTENT_MIX_BAND_20,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
ADD_GATE_EXPOSURE_115,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
SELECTED_MIX_BAND10_SIMPLE2,STRESS,1616,2019-12-31,1851,PASS_AUGUST_VALID_DECISION_TARGET_PREFIX
