模型,因素,原训练均值,原训练标准差,标准化系数,预测截距,标准化截断倍数
原岭回归继续收益,持仓时间对数,2.7174232382192267,0.911490644059086,-0.004152454344405871,-0.009292494115068821,5.0
原岭回归继续收益,含分红浮盈浮亏,0.030462593191325972,0.058362817151860195,-0.0019731033847144265,-0.009292494115068821,5.0
原岭回归继续收益,持仓回撤,-0.019148706605852047,0.018893378497482724,0.00560967366856838,-0.009292494115068821,5.0
原岭回归继续收益,入场模式,1.0,1.0,2.8397867719083776e-18,-0.009292494115068821,5.0
原岭回归继续收益,五日涨跌,0.008555632861787994,0.04891287064496006,0.004746084315361771,-0.009292494115068821,5.0
原岭回归继续收益,二十日涨跌,0.018389313906384326,0.06145665228590086,-0.012274420846114098,-0.009292494115068821,5.0
原岭回归继续收益,一百二十日均线偏离,0.03657210845006346,0.07538097393978355,0.003888806389202724,-0.009292494115068821,5.0
原岭回归继续收益,二十日波动,0.18939442930039957,0.0891869963911701,-0.0081045870714481,-0.009292494115068821,5.0
原持仓内继续收益,持仓时间对数,2.7174232382192267,0.911490644059086,-0.006145727804130598,-0.009294441778808393,5.0
原持仓内继续收益,含分红浮盈浮亏,0.030462593191325972,0.058362817151860195,-0.03052692410516113,-0.009294441778808393,5.0
原持仓内继续收益,持仓回撤,-0.019148706605852047,0.018893378497482724,-0.002457729192371687,-0.009294441778808393,5.0
原持仓内继续收益,入场模式,1.0,1.0,2.4932895350761657e-18,-0.009294441778808393,5.0
原持仓内继续收益,五日涨跌,0.008555632861787994,0.04891287064496006,-0.004473156915140299,-0.009294441778808393,5.0
原持仓内继续收益,二十日涨跌,0.018389313906384326,0.06145665228590086,-0.003177778265203086,-0.009294441778808393,5.0
原持仓内继续收益,一百二十日均线偏离,0.03657210845006346,0.07538097393978355,-0.014973800549427683,-0.009294441778808393,5.0
原持仓内继续收益,二十日波动,0.18939442930039957,0.0891869963911701,-0.0035642968514822734,-0.009294441778808393,5.0
