fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2017-03-01,10,438,2.983724378680108e-16,7.299391126258659e-17
2017-04-05,10,438,2.983724378680108e-16,7.299391126258659e-17
2017-05-02,10,438,2.983724378680108e-16,7.299391126258659e-17
2017-06-01,11,497,4.128641872824801e-16,3.859759734048396e-17
2017-07-03,11,497,4.128641872824801e-16,3.859759734048396e-17
2017-08-01,11,497,4.128641872824801e-16,3.859759734048396e-17
2017-09-01,12,556,1.968911145233676e-16,4.5319650809894085e-17
2017-10-09,12,556,1.968911145233676e-16,4.5319650809894085e-17
2017-11-01,12,556,1.968911145233676e-16,4.5319650809894085e-17
2017-12-01,13,615,4.787836793695988e-16,5.822165666247159e-17
2018-01-02,13,615,4.787836793695988e-16,5.822165666247159e-17
2018-02-01,13,615,4.787836793695988e-16,5.822165666247159e-17
2018-03-01,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-04-02,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-05-02,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-06-01,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-07-02,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-08-01,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-09-03,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-10-08,14,671,3.2959746043559335e-16,6.808789643208968e-17
2018-11-01,15,678,5.672545766444159e-16,7.502679033599691e-17
2018-12-03,15,678,5.672545766444159e-16,7.502679033599691e-17
2019-01-02,15,678,5.672545766444159e-16,7.502679033599691e-17
2019-02-01,15,678,5.672545766444159e-16,7.502679033599691e-17
2019-03-01,15,678,5.672545766444159e-16,7.502679033599691e-17
2019-04-01,15,678,5.672545766444159e-16,7.502679033599691e-17
2019-05-06,15,678,5.672545766444159e-16,7.502679033599691e-17
2019-06-03,16,721,3.152859917587847e-16,7.887570804832045e-17
2019-07-01,16,721,3.152859917587847e-16,7.887570804832045e-17
2019-08-01,17,759,4.996003610813204e-16,7.611099250848241e-17
2019-09-02,17,759,4.996003610813204e-16,7.611099250848241e-17
2019-10-08,17,759,4.996003610813204e-16,7.611099250848241e-17
2019-11-01,17,759,4.996003610813204e-16,7.611099250848241e-17
2019-12-02,17,759,4.996003610813204e-16,7.611099250848241e-17
2020-01-02,17,759,4.996003610813204e-16,7.611099250848241e-17
2020-02-03,17,759,4.996003610813204e-16,7.611099250848241e-17
2020-03-02,17,759,4.996003610813204e-16,7.611099250848241e-17
2020-04-01,18,787,4.2197148553135833e-16,8.689880412471318e-17
2020-05-06,18,787,4.2197148553135833e-16,8.689880412471318e-17
2020-06-01,19,829,4.631711680858075e-16,8.126095282778856e-17
2020-07-01,19,829,4.631711680858075e-16,8.126095282778856e-17
2020-08-03,19,829,4.631711680858075e-16,8.126095282778856e-17
2020-09-01,19,829,4.631711680858075e-16,8.126095282778856e-17
