period,variant,window,days,score_correlation_vs_60,entry_condition_days,entry_changed_days,entry_changed_fraction,exit_condition_days,exit_changed_days,either_changed_days,last_factor,last_entry,last_exit
main,MATCHED_N,50,1624,0.9345228627010921,506,205,0.12623152709359606,471,175,379,0.7200298752619023,False,False
early,MATCHED_N,50,1219,0.9177047450521691,544,127,0.10418375717801477,208,88,215,0.762831305347382,False,False
main,MATCHED_N,60,1624,1.0,567,0,0.0,462,0,0,1.0629407703733325,True,False
early,MATCHED_N,60,1219,1.0,573,0,0.0,180,0,0,0.7389886906171699,False,False
main,MATCHED_N,70,1624,0.9439825788743617,602,177,0.10899014778325124,449,159,332,1.2631196100903015,True,False
early,MATCHED_N,70,1219,0.9319145450152501,600,117,0.09598031173092698,173,73,190,0.13346866749842098,False,False
main,STD_FIXED_60,50,1624,0.9363774727753439,498,203,0.125,471,175,377,0.6587537093743334,False,False
early,STD_FIXED_60,50,1219,0.9268619721474866,531,120,0.09844134536505332,208,88,208,0.7706098516006691,False,False
main,STD_FIXED_60,60,1624,1.0,567,0,0.0,462,0,0,1.0629407703733325,True,False
early,STD_FIXED_60,60,1219,1.0,573,0,0.0,180,0,0,0.7389886906171699,False,False
main,STD_FIXED_60,70,1624,0.9324490470441326,599,176,0.10837438423645321,449,159,330,1.2160187605975736,True,False
early,STD_FIXED_60,70,1219,0.9331058212548752,606,107,0.08777686628383921,173,73,180,0.13000199944145396,False,False
