period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,4540.8000000000175,80.82624,211.20000000002364,0.0,2,1,1,2020-02-07,2020-02-06,False,4248.773759999994,0.02125016095565881
evaluation,BASE,2,2020-07-01,2020-06-30,204093.81060000003,26638.899999999965,86.89054000000002,292.2000000000111,0.0,5,1,1,2020-07-08,2020-07-07,False,26259.809459999953,0.12866538864064872
evaluation,BASE,3,2020-08-19,2020-08-18,229909.9728,-4719.999999999971,90.94496000000001,283.20000000001073,0.0,2,1,1,2020-08-21,2020-08-20,False,-5094.144959999981,-0.022157129149118764
evaluation,BASE,4,2021-01-05,2021-01-04,224717.73455999998,7131.8000000000175,91.24484,253.2000000000096,0.0,2,1,1,2021-01-07,2021-01-06,False,6787.355160000007,0.030203914138284323
evaluation,BASE,5,2021-02-03,2021-02-02,231893.16936,-211.0,92.64588,253.1999999999721,0.0,2,1,1,2021-02-05,2021-02-04,False,-556.8458799999721,-0.0024013035034054966
evaluation,BASE,6,2021-06-08,2021-06-07,231306.65208,-1748.0,92.10212000000001,262.1999999999711,0.0,2,1,1,2021-06-10,2021-06-09,False,-2102.302119999971,-0.009088809600135781
evaluation,BASE,7,2021-07-07,2021-07-06,228373.26552000004,670.4999999999709,91.41150000000002,268.20000000001016,0.0,2,1,1,2021-07-09,2021-07-08,False,310.8884999999607,0.0013613173997931657
evaluation,BASE,8,2021-10-29,2021-10-28,229679.52672,742.3999999999942,91.94624000000002,278.39999999996934,0.0,2,1,1,2021-11-02,2021-11-01,False,372.05376000002485,0.001619882125817822
evaluation,BASE,9,2021-11-25,2021-11-24,230092.00920000003,-4507.999999999971,91.0616,276.00000000001046,0.0,2,1,1,2021-11-29,2021-11-26,False,-4875.061599999981,-0.021187444174832214
evaluation,BASE,10,2021-12-02,2021-12-01,225026.09622,2833.4000000000233,90.50428000000001,274.2000000000104,0.0,2,1,1,2021-12-06,2021-12-03,False,2468.695720000013,0.010970708559892791
evaluation,BASE,11,2022-05-13,2022-05-12,227475.486,-1596.0,90.6072,228.0000000000002,0.0,2,1,1,2022-05-17,2022-05-16,False,-1914.6072000000001,-0.008416762762735674
evaluation,BASE,12,2022-06-08,2022-06-07,225778.34663999997,-1401.3999999999942,89.94832,323.40000000001226,0.0,2,1,1,2022-06-10,2022-06-09,False,-1814.7483200000065,-0.008037742976715098
evaluation,BASE,13,2022-08-10,2022-08-09,223330.1571,2654.999999999971,89.78148,318.6000000000121,0.0,2,1,1,2022-08-12,2022-08-11,False,2246.6185199999586,0.010059628977890324
evaluation,BASE,14,2024-02-19,2024-02-08,226237.2384,938.0,90.61080000000001,267.9999999999705,0.0,2,1,1,2024-02-21,2024-02-20,False,579.3892000000294,0.0025609806948564194
evaluation,BASE,15,2024-06-18,2024-06-17,226599.11076,-382.79999999995925,90.49392,255.20000000002855,0.0,2,1,1,2024-06-20,2024-06-19,False,-728.4939199999878,-0.0032149019365374488
evaluation,BASE,16,2024-06-28,2024-06-27,225637.51848,1298.0,90.44463999999999,259.60000000000025,0.0,2,1,1,2024-07-02,2024-07-01,False,947.9553599999998,0.004201231100155112
evaluation,BASE,17,2024-08-02,2024-08-01,225421.27524000002,-2083.2000000000116,89.68176000000001,260.4000000000002,0.0,2,1,1,2024-08-06,2024-08-05,False,-2433.2817600000117,-0.010794374920509883
evaluation,BASE,18,2024-08-28,2024-08-27,223945.58015999998,-1859.1999999999825,89.13536,265.60000000000025,0.0,2,1,1,2024-08-30,2024-08-29,False,-2213.9353599999827,-0.009886041771479554
evaluation,BASE,19,2024-09-04,2024-09-03,221355.46224000002,265.6000000000058,88.52448000000001,265.60000000000025,0.0,2,1,1,2024-09-06,2024-09-05,False,-88.52447999999444,-0.00039992001599677547
evaluation,BASE,20,2024-09-25,2024-09-24,222072.00552,36951.600000000035,96.13776000000001,318.0000000000215,0.0,6,1,1,2024-10-10,2024-10-09,False,36537.462240000015,0.16452979813662025
evaluation,BASE,21,2025-04-10,2025-04-09,258598.00926,9884.199999999953,105.34120000000001,270.79999999997017,0.0,19,1,1,2025-05-12,2025-05-09,False,9508.058799999983,0.036767718464686155
evaluation,BASE,22,2025-06-03,2025-05-30,267333.05591999996,3520.4000000000233,107.56176,270.80000000000024,0.0,8,1,1,2025-06-13,2025-06-12,False,3142.038240000023,0.011753272445814877
evaluation,BASE,23,2025-06-18,2025-06-17,265593.108,5916.0,107.3448,272.00000000003047,0.0,7,1,1,2025-06-27,2025-06-26,False,5536.65519999997,0.02084638129992428
evaluation,BASE,24,2025-12-19,2025-12-18,276820.65306,12292.799999999988,113.09376,354.60000000001344,0.0,12,1,1,2026-01-08,2026-01-07,False,11825.106239999976,0.042717572223330176
evaluation,BASE,25,2026-01-16,2026-01-15,288648.11808000004,-14876.399999999965,112.39032,352.80000000001337,7232.4,13,1,1,2026-02-04,2026-02-03,False,-8109.19031999998,-0.028093688515760506
evaluation,BASE,26,2026-05-06,2026-04-30,280510.49087999994,-13593.599999999977,109.39392000000001,345.6000000000131,0.0,52,1,1,2026-07-20,2026-07-17,False,-14048.59391999999,-0.05008224068885132
evaluation,BASE,27,2026-07-23,2026-07-22,266609.91132,-2064.600000000035,106.14276000000001,334.8000000000127,0.0,16,1,1,2026-08-14,2026-08-13,True,-2505.5427600000476,-0.009397785504653486
evaluation,STRESS,1,2020-02-05,2020-02-04,199707.45104,4532.200000000012,161.34632000000002,421.6000000000238,0.0,2,1,1,2020-02-07,2020-02-06,False,3949.253679999988,0.01977519446286949
evaluation,STRESS,2,2020-07-01,2020-06-30,203812.69248,26584.199999999983,173.42424,485.99999999998965,0.0,5,1,1,2020-07-08,2020-07-07,False,25924.775759999993,0.12719902497016458
evaluation,STRESS,3,2020-08-19,2020-08-18,229562.98847999997,-4710.0,181.50456,470.99999999998994,0.0,2,1,1,2020-08-21,2020-08-20,False,-5362.50455999999,-0.023359621668573912
evaluation,STRESS,4,2021-01-05,2021-01-04,223823.4936,7098.0,181.6248,504.0000000000191,0.0,2,1,1,2021-01-07,2021-01-06,False,6412.375199999981,0.028649249892684105
evaluation,STRESS,5,2021-02-03,2021-02-02,230416.42972,-209.5,183.97452000000004,502.7999999999819,0.0,2,1,1,2021-02-05,2021-02-04,False,-896.274519999982,-0.0038898030018481187
evaluation,STRESS,6,2021-06-08,2021-06-07,229894.9212,-1736.0,182.93968,520.7999999999812,0.0,2,1,1,2021-06-10,2021-06-09,False,-2439.739679999981,-0.010612412258892394
evaluation,STRESS,7,2021-07-07,2021-07-06,226507.86692,664.4999999999709,181.187,531.5999999999808,0.0,2,1,1,2021-07-09,2021-07-08,False,-48.287000000009925,-0.00021318023367843708
evaluation,STRESS,8,2021-10-29,2021-10-28,227341.80036000002,734.3999999999942,181.91088000000002,459.000000000031,0.0,2,1,1,2021-11-02,2021-11-01,False,93.48911999996318,0.000411227147193879
evaluation,STRESS,9,2021-11-25,2021-11-24,227227.05448000002,-4449.1999999999825,179.74768000000003,453.99999999999034,0.0,2,1,1,2021-11-29,2021-11-26,False,-5082.947679999973,-0.022369465166162075
evaluation,STRESS,10,2021-12-02,2021-12-01,222206.347,2796.2000000000116,178.63208000000003,450.9999999999904,0.0,2,1,1,2021-12-06,2021-12-03,False,2166.5679200000213,0.0097502521833907
evaluation,STRESS,11,2022-05-13,2022-05-12,224440.14015999998,-1573.6000000000058,178.67104,449.6000000000004,0.0,2,1,1,2022-05-17,2022-05-16,False,-2201.8710400000064,-0.00981050465585312
evaluation,STRESS,12,2022-06-08,2022-06-07,222158.82800000004,-1377.999999999971,176.89280000000002,530.0000000000358,0.0,2,1,1,2022-06-10,2022-06-09,False,-2084.892800000007,-0.009384694809427094
evaluation,STRESS,13,2022-08-10,2022-08-09,219693.24216,2610.0,176.51952,521.9999999999889,0.0,2,1,1,2022-08-12,2022-08-11,False,1911.4804800000113,0.008700679461992293
evaluation,STRESS,14,2024-02-19,2024-02-08,222023.37384000001,919.7999999999884,177.70536,525.6000000000005,0.0,2,1,1,2024-02-21,2024-02-20,False,216.49463999998784,0.0009750984153407361
evaluation,STRESS,15,2024-06-18,2024-06-17,222506.76711999997,-375.5999999999767,177.58368000000002,500.80000000000047,0.0,2,1,1,2024-06-20,2024-06-19,False,-1053.983679999977,-0.004736861236366595
evaluation,STRESS,16,2024-06-28,2024-06-27,220941.3412,1270.0,176.9872,508.00000000000045,0.0,2,1,1,2024-07-02,2024-07-01,False,585.0127999999995,0.0026478195380847066
evaluation,STRESS,17,2024-08-02,2024-08-01,220398.52416,-2035.2000000000116,175.23072000000002,508.80000000000047,0.0,2,1,1,2024-08-06,2024-08-05,False,-2719.2307200000123,-0.012337790057187343
evaluation,STRESS,18,2024-08-28,2024-08-27,218722.65408,-1814.3999999999942,173.97504,518.4000000000004,0.0,2,1,1,2024-08-30,2024-08-29,False,-2506.7750399999945,-0.011460975775664812
evaluation,STRESS,19,2024-09-04,2024-09-03,215860.8098,258.79999999998836,172.51608000000002,517.6000000000005,0.0,2,1,1,2024-09-06,2024-09-05,False,-431.3160800000121,-0.0019981212912137058
evaluation,STRESS,20,2024-09-25,2024-09-24,216303.18667999998,35963.90000000002,187.13608,557.0999999999937,0.0,6,1,1,2024-10-10,2024-10-09,False,35219.663920000035,0.16282545098193205
evaluation,STRESS,21,2025-04-10,2025-04-09,251522.36872000003,9606.799999999988,204.76960000000003,526.4000000000004,0.0,19,1,1,2025-05-12,2025-05-09,False,8875.63039999999,0.035287638412313645
evaluation,STRESS,22,2025-06-03,2025-05-30,259618.806,3416.4000000000233,208.76832000000002,525.6000000000005,0.0,8,1,1,2025-06-13,2025-06-12,False,2682.031680000023,0.010330652549107026
evaluation,STRESS,23,2025-06-18,2025-06-17,257183.43224,5724.600000000006,207.74376,526.4000000000004,0.0,7,1,1,2025-06-27,2025-06-26,False,4990.456240000005,0.019404267983106238
evaluation,STRESS,24,2025-12-19,2025-12-18,268089.1928,11897.599999999977,218.91584,572.0000000000387,0.0,12,1,1,2026-01-08,2026-01-07,False,11106.684159999939,0.041429063379983956
evaluation,STRESS,25,2026-01-16,2026-01-15,278999.5552,-14370.399999999965,217.13504,567.999999999988,6986.4,13,1,1,2026-02-04,2026-02-03,False,-8169.135039999954,-0.029280100587056254
evaluation,STRESS,26,2026-05-06,2026-04-30,270935.93104000005,-13121.599999999977,211.19104000000002,556.0000000000375,0.0,52,1,1,2026-07-20,2026-07-17,False,-13888.791040000015,-0.051262270702476596
evaluation,STRESS,27,2026-07-23,2026-07-22,257213.04408,-1990.6000000000058,204.67672,537.9999999999885,0.0,16,1,1,2026-08-14,2026-08-13,True,-2733.2767199999944,-0.010626508969544615
earlier_diagnostic,BASE,1,2015-01-05,2014-12-31,199812.35447999998,-16287.600000000006,76.60712000000001,221.59999999997558,1939.0000000000002,11,1,1,2015-01-20,2015-01-19,False,-14646.807119999981,-0.07330281031979952
earlier_diagnostic,BASE,2,2015-02-11,2015-02-10,185269.0464,68816.0,87.80160000000001,272.00000000001836,0.0,60,1,1,2015-05-15,2015-05-14,False,68456.19839999998,0.3694961448238986
earlier_diagnostic,BASE,3,2015-06-03,2015-06-02,253357.56138,-26514.0,95.96104,294.59999999996757,0.0,13,1,1,2015-06-23,2015-06-19,False,-26904.561039999964,-0.10619205873886267
earlier_diagnostic,BASE,4,2015-09-29,2015-09-28,224251.8414,38016.5,97.2305,277.99999999996936,0.0,60,1,1,2015-12-29,2015-12-28,False,37641.26950000003,0.1678526662925321
earlier_diagnostic,BASE,5,2016-05-03,2016-04-29,264461.18166000006,7365.599999999977,107.16948000000001,334.80000000003747,0.0,60,1,1,2016-07-28,2016-07-27,False,6923.63051999994,0.02618013909089004
earlier_diagnostic,BASE,6,2017-05-18,2017-05-17,270433.5759,24009.0,112.89000000000001,318.0000000000003,0.0,60,1,1,2017-08-14,2017-08-11,False,23578.11,0.08718632633367476
earlier_diagnostic,BASE,7,2018-10-09,2018-10-08,294858.96,-22704.0,113.3088,352.00000000000034,0.0,8,1,1,2018-10-19,2018-10-18,False,-23169.3088,-0.07857759791325317
earlier_diagnostic,BASE,8,2019-02-28,2019-02-27,271708.3308,7474.0,110.09720000000002,296.0000000000002,0.0,2,1,1,2019-03-04,2019-03-01,False,7067.9028,0.026012830667317913
earlier_diagnostic,BASE,9,2019-05-31,2019-05-30,278092.80744,-381.5,111.07754,305.2000000000003,0.0,2,1,1,2019-06-04,2019-06-03,False,-797.7775400000003,-0.0028687456800626713
earlier_diagnostic,STRESS,1,2015-01-05,2014-12-31,199963.15328,-16287.600000000006,153.21424000000002,443.2000000000004,1939.0000000000002,11,1,1,2015-01-20,2015-01-19,False,-14945.014240000006,-0.07473884060566464
earlier_diagnostic,STRESS,2,2015-02-11,2015-02-10,184733.26376,68563.0,174.9576,487.7999999999944,0.0,60,1,1,2015-05-15,2015-05-14,False,67900.24240000002,0.3675582892760126
earlier_diagnostic,STRESS,3,2015-06-03,2015-06-02,252522.76872,-26406.0,191.15988,537.9000000000059,0.0,13,1,1,2015-06-23,2015-06-19,False,-27135.059880000004,-0.10745589404687565
earlier_diagnostic,STRESS,4,2015-09-29,2015-09-28,223144.02192000003,37797.69999999998,193.3418,552.8000000000005,0.0,60,1,1,2015-12-29,2015-12-28,False,37051.55819999998,0.16604324812825788
earlier_diagnostic,STRESS,5,2016-05-03,2016-04-29,262784.17163999996,7312.799999999988,212.80248,664.8000000000006,0.0,60,1,1,2016-07-28,2016-07-27,False,6435.197519999987,0.024488527904244772
earlier_diagnostic,STRESS,6,2017-05-18,2017-05-17,268263.66256,23797.599999999977,223.792,630.4000000000005,0.0,60,1,1,2017-08-14,2017-08-11,False,22943.407999999974,0.08552558994033878
earlier_diagnostic,STRESS,7,2018-10-09,2018-10-08,292075.98368,-22471.79999999999,224.29992,696.8000000000006,0.0,8,1,1,2018-10-19,2018-10-18,False,-23392.89991999999,-0.08009182961660201
earlier_diagnostic,STRESS,8,2019-02-28,2019-02-27,268603.69852,7383.099999999977,217.51636000000002,584.8000000000005,0.0,2,1,1,2019-03-04,2019-03-01,False,6580.783639999977,0.024499974037066278
earlier_diagnostic,STRESS,9,2019-05-31,2019-05-30,274653.61751999997,-376.5,219.24348000000003,602.4000000000005,0.0,2,1,1,2019-06-04,2019-06-03,False,-1198.1434800000006,-0.004362380116521688
