fit_index,fit_origin,fit_time,status,eligible_for_fit,training_group_count,training_cycle_count,training_rows,latest_exit_index,latest_group_mature_index,latest_group_mature_date,latest_exit_date,failure,missing_feature_rows
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_ROWS_OR_TASKS,False,8,16,173,588,588,2014-10-30,2014-10-30,,0
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_ROWS_OR_TASKS,False,8,16,173,588,588,2014-10-30,2014-10-30,,0
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_ROWS_OR_TASKS,False,9,18,254,644,644,2015-01-20,2015-01-20,,0
668,2015-03-02,2015-03-02 15:05:00,FIT_COMPLETE,True,10,19,260,654,654,2015-02-03,2015-02-03,,0
690,2015-04-01,2015-04-01 15:05:00,FIT_COMPLETE,True,10,19,260,654,654,2015-02-03,2015-02-03,,0
711,2015-05-04,2015-05-04 15:05:00,FIT_COMPLETE,True,10,19,260,654,654,2015-02-03,2015-02-03,,0
731,2015-06-01,2015-06-01 15:05:00,FIT_COMPLETE,True,11,21,354,717,717,2015-05-12,2015-05-12,,0
752,2015-07-01,2015-07-01 15:05:00,FIT_COMPLETE,True,13,25,390,750,750,2015-06-29,2015-06-29,,0
775,2015-08-03,2015-08-03 15:05:00,FIT_COMPLETE,True,13,25,390,750,750,2015-06-29,2015-06-29,,0
796,2015-09-01,2015-09-01 15:05:00,FIT_COMPLETE,True,13,25,390,750,750,2015-06-29,2015-06-29,,0
816,2015-10-08,2015-10-08 15:05:00,FIT_COMPLETE,True,14,27,408,803,803,2015-09-14,2015-09-14,,0
833,2015-11-02,2015-11-02 15:05:00,FIT_COMPLETE,True,14,27,408,803,803,2015-09-14,2015-09-14,,0
854,2015-12-01,2015-12-01 15:05:00,FIT_COMPLETE,True,14,27,408,803,803,2015-09-14,2015-09-14,,0
877,2016-01-04,2016-01-04 15:05:00,FIT_COMPLETE,True,15,30,471,874,874,2015-12-29,2015-12-29,,0
897,2016-02-01,2016-02-01 15:05:00,FIT_COMPLETE,True,17,33,490,894,894,2016-01-27,2016-01-27,,0
913,2016-03-01,2016-03-01 15:05:00,FIT_COMPLETE,True,17,33,490,894,894,2016-01-27,2016-01-27,,0
936,2016-04-01,2016-04-01 15:05:00,FIT_COMPLETE,True,17,33,490,894,894,2016-01-27,2016-01-27,,0
956,2016-05-03,2016-05-03 15:05:00,FIT_COMPLETE,True,17,33,490,894,894,2016-01-27,2016-01-27,,0
977,2016-06-01,2016-06-01 15:05:00,FIT_COMPLETE,True,17,33,490,894,894,2016-01-27,2016-01-27,,0
997,2016-07-01,2016-07-01 15:05:00,FIT_COMPLETE,True,17,33,490,894,894,2016-01-27,2016-01-27,,0
1018,2016-08-01,2016-08-01 15:05:00,FIT_COMPLETE,True,18,37,577,1016,1016,2016-07-28,2016-07-28,,0
1041,2016-09-01,2016-09-01 15:05:00,FIT_COMPLETE,True,18,37,577,1016,1016,2016-07-28,2016-07-28,,0
1061,2016-10-10,2016-10-10 15:05:00,FIT_COMPLETE,True,18,37,577,1016,1016,2016-07-28,2016-07-28,,0
1077,2016-11-01,2016-11-01 15:05:00,FIT_COMPLETE,True,18,37,577,1016,1016,2016-07-28,2016-07-28,,0
1099,2016-12-01,2016-12-01 15:05:00,FIT_COMPLETE,True,19,40,646,1079,1079,2016-11-03,2016-11-03,,0
1121,2017-01-03,2017-01-03 15:05:00,FIT_COMPLETE,True,19,40,646,1079,1079,2016-11-03,2016-11-03,,0
1139,2017-02-03,2017-02-03 15:05:00,FIT_COMPLETE,True,19,40,646,1079,1079,2016-11-03,2016-11-03,,0
1157,2017-03-01,2017-03-01 15:05:00,FIT_COMPLETE,True,20,43,716,1142,1142,2017-02-08,2017-02-08,,0
1180,2017-04-05,2017-04-05 15:05:00,FIT_COMPLETE,True,20,43,716,1142,1142,2017-02-08,2017-02-08,,0
1198,2017-05-02,2017-05-02 15:05:00,FIT_COMPLETE,True,20,43,716,1142,1142,2017-02-08,2017-02-08,,0
1218,2017-06-01,2017-06-01 15:05:00,FIT_COMPLETE,True,20,45,781,1209,1209,2017-05-17,2017-05-17,,0
1240,2017-07-03,2017-07-03 15:05:00,FIT_COMPLETE,True,20,45,781,1209,1209,2017-05-17,2017-05-17,,0
1261,2017-08-01,2017-08-01 15:05:00,FIT_COMPLETE,True,20,45,781,1209,1209,2017-05-17,2017-05-17,,0
1284,2017-09-01,2017-09-01 15:05:00,FIT_COMPLETE,True,20,48,841,1270,1270,2017-08-14,2017-08-14,,0
1305,2017-10-09,2017-10-09 15:05:00,FIT_COMPLETE,True,20,48,841,1270,1270,2017-08-14,2017-08-14,,0
1322,2017-11-01,2017-11-01 15:05:00,FIT_COMPLETE,True,20,48,841,1270,1270,2017-08-14,2017-08-14,,0
1344,2017-12-01,2017-12-01 15:05:00,FIT_COMPLETE,True,20,48,841,1270,1270,2017-08-14,2017-08-14,,0
1365,2018-01-02,2018-01-02 15:05:00,FIT_COMPLETE,True,20,48,841,1270,1270,2017-08-14,2017-08-14,,0
1387,2018-02-01,2018-02-01 15:05:00,FIT_COMPLETE,True,20,48,841,1270,1270,2017-08-14,2017-08-14,,0
1402,2018-03-01,2018-03-01 15:05:00,FIT_COMPLETE,True,20,52,990,1393,1393,2018-02-09,2018-02-09,,0
1424,2018-04-02,2018-04-02 15:05:00,FIT_COMPLETE,True,20,52,986,1405,1405,2018-03-06,2018-03-06,,0
1442,2018-05-02,2018-05-02 15:05:00,FIT_COMPLETE,True,20,52,1002,1431,1431,2018-04-13,2018-04-13,,0
1464,2018-06-01,2018-06-01 15:05:00,FIT_COMPLETE,True,20,52,1002,1445,1445,2018-05-07,2018-05-07,,0
1484,2018-07-02,2018-07-02 15:05:00,FIT_COMPLETE,True,20,52,988,1482,1482,2018-06-28,2018-06-28,,0
1506,2018-08-01,2018-08-01 15:05:00,FIT_COMPLETE,True,20,52,988,1482,1482,2018-06-28,2018-06-28,,0
1529,2018-09-03,2018-09-03 15:05:00,FIT_COMPLETE,True,20,52,988,1482,1482,2018-06-28,2018-06-28,,0
1548,2018-10-08,2018-10-08 15:05:00,FIT_COMPLETE,True,20,52,988,1482,1482,2018-06-28,2018-06-28,,0
1566,2018-11-01,2018-11-01 15:05:00,FIT_COMPLETE,True,20,50,914,1557,1557,2018-10-19,2018-10-19,,0
1588,2018-12-03,2018-12-03 15:05:00,FIT_COMPLETE,True,20,50,914,1557,1557,2018-10-19,2018-10-19,,0
1608,2019-01-02,2019-01-02 15:05:00,FIT_COMPLETE,True,20,50,914,1557,1557,2018-10-19,2018-10-19,,0
1630,2019-02-01,2019-02-01 15:05:00,FIT_COMPLETE,True,20,50,851,1614,1614,2019-01-10,2019-01-10,,0
1645,2019-03-01,2019-03-01 15:05:00,FIT_COMPLETE,True,20,50,851,1614,1614,2019-01-10,2019-01-10,,0
1666,2019-04-01,2019-04-01 15:05:00,FIT_COMPLETE,True,20,50,851,1614,1614,2019-01-10,2019-01-10,,0
1687,2019-05-06,2019-05-06 15:05:00,FIT_COMPLETE,True,20,50,851,1614,1614,2019-01-10,2019-01-10,,0
1707,2019-06-03,2019-06-03 15:05:00,FIT_COMPLETE,True,20,55,917,1688,1688,2019-05-07,2019-05-07,,0
1726,2019-07-01,2019-07-01 15:05:00,FIT_COMPLETE,True,20,55,917,1688,1688,2019-05-07,2019-05-07,,0
