period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2020,0.16169392540000005,0.16097762871093627,0.1515130728841525,0.06700283245643997,2.261293550278707,-0.028144057251831934,243,0.15490761360555372,16,264.71492,857.0000000000109,False,3.7971403799019754e-11
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2021,0.10624385442792349,0.1057842880100344,0.10216409768757617,0.05679847552980942,1.7987119677878962,-0.018173657877926172,243,0.10890612740745902,14,228.53194000000002,646.800000000022,False,3.6138203540758695e-11
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2022,0.0005157953095719541,0.0005157953095719541,0.0006050703380918732,0.013405466482480007,0.04513608973493441,-0.01040426265285702,242,0.024897345638163034,7,78.62856,258.6999999999998,False,2.3383961433864897e-11
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2023,0.005597418618104649,0.005597418618104649,0.0056330090864679105,0.010145061593144707,0.5552464156821174,-0.006275686706139003,242,0.024052103061225055,5,176.19064,643.800000000016,False,2.5448088081247988e-11
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2024,0.035176021397626565,0.035176021397626565,0.03607387547189267,0.055034551299954805,0.6554768707984777,-0.03300379594457746,242,0.23375856009571064,22,402.445,1170.1000000000167,False,7.08979541741428e-11
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2025,0.133320945455274,0.13273740181463559,0.12537530642378386,0.03775646023451488,3.3206319036542693,-0.007927761452890866,243,0.17987626312257532,14,388.89094,1121.3999999999983,False,4.980904577678302e-11
evaluation,BASE,SIGN_CONFIRMED_RUNS_AUXILIARY,2026,0.01761660421013517,0.02876916187535136,0.029223112502681597,0.04161173235375814,0.7022806033222582,-0.026814373491652697,149,0.12093933686340287,17,273.26408000000004,848.399999999953,False,7.321432349272072e-11
evaluation,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,2020,0.17258751790000013,0.17181949375682565,0.1608802588460303,0.06798754308783836,2.366319645323507,-0.026483519129743897,243,0.16763710901076354,16,264.59642,857.9000000000109,False,4.4565240386873484e-11
evaluation,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,2021,0.10614481281781389,0.10568569493589822,0.10207258719108799,0.05675709853977637,1.7984109444839527,-0.018156697877418578,243,0.10880055869427979,14,230.08348,651.3000000000222,False,2.8194335754960775e-11
evaluation,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,2022,0.0005069497618647745,0.0005069497618647745,0.0005962075389406296,0.013403821071565685,0.04448041612592097,-0.010408719095561675,242,0.024880653513770373,7,79.292,260.9999999999999,False,4.0245140553452075e-11
