cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,SIGNAL_EPISODE_PROTECTIVE_EXIT,2020—2021,0.327377159600001,0.15144737865859348,0.1467770295092781,0.10764164363968577,1.363571054345771,-0.09757103325249343,486,0.2732530273067972,18,849.1680800000001,2552.800000000002,False,7.139533408917487e-11
BASE,SIGNAL_EPISODE_PROTECTIVE_EXIT,2022—2023,0.03495782646582823,0.017328770096387388,0.018029817497673573,0.04131223967067453,0.4364279845731053,-0.031438286724018286,484,0.0763738199103606,8,436.15592000000004,1522.9000000000092,False,4.3655745685100555e-11
BASE,SIGNAL_EPISODE_PROTECTIVE_EXIT,2024—终点,0.1852657114419651,0.06702775641435998,0.06905992152242535,0.09166271381343764,0.7534134507841862,-0.09992941313918073,634,0.2441495511786621,34,2048.75716,6198.799999999905,False,7.071321306284517e-11
BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2020—2021,0.29705160050000085,0.13827239766847915,0.13147642301855916,0.06258858439610246,2.1006454178047607,-0.026483519129743897,486,0.13821883385252168,30,494.6799,1509.200000000033,False,4.4565240386873484e-11
BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2022—2023,0.006109147775574265,0.003049922873021442,0.003115590063796858,0.011876857432241499,0.26232444748718836,-0.010408719095561675,484,0.024469311293039902,12,257.12402,910.800000000016,False,4.0245140553452075e-11
BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2024—终点,0.20398749256070653,0.0734298988010319,0.07200501149764821,0.04779656282399222,1.5064893214769866,-0.03380112805132886,634,0.19154469188192638,51,1013.06478,3009.299999999937,False,5.6843418860808015e-11
BASE,BINARY_SIGNAL_EXPOSURE,2020—2021,0.33374245370000094,0.15419353632878585,0.15008155203869045,0.11588058761912885,1.295139722038447,-0.10464892355545855,486,0.35539481902977094,18,849.8092600000001,2553.999999999961,False,8.031975085032173e-11
BASE,BINARY_SIGNAL_EXPOSURE,2022—2023,0.02425832829287484,0.012056484734362462,0.012879485727319617,0.042411637641819905,0.30367810448846777,-0.04144641999374191,484,0.0887422743448574,8,435.42754,1522.0000000000675,False,6.303935151663609e-11
BASE,BINARY_SIGNAL_EXPOSURE,2024—终点,0.3189369183772407,0.1114499929716781,0.1113148192883095,0.10642365482412311,1.045959373151294,-0.09643952086420726,634,0.3429048540497284,34,2149.15826,6486.599999999833,False,5.729816621169448e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2020—2021,0.39602643430000034,0.1807248016481908,0.16953775905385926,0.08289754534005311,2.0451481205915116,-0.04035974893668246,486,0.19755624656504853,41,915.1131399999999,2753.0000000000573,False,5.016431714466307e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2022—2023,0.012196962522803521,0.006079998073117206,0.006646062893251592,0.03428362103304844,0.19385533654233827,-0.030587599670722443,484,0.05734885168859578,13,523.04358,1834.6999999999996,False,7.275957614183426e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2024—终点,0.304293220214906,0.10672349096379523,0.10495305447736393,0.08453277380708875,1.2415664333560859,-0.06718111998958122,634,0.2827575293702513,61,2032.5668600000004,6078.499999999871,False,1.0400214023320586e-10
BASE,EPISODE_ACCOUNT_RISK_BUDGET,2020—2021,0.3027967571999988,0.1407801684139196,0.13395184522527784,0.06681984764578838,2.0046715151964394,-0.029562636607448498,486,0.15539992996865531,27,513.5485600000001,1572.2000000000353,False,4.160938260611147e-11
BASE,EPISODE_ACCOUNT_RISK_BUDGET,2022—2023,-0.0004469407041285324,-0.00022349532714489398,0.00012982522211213432,0.026634581575815348,0.004874310555342752,-0.03055391473409389,484,0.045188653725328425,11,324.95458,1166.9000000000342,False,4.0472514228895307e-11
BASE,EPISODE_ACCOUNT_RISK_BUDGET,2024—终点,0.3234182568061316,0.11288993222362297,0.11065018741049577,0.08632437341317685,1.2817954308325827,-0.06644922071800721,634,0.26326348840469604,51,1698.6123,5089.099999999864,False,6.414779818442184e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,SIGNAL_EPISODE_PROTECTIVE_EXIT,2020—2021,0.31096278239999964,0.1443351172919071,0.1405768225386352,0.10763228776560904,1.3060841263986651,-0.10025419599058492,486,0.27340270027103303,18,1688.2435200000004,4634.499999999925,False,7.73070496506989e-11
STRESS,SIGNAL_EPISODE_PROTECTIVE_EXIT,2022—2023,0.029274389567141172,0.014531610925525166,0.015282244404753674,0.04145362361749804,0.36865883054679127,-0.03398463934375325,484,0.07638126428471953,8,859.4729600000001,2544.399999999952,False,8.526512829121202e-11
STRESS,SIGNAL_EPISODE_PROTECTIVE_EXIT,2024—终点,0.15756320112173847,0.0574387888981605,0.06002628066699495,0.09159867010450076,0.6553182551505791,-0.10325917782541438,634,0.24425240665321543,34,3974.4208800000006,10929.900000000009,False,7.037215254968032e-11
STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,2020—2021,0.28746991480000006,0.1340775366728922,0.12778123258208238,0.06256837547659343,2.0422654673187863,-0.026571700956533405,486,0.13830701414422564,30,970.2170400000001,2693.999999999972,False,4.084199645149056e-11
STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,2022—2023,0.0027610742271610045,0.0013795854855245674,0.001448765071650704,0.011862262148561075,0.1221322757418949,-0.010643121854408851,484,0.02446703477118181,12,504.64,1513.6999999999784,False,2.3383961433864897e-11
STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,2024—终点,0.18950723498573838,0.06848364515163094,0.06738335681628761,0.04775663585119695,1.410973692247603,-0.03653840232708987,634,0.19151786414675007,51,1983.4952,5402.300000000037,False,9.993073035730049e-11
STRESS,BINARY_SIGNAL_EXPOSURE,2020—2021,0.3171708938000005,0.147030286933478,0.1438604080819573,0.11594744283463757,1.2407380841260016,-0.10608364613466834,486,0.35556216874022245,18,1689.1212400000004,4635.399999999926,False,7.139533408917487e-11
STRESS,BINARY_SIGNAL_EXPOSURE,2022—2023,0.018611077966716242,0.009262640726741773,0.010121406036171232,0.042561477638173126,0.23780673505314123,-0.04398139750907198,484,0.08874856607818361,8,857.70596,2542.0999999999517,False,5.4569682106375694e-11
STRESS,BINARY_SIGNAL_EXPOSURE,2024—终点,0.2881772331002449,0.10148370190466599,0.10231494054001615,0.1065163787161722,0.9605559424119049,-0.09711174164268593,634,0.34308300345308174,34,4168.89364,11494.700000000004,False,6.701839083689265e-11
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,2020—2021,0.37835601519999995,0.17325915324093377,0.1631882753427216,0.08287132313299929,1.9691766605538867,-0.044919572397062006,486,0.1975489987024101,41,1799.7969600000001,4968.699999999973,False,7.5203843152849e-11
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,2022—2023,0.0057523656534044475,0.0028720584667839113,0.0034601208049445664,0.03450628449437257,0.10027509062903767,-0.03182244753720151,484,0.057375812549155934,13,1029.9384400000001,3056.2000000000185,False,9.112000043387525e-11
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,2024—终点,0.27658044727796927,0.09768811364242709,0.0967423174863515,0.08440655556961978,1.1461469649304312,-0.07154080545080109,634,0.28320733607774984,61,3946.9447200000004,10791.100000000006,False,8.077449820120819e-11
STRESS,EPISODE_ACCOUNT_RISK_BUDGET,2020—2021,0.2929047129999994,0.1364588069849302,0.13015438206243302,0.06681661862085246,1.947934282651858,-0.030538610055238672,486,0.15549508319906832,27,1007.1574,2782.4999999999613,False,4.160938260611147e-11
STRESS,EPISODE_ACCOUNT_RISK_BUDGET,2022—2023,-0.004682396729727015,-0.0023439454048940697,-0.0019905322298057193,0.02673839862931238,-0.07444470618459431,-0.03057607168998836,484,0.04519001474390847,11,643.97856,1936.5999999999694,False,2.3447910280083306e-11
STRESS,EPISODE_ACCOUNT_RISK_BUDGET,2024—终点,0.29803999047876556,0.10469515790005715,0.10324624346246766,0.08620024732756346,1.19774880772823,-0.07138164318835703,634,0.26352463022193195,51,3327.0987600000003,9105.39999999999,False,7.867129170335829e-11
STRESS,BUY_HOLD,2020—2021,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083,486,0.992158791772791,1,79.86,241.99999999999483,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022—2023,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586,484,0.9563537274336262,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2024—终点,0.40669468255582664,0.13911716300186158,0.14523502063473265,0.1731458904840387,0.8388014305665603,-0.1526317349696486,634,0.9210856740052947,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
