cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,SIGNAL_MARKET_RISK_DAILY,2020—2021,0.2350497287,0.11084527269067498,0.10769215264247525,0.07187002381218657,1.4984293441157108,-0.0628449512664579,486,0.21137848192168313,20,513.15426,1561.5999999999717,False,3.9818814911996014e-11
BASE,SIGNAL_MARKET_RISK_DAILY,2022—2023,0.006302176195117675,0.0031461390022481037,0.0033759621567158726,0.02170241439836762,0.1555569852619624,-0.026480554216423525,484,0.04795893080976908,8,228.09980000000002,808.6000000000341,False,3.6919800550094806e-11
BASE,SIGNAL_MARKET_RISK_DAILY,2024—终点,0.21901754515021002,0.07852520463061452,0.07766672520834599,0.06445253666815863,1.2050220088035035,-0.06011058376779629,634,0.23735310253677117,40,1287.5434,3876.4999999999245,False,7.705125426582526e-11
BASE,SIGNAL_MARKET_RISK_EPISODE,2020—2021,0.2308809761999998,0.10897664497361426,0.10593154298864427,0.07079861007229257,1.4962376080614774,-0.06096823449940103,486,0.20520528525294504,18,491.00476000000003,1497.3999999999735,False,3.092281986027956e-11
BASE,SIGNAL_MARKET_RISK_EPISODE,2022—2023,0.006284758761876204,0.0031374575609646755,0.0033674321254913986,0.0217081572552898,0.15512289163424176,-0.026500079608412577,484,0.04797468024193883,8,227.442,806.3000000000341,False,2.637534635141492e-11
BASE,SIGNAL_MARKET_RISK_EPISODE,2024—终点,0.2162439894316361,0.07758788202750437,0.07683804605423154,0.06516650306664845,1.1791034110829322,-0.058327834012614106,634,0.2236807900973244,34,1197.3138200000003,3589.799999999908,False,7.048583938740194e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2020—2021,0.39602643430000034,0.1807248016481908,0.16953775905385926,0.08289754534005311,2.0451481205915116,-0.04035974893668246,486,0.19755624656504853,41,915.1131399999999,2753.0000000000573,False,5.016431714466307e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2022—2023,0.012196962522803521,0.006079998073117206,0.006646062893251592,0.03428362103304844,0.19385533654233827,-0.030587599670722443,484,0.05734885168859578,13,523.04358,1834.6999999999996,False,7.275957614183426e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2024—终点,0.304293220214906,0.10672349096379523,0.10495305447736393,0.08453277380708875,1.2415664333560859,-0.06718111998958122,634,0.2827575293702513,61,2032.5668600000004,6078.499999999871,False,1.0400214023320586e-10
BASE,EPISODE_ACCOUNT_RISK_BUDGET,2020—2021,0.3027967571999988,0.1407801684139196,0.13395184522527784,0.06681984764578838,2.0046715151964394,-0.029562636607448498,486,0.15539992996865531,27,513.5485600000001,1572.2000000000353,False,4.160938260611147e-11
BASE,EPISODE_ACCOUNT_RISK_BUDGET,2022—2023,-0.0004469407041285324,-0.00022349532714489398,0.00012982522211213432,0.026634581575815348,0.004874310555342752,-0.03055391473409389,484,0.045188653725328425,11,324.95458,1166.9000000000342,False,4.0472514228895307e-11
BASE,EPISODE_ACCOUNT_RISK_BUDGET,2024—终点,0.3234182568061316,0.11288993222362297,0.11065018741049577,0.08632437341317685,1.2817954308325827,-0.06644922071800721,634,0.26326348840469604,51,1698.6123,5089.099999999864,False,6.414779818442184e-11
BASE,BINARY_SIGNAL_EXPOSURE,2020—2021,0.33374245370000094,0.15419353632878585,0.15008155203869045,0.11588058761912885,1.295139722038447,-0.10464892355545855,486,0.35539481902977094,18,849.8092600000001,2553.999999999961,False,8.031975085032173e-11
BASE,BINARY_SIGNAL_EXPOSURE,2022—2023,0.02425832829287484,0.012056484734362462,0.012879485727319617,0.042411637641819905,0.30367810448846777,-0.04144641999374191,484,0.0887422743448574,8,435.42754,1522.0000000000675,False,6.303935151663609e-11
BASE,BINARY_SIGNAL_EXPOSURE,2024—终点,0.3189369183772407,0.1114499929716781,0.1113148192883095,0.10642365482412311,1.045959373151294,-0.09643952086420726,634,0.3429048540497284,34,2149.15826,6486.599999999833,False,5.729816621169448e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,SIGNAL_MARKET_RISK_DAILY,2020—2021,0.2252034134000006,0.1064265807162512,0.1037046698067375,0.07186731049929898,1.4430019585573481,-0.06374202099350801,486,0.21151172805239674,20,1021.8173200000001,2826.099999999951,False,3.7971403799019754e-11
