date,close,previous_close,dividend,raw_direction,total_return_direction,direction_changed_after_dividend
2012-12-18,2.366,2.403,0.033,-1.0,-1.0,False
2014-01-21,2.182,2.212,0.048,-1.0,1.0,True
2015-01-20,3.382,3.296,0.035,1.0,1.0,False
2016-01-20,3.169,3.262,0.051,-1.0,-1.0,False
2017-01-23,3.361,3.415,0.055,-1.0,1.0,True
2018-01-23,4.388,4.39,0.046,-1.0,1.0,True
2019-01-16,3.129,3.188,0.059,-1.0,0.0,True
2019-12-11,3.9,3.956,0.062,-1.0,1.0,True
2021-01-18,5.513,5.526,0.072,-1.0,1.0,True
2022-01-19,4.78,4.881,0.075,-1.0,-1.0,False
2023-01-16,4.143,4.144,0.064,-1.0,1.0,True
2024-01-18,3.268,3.292,0.069,-1.0,1.0,True
2025-06-18,3.904,3.989,0.088,-1.0,1.0,True
2026-01-19,4.738,4.859,0.123,-1.0,1.0,True
