period,cost,decision_date,actual_sale_date,actual_quantity,old_source_still_wanted_stock
evaluation,BASE,2021-06-10,2021-06-11,40000,True
evaluation,BASE,2024-06-26,2024-06-27,62100,True
evaluation,BASE,2024-07-02,2024-07-03,62400,True
evaluation,BASE,2026-01-12,2026-01-13,53700,True
evaluation,STRESS,2021-06-10,2021-06-11,39300,True
evaluation,STRESS,2024-06-26,2024-06-27,59800,True
evaluation,STRESS,2024-07-02,2024-07-03,59900,True
evaluation,STRESS,2026-01-12,2026-01-13,50500,True
earlier_diagnostic,BASE,2015-01-08,2015-01-09,55400,True
earlier_diagnostic,BASE,2015-01-12,2015-01-13,55600,True
earlier_diagnostic,BASE,2015-12-25,2015-12-28,69200,True
earlier_diagnostic,BASE,2016-07-11,2016-07-12,85800,True
earlier_diagnostic,BASE,2017-06-06,2017-06-07,77700,True
earlier_diagnostic,BASE,2017-06-16,2017-06-19,76900,True
earlier_diagnostic,BASE,2017-07-18,2017-07-19,75300,True
earlier_diagnostic,STRESS,2015-01-08,2015-01-09,55400,True
earlier_diagnostic,STRESS,2015-01-12,2015-01-13,55400,True
earlier_diagnostic,STRESS,2015-12-25,2015-12-28,68700,True
earlier_diagnostic,STRESS,2016-07-11,2016-07-12,85000,True
earlier_diagnostic,STRESS,2017-06-06,2017-06-07,76200,True
earlier_diagnostic,STRESS,2017-06-16,2017-06-19,75200,True
earlier_diagnostic,STRESS,2017-07-18,2017-07-19,73600,True
