account,period,window,cost,comparator,annual_return_difference,sharpe_difference,volatility_difference,max_drawdown_difference,mean_exposure_difference
early_N50_BASE,early,50,BASE,BUY_HOLD,-0.01753408368810838,0.07315129157404698,-0.1813370714942535,0.3643623831746433,-0.7184612342544736
early_N50_BASE,early,50,BASE,ETF_VOL10,-0.051187332416515074,-0.3604410170613064,-0.037438906851489984,0.12693849158331483,-0.35508510467306625
early_N50_STRESS,early,50,STRESS,BUY_HOLD,-0.020507146501817397,0.030194991125562676,-0.18144803377889943,0.3633941216538522,-0.719047262799
early_N50_STRESS,early,50,STRESS,ETF_VOL10,-0.051972905935817604,-0.3839052690166906,-0.03737207819160197,0.12730332362134666,-0.3551468252223896
early_N60_BASE,early,60,BASE,BUY_HOLD,0.009574602865003223,0.5822385066050095,-0.19325643117640562,0.3846039958630727,-0.8163269933520059
early_N60_BASE,early,60,BASE,ETF_VOL10,-0.02407864586340347,0.14864619796965617,-0.049358266533642135,0.14718010427174422,-0.45295086377059857
early_N60_STRESS,early,60,STRESS,BUY_HOLD,0.00797223015867421,0.5552533421147654,-0.1934849428133898,0.3827331264464604,-0.817071903694176
early_N60_STRESS,early,60,STRESS,ETF_VOL10,-0.023493529275325997,0.1411530819725122,-0.049408987226092355,0.14664232841395486,-0.45317146611756565
early_N70_BASE,early,70,BASE,BUY_HOLD,-0.03240402065596548,-0.10087578241953579,-0.20107438435333996,0.37708862769880525,-0.8786868220551347
early_N70_BASE,early,70,BASE,ETF_VOL10,-0.06605726938437217,-0.5344680910548891,-0.05717621971057648,0.13966473610747676,-0.5153106924737274
early_N70_STRESS,early,70,STRESS,BUY_HOLD,-0.03317729933890767,-0.11788703330081121,-0.20133371416828436,0.3761420579949666,-0.8794585819201055
early_N70_STRESS,early,70,STRESS,ETF_VOL10,-0.06464305877290788,-0.5319872934430645,-0.057257758580986896,0.14005125996246104,-0.5155581443434951
main_N50_BASE,main,50,BASE,BUY_HOLD,-0.016719906993149625,-0.0029903128725259354,-0.11598071125582593,0.31548138813620497,-0.7207018955935695
main_N50_BASE,main,50,BASE,ETF_VOL10,0.003838809183999148,0.10826449544408198,-0.05104256854675947,0.23561681534617063,-0.4313157605011704
main_N50_STRESS,main,50,STRESS,BUY_HOLD,-0.018918368291195975,-0.03790884292235952,-0.11611183316594152,0.31317205092641365,-0.7212996405996388
main_N50_STRESS,main,50,STRESS,ETF_VOL10,0.0034485891600410934,0.08920191184447648,-0.05101919090205967,0.24078865511609449,-0.43158209401457165
main_N60_BASE,main,60,BASE,BUY_HOLD,-0.01098640497754122,0.06035093420421517,-0.10967376160754498,0.2910518845589005,-0.7117195320411751
main_N60_BASE,main,60,BASE,ETF_VOL10,0.009572311199607553,0.17160574252082308,-0.04473561889847852,0.21118731176886618,-0.42233339694877603
main_N60_STRESS,main,60,STRESS,BUY_HOLD,-0.01344466234648456,0.025183466300335355,-0.10980790281234155,0.2862901337385214,-0.7122218873440529
main_N60_STRESS,main,60,STRESS,ETF_VOL10,0.008922295104752509,0.15229422106717136,-0.0447152605484597,0.21390673792820225,-0.4225043407589858
main_N70_BASE,main,70,BASE,BUY_HOLD,-0.02536873204922241,-0.14305916889364279,-0.10942904705037129,0.22357425050724533,-0.7086208826671837
main_N70_BASE,main,70,BASE,ETF_VOL10,-0.004810015872073636,-0.03180436057703488,-0.04449090434130483,0.143709677717211,-0.4192347475747846
main_N70_STRESS,main,70,STRESS,BUY_HOLD,-0.028282997543083832,-0.18514838368878245,-0.10977955968786982,0.22108534095312393,-0.7092020501541065
main_N70_STRESS,main,70,STRESS,ETF_VOL10,-0.005916040091846764,-0.05803762892194643,-0.04468691742398796,0.14870194514280477,-0.41948450356903944
