entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,account
2015-01-05,0,200000.0,2015-01-20,11,12,-4602.404799999989,-0.02301202399999991,195397.5952,-0.033457974582804195,26.4048,73.59999999999438,early_N50_BASE
2015-04-28,75,195397.5952,2015-05-08,82,8,-4847.7954200000095,-0.024809903187590576,190549.79978,-0.027326996294578687,31.295420000000004,101.40000000000384,early_N50_BASE
2015-05-13,85,190549.79978,2015-06-23,113,29,362.2092399999965,0.0019008639233322189,190912.00902,-0.03209112521539004,26.190760000000004,81.5999999999951,early_N50_BASE
2015-09-15,171,190912.00902,2015-12-15,231,61,8308.076639999985,0.0435178315007394,199220.08565999998,-0.022402628563318094,22.523360000000004,62.39999999999708,early_N50_BASE
2016-01-08,248,199220.08565999998,2016-01-12,250,3,-4031.1074999999837,-0.020234443161919358,195188.97816,-0.022373268665323742,23.6075,70.00000000000006,early_N50_BASE
2016-04-15,312,195188.97816,2016-05-10,328,17,-7578.749320000003,-0.03882775242456349,187610.22884,-0.03882775242456349,62.14932,193.99999999999318,early_N50_BASE
2016-07-06,367,187610.22884,2016-09-30,427,61,5670.034719999967,0.03022241780236601,193280.26355999996,-0.03496597999477491,117.86528000000001,356.80000000000103,early_N50_BASE
2016-11-09,450,193280.26355999996,2017-02-09,510,61,1587.3390600000566,0.00821262880525464,194867.60262000002,-0.06413216741151329,103.86094,303.1999999999722,early_N50_BASE
2017-05-18,577,194867.60262000002,2017-08-14,637,61,15666.571680000023,0.08039597895885486,210534.17430000004,-0.027389119289651154,80.82832,228.4000000000002,early_N50_BASE
2017-10-12,675,210534.17430000004,2018-01-05,735,61,10366.914000000019,0.04924100343551685,220901.08830000006,-0.05159986135790817,86.286,265.4999999999943,early_N50_BASE
2018-02-06,757,220901.08830000006,2018-02-12,761,5,-12633.478859999974,-0.057190659209622186,208267.6094400001,-0.058147220726028515,69.77886000000001,224.09999999999846,early_N50_BASE
2019-02-22,1007,208267.6094400001,2019-05-07,1055,49,8507.662399999972,0.04084966655581135,216775.27184000006,-0.044919797199192146,59.337599999999995,163.60000000001833,early_N50_BASE
2019-05-17,1063,216775.27184000006,2019-06-21,1087,25,5639.674679999996,0.026016226999187486,222414.94652000006,-0.017127174278163793,51.92532000000001,136.39999999999736,early_N50_BASE
2019-08-30,1137,222414.94652000006,2019-10-22,1168,32,1719.492419999995,0.007731011098417229,224134.43894000005,-0.03577729641652383,76.10758000000001,201.49999999999932,early_N50_BASE
2015-01-05,0,200000.0,2015-01-20,11,12,-4700.381759999989,-0.023501908799999915,195299.61824,-0.033466124700441746,50.781760000000006,147.20000000000013,early_N50_STRESS
2015-04-28,75,195299.61824,2015-05-08,82,8,-4946.690840000025,-0.0253287276471843,190352.9274,-0.02759642998060996,62.59084,168.9999999999964,early_N50_STRESS
2015-05-13,85,190352.9274,2015-06-23,113,29,277.6970399999991,0.0014588535295623206,190630.62443999999,-0.03213269952052289,51.702960000000004,140.59999999999863,early_N50_STRESS
2015-09-15,171,190630.62443999999,2015-12-15,231,61,8224.507600000012,0.04314368493604048,198855.13204,-0.02243853235062898,43.6924,124.80000000000011,early_N50_STRESS
2016-01-08,248,198855.13204,2016-01-12,250,3,-4124.7149999999965,-0.02074231103661084,194730.41704,-0.0226517814943491,47.215,139.99999999999235,early_N50_STRESS
2016-04-15,312,194730.41704,2016-05-10,328,17,-7815.045600000012,-0.04013263936262568,186915.37144,-0.04013263936262568,121.84560000000002,386.4000000000148,early_N50_STRESS
2016-07-06,367,186915.37144,2016-09-30,427,61,5172.597640000022,0.027673473830162942,192087.96908,-0.03543479907570968,233.70236000000003,709.599999999995,early_N50_STRESS
2016-11-09,450,192087.96908,2017-02-09,510,61,1172.9716799999878,0.00610642970310904,193260.94076,-0.06462719862355004,205.72832000000005,602.4000000000011,early_N50_STRESS
2017-05-18,577,193260.94076,2017-08-14,637,61,15226.85732000004,0.07878910896387192,208487.79808000004,-0.028029475808771354,160.24268,452.7999999999967,early_N50_STRESS
2017-10-12,675,208487.79808000004,2018-01-05,735,61,9957.376800000027,0.04775999790730778,218445.17488000006,-0.05184239503981425,170.6232,472.49999999999454,early_N50_STRESS
2018-02-06,757,218445.17488000006,2018-02-12,761,5,-12723.435799999977,-0.05824544216638994,205721.7390800001,-0.05877716002220357,137.93580000000003,391.49999999997976,early_N50_STRESS
2019-02-22,1007,205721.7390800001,2019-05-07,1055,49,8196.190640000044,0.03984114987873366,213917.92972000013,-0.04507116246033582,116.40935999999999,323.2000000000156,early_N50_STRESS
2019-05-17,1063,213917.92972000013,2019-06-21,1087,25,5375.075680000009,0.02512681235759673,219293.00540000014,-0.017443719303399385,101.32432,268.80000000000024,early_N50_STRESS
2019-08-30,1137,219293.00540000014,2019-10-22,1168,32,1439.9328799999785,0.006566250835832621,220732.93828000012,-0.03582843774583799,149.86712,389.30000000000234,early_N50_STRESS
2015-01-05,0,200000.0,2015-01-20,11,12,-4602.404799999989,-0.02301202399999991,195397.5952,-0.033457974582804195,26.4048,73.59999999999438,early_N60_BASE
2015-02-11,27,195397.5952,2015-05-15,87,61,32422.03667999999,0.16592853482569359,227819.63188,-0.030749902160858267,44.563320000000004,137.50000000000927,early_N60_BASE
2015-06-03,100,227819.63188,2015-06-23,113,14,-6027.498399999982,-0.026457326571288964,221792.13348000002,-0.03370596269901727,21.498400000000004,65.99999999999272,early_N60_BASE
2015-09-29,181,221792.13348000002,2015-12-29,241,61,9027.421200000012,0.04070217035363899,230819.55468000003,-0.022478489515920352,36.178799999999995,100.79999999999201,early_N60_BASE
2016-05-03,323,230819.55468000003,2016-07-28,383,61,3554.641619999951,0.015400088718340976,234374.19629999998,-0.035174643915141135,127.05838000000001,396.40000000001163,early_N60_BASE
2017-05-18,577,234374.19629999998,2017-08-14,637,61,18850.251019999996,0.08042801348264295,253224.44731999998,-0.0274005074964363,97.24898000000002,274.80000000000024,early_N60_BASE
2018-10-09,916,253224.44731999998,2018-10-19,924,9,-7661.66915999999,-0.030256435510422675,245562.77816,-0.030256435510422675,37.46916,116.4000000000001,early_N60_BASE
2019-02-28,1011,245562.77816,2019-05-07,1055,45,116.21641999998246,0.0004732656181478667,245678.99457999997,-0.04969438004306492,42.28358,114.80000000001284,early_N60_BASE
2019-05-31,1073,245678.99457999997,2019-07-05,1097,25,10021.163079999998,0.04078966171744414,255700.15765999997,-0.009756500526623024,58.63692000000001,155.59999999999698,early_N60_BASE
2015-01-05,0,200000.0,2015-01-20,11,12,-4700.381759999989,-0.023501908799999915,195299.61824,-0.033466124700441746,50.781760000000006,147.20000000000013,early_N60_STRESS
2015-02-11,27,195299.61824,2015-05-15,87,61,32239.861000000004,0.16507897603968202,227539.47924000002,-0.03063795859568963,88.83900000000001,247.49999999999716,early_N60_STRESS
2015-06-03,100,227539.47924000002,2015-06-23,113,14,-6104.001199999999,-0.026826119231650902,221435.47804000002,-0.033753706371930536,43.0012,121.00000000000134,early_N60_STRESS
2015-09-29,181,221435.47804000002,2015-12-29,241,61,8824.415999999997,0.03985095829316898,230259.89404,-0.022400126053036318,72.384,201.6000000000002,early_N60_STRESS
2016-05-03,323,230259.89404,2016-07-28,383,61,3018.00576,0.01310695365592296,233277.8998,-0.035234272334286665,253.19423999999998,790.3999999999941,early_N60_STRESS
2017-05-18,577,233277.8998,2017-08-14,637,61,18376.832000000024,0.07877656655754928,251654.73180000004,-0.028029285475353105,193.368,546.399999999996,early_N60_STRESS
