account,category,period,window,model,cost,completed_cycles,total_net_profit,top1_profit,top1_entry,top1_exit,top1_share,top5_share,unfinished_cycle_profit,unfinished_entry,fixed_2024_event_pnl,fixed_2024_event_share
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,14,24134.43894000005,15666.571680000023,2017-05-18,2017-08-14,0.6491375962353318,2.0103744512405,0.0,,,
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,14,20732.93828000012,15226.85732000004,2017-05-18,2017-08-14,0.7344283340045689,2.265959962140005,0.0,,,
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,9,55700.15765999997,32422.03667999999,2015-02-11,2015-05-15,0.5820815962121284,1.326307082485195,0.0,,,
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,9,53585.06184000004,32239.861000000004,2015-02-11,2015-05-15,0.6016576242137258,1.3471990625960617,0.0,,,
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,6,8196.211519999953,10858.57421999998,2015-03-31,2015-06-23,1.3248284519626505,2.3533695894661446,0.0,,,
early_N70_STRESS,primary_accounts,early,70.0,SIMPLE_CORE,STRESS,6,7260.637199999997,10736.47192000001,2015-03-31,2015-06-23,1.4787230960941025,2.5780737426186273,0.0,,,
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,11,20257.545679999806,21542.166000000027,2020-06-23,2020-09-16,1.0634144106247048,2.6811692738091093,-3230.6651399999973,2026-07-28,0.0,0.0
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,11,16951.128079999937,21227.71331999998,2020-06-23,2020-09-16,1.2522891231673154,3.1021809139678287,-3277.4055999999982,2026-07-28,0.0,0.0
main_N60_BASE,primary_accounts,main,60.0,SIMPLE_CORE,BASE,13,28747.231759999966,20669.026979999995,2024-09-25,2024-10-10,0.718991906857609,2.3529476390877395,-4913.29210000005,2026-07-23,24749.625100000005,0.8609394221546441
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,13,24946.89572000003,20270.48436000003,2024-09-25,2024-10-10,0.8125453598520918,2.636316465910972,-4934.387160000013,2026-07-23,24314.54595999999,0.9746521664620146
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,14,7958.943879999919,26564.602079999953,2024-09-24,2024-10-10,3.33770440909306,6.986052850519728,-917.6912799999991,2026-08-25,24965.678459999996,3.136807952966776
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,14,3832.1279999999388,25954.63836000001,2024-09-24,2024-10-10,6.772904861215603,13.968865434557722,-1293.378480000014,2026-08-25,24506.399119999987,6.394984489035956
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,0,44169.245520000026,0.0,,,0.0,,44169.245520000026,2015-01-05,,
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,0,44018.44672000001,0.0,,,0.0,,44018.44672000001,2015-01-05,,
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,0,86636.74690000014,0.0,,,0.0,,86636.74690000014,2015-01-05,,
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,0,83538.13156000001,0.0,,,0.0,,83538.13156000001,2015-01-05,,
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,0,45794.88935999997,0.0,,,0.0,,45794.88935999997,2020-01-02,47674.0,1.0410331953250958
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,0,45658.139999999985,0.0,,,0.0,,45658.139999999985,2020-01-02,47674.0,1.0441511634070073
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,0,14724.500159999909,0.0,,,0.0,,14724.500159999909,2020-01-02,24280.285379999987,1.6489717896135456
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,0,12038.813719999918,0.0,,,0.0,,12038.813719999918,2020-01-02,23905.51576000001,1.9857036013678075
