account,category,period,window,model,cost,year,days,return
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,2015,244,-0.003899571700000104
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,2016,244,-0.03823310382969747
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,2017,244,0.1358294387901231
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,2018,243,-0.04301382407280174
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,2019,244,0.07618481598105165
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,2015,244,-0.005724339799999978
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,2016,244,-0.04340779496836766
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,2017,244,0.13180249535280275
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,2018,243,-0.04446654183847554
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,2019,244,0.07296846345520414
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,2015,244,0.1540977734000002
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,2016,244,0.015400088718340976
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,2017,244,0.08042801348264295
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,2018,243,-0.030256435510422675
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,2019,244,0.041282231680058734
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,2015,244,0.15129947020000012
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,2016,244,0.01310695365592296
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,2017,244,0.07877656655754928
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,2018,243,-0.030843144591330973
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,2019,244,0.03973938143103184
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,2015,244,0.04536534850000007
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,2016,244,-0.0028923557723992133
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,2017,244,0.0
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,2018,243,0.0
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,2019,244,-0.0013054474320314258
early_N70_STRESS,primary_accounts,early,70.0,SIMPLE_CORE,STRESS,2015,244,0.04401961640000018
