era,cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
2020—2021,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.032115357000000073,0.015864707486013707,0.0162784182779592,0.03297925569783383,0.49359568412056104,-0.029974838399999978,486,0.02215128124606408,4,157.12860000000003,501.5999999999686,False,2.7966962079517543e-11
2022—2023,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.05715809604022758,-0.02899953452134102,-0.02736785432902672,0.06384266445468673,-0.4286765686048623,-0.10325671638761852,484,0.047213105691083376,6,236.04974,716.0000000000114,False,2.9118041311448906e-11
2024—终点,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.03621775377238855,0.01367260899315189,0.013759684040877755,0.01900194202603216,0.7241198832217965,-0.020646671010163056,634,0.018858922648819013,4,160.74424000000002,465.799999999972,False,2.901856532844249e-11
2020—2021,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.0150201041000003,-0.00750756053672743,-0.004899994495176244,0.07231316899017262,-0.06776074902542516,-0.07719809624323891,486,0.06869479098358844,8,315.12082000000004,973.1999999999865,False,2.7966962079517543e-11
2022—2023,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.06473477922281726,-0.0329088870343277,-0.029540942453130326,0.08848319772929421,-0.33385934517769106,-0.12325509705795165,484,0.16209124358096622,22,818.59122,2444.600000000026,False,2.523847797419876e-11
2024—终点,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.0624666502324286,0.023398188609153835,0.023742488249558012,0.03521987645162001,0.6741218494100063,-0.034689021156677546,634,0.04719298346122405,12,455.1264800000001,1434.2000000000035,False,2.8322233447397593e-11
2020—2021,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.05942757999999997,0.0291627300994152,0.02920554899210843,0.030494864381308013,0.9577202451836488,-0.010600519697251815,486,0.020204524767668503,2,80.88400000000001,221.6000000000002,False,2.3874235921539366e-11
2022—2023,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,-0.046192806968457296,-0.023369469537459782,-0.021727982750501418,0.06159179647425747,-0.35277397306608377,-0.10375894592708984,484,0.026741885776098154,4,162.88674000000003,503.00000000001154,False,1.887201506178826e-11
2024—终点,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.0006241573999999664,-0.00031084313647089404,0.001955455628660126,0.0669615677426256,0.029202656009729974,-0.059727719567202346,486,0.054534335069848554,6,241.83148000000003,700.4000000000183,False,2.6147972675971687e-11
2022—2023,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.007842665957993543,-0.003929051702637772,-0.0004709657561122737,0.08320558749169524,-0.0056602659786433316,-0.10369105994217948,484,0.11713802130074441,16,613.25418,1822.8000000000166,False,2.8194335754960775e-11
2024—终点,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.024931564612154965,0.00944408674253794,0.009473521953796218,0.012210761698944198,0.7758338248968812,0.0,634,0.0015200810478331371,2,77.38090000000001,248.99999999997257,False,1.6910917111090384e-11
2020—2021,BASE,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.0591057699999997,0.02900705307306612,0.029049425472323604,0.030332769791605346,0.9576911594919066,-0.010545587391599625,486,0.020098668724206847,2,80.446,220.4000000000002,False,1.978150976356119e-11
2022—2023,BASE,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.057096943018259474,-0.028968045334376996,-0.027337781964541896,0.06380712063289809,-0.4284440622516808,-0.10318198827669608,484,0.04720891075959308,6,242.14036000000002,734.4000000000117,False,2.262368070660159e-11
2024—终点,BASE,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.0515792731694428,0.019382500460904686,0.019319869178366863,0.0157234543952365,1.2287293041801244,0.0,634,0.01571302909274197,2,81.63612,215.2000000000002,False,1.716671249596402e-11
2020—2021,BASE,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.0591057699999997,0.02900705307306612,0.029049425472323604,0.030332769791605346,0.9576911594919066,-0.010545587391599625,486,0.020098668724206847,2,80.446,220.4000000000002,False,1.978150976356119e-11
2022—2023,BASE,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.0555768901155166,-0.028185660794983226,-0.024675813183315243,0.08840956961910153,-0.27910794373988057,-0.12328862596766414,484,0.15801839446641494,18,724.361,2052.400000000006,False,3.461764208623208e-11
2024—终点,BASE,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.07861815602156637,0.029308893472807185,0.029368028033192422,0.031193448528626398,0.9414806447655578,-0.019357034339427797,634,0.028273030188105463,4,166.63278,497.80000000001087,False,1.716671249596402e-11
2020—2021,BASE,R2_Z_CONFIRM_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.05942757999999997,0.0291627300994152,0.02920554899210843,0.030494864381308013,0.9577202451836488,-0.010600519697251815,486,0.020204524767668503,2,80.88400000000001,221.6000000000002,False,2.3874235921539366e-11
