cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,W25_NONE,2020—2021,0.16559830140000104,0.07928842899325556,0.08583287723133914,0.13834582144581653,0.6204226216182163,-0.11524834192072388,486,0.43813619676762033,42,731.3397200000002,2176.7999999999956,False,4.905587047687732e-11
BASE,W25_NONE,2022—2023,-0.05418847884741719,-0.027471583370139867,-0.026246626035660914,0.05677825439586078,-0.4622654626306076,-0.1024434071185469,484,0.19779127220250217,37,523.99978,1668.200000000068,False,5.070432962384075e-11
BASE,W25_NONE,2024—终点,0.28631671034798933,0.10087618611195695,0.10489010695994545,0.1327962616213084,0.7898573776049345,-0.1087034437686462,634,0.5316127732683055,58,1271.3129000000001,3981.4999999999195,False,1.014086592476815e-10
BASE,W25_VOL10,2020—2021,0.08959729379999964,0.04365348802725796,0.045520828412113266,0.07506773993861827,0.6063966818414267,-0.0632259070717702,486,0.248816596846188,52,502.14124000000004,1481.799999999991,False,4.432365585671505e-11
BASE,W25_VOL10,2022—2023,-0.050802483371585154,-0.02573231777482486,-0.025413475746274727,0.03620927503144237,-0.7018498913388049,-0.07322690651034476,484,0.12744143959587523,42,380.64968,1225.2000000000494,False,3.895195277436869e-11
BASE,W25_VOL10,2024—终点,0.15148073656072555,0.05531445326785115,0.05655867842472045,0.07382043911755463,0.7661655647246169,-0.09749901043439188,634,0.3986679584151146,74,878.82034,2724.899999999934,False,4.263966957296361e-11
BASE,W25_VOL15,2020—2021,0.12990427239999963,0.06270246071991209,0.06611728296933704,0.1035850746299201,0.6382896687148725,-0.09211834498866042,486,0.3335779382128205,54,659.74552,1965.999999999989,False,5.616129783447832e-11
BASE,W25_VOL15,2022—2023,-0.05954144686708899,-0.0302275766279436,-0.029418064586640813,0.05053551894668435,-0.5821264963693609,-0.09780448290454162,484,0.17780913373284768,40,489.82704,1574.9000000000624,False,5.3660187404602766e-11
BASE,W25_VOL15,2024—终点,0.22968479118491553,0.08211796142858221,0.08353467771145524,0.09625413336439415,0.8678554862180701,-0.10793660516738857,634,0.48153206493425055,67,1070.99564,3348.199999999918,False,7.685230229981244e-11
BASE,W25_SHOCK,2020—2021,0.09710818389999915,0.04722960112923299,0.054778373320070864,0.13171561355583877,0.4158836742376668,-0.1035448403622818,486,0.4025950913170647,55,1152.46322,3473.3000000000393,False,5.638867150992155e-11
BASE,W25_SHOCK,2022—2023,-0.05293185407984567,-0.026825737126102207,-0.025654301080580033,0.055507304875533924,-0.46217882741930305,-0.10257943597054517,484,0.19330554493345942,41,535.69406,1683.0000000000664,False,4.588684987538727e-11
BASE,W25_SHOCK,2024—终点,0.21269052436037353,0.07638505588024408,0.08209562607613281,0.13059535410153128,0.6286259311514835,-0.12608118416641434,634,0.4918922784871408,66,1654.36858,5186.399999999929,False,1.000444171950221e-10
BASE,W50_NONE,2020—2021,0.2267786120999995,0.1071346711841298,0.10928630572211183,0.12286853493017175,0.8894572217713923,-0.07926652282757088,486,0.36837433873257647,42,992.17758,2981.1999999999784,False,4.18438617089123e-11
BASE,W50_NONE,2022—2023,-0.08156035760088975,-0.04164743314419497,-0.04059943523699555,0.06228471619762059,-0.6518362403415195,-0.1017195275386261,484,0.21401963170595792,37,856.5004600000001,2700.7000000001035,False,4.6497916628140956e-11
BASE,W50_NONE,2024—终点,0.24828843924049585,0.08833789204785958,0.09184763876848163,0.120215583898799,0.7640243950884245,-0.08838939242833121,634,0.4329831418170824,56,1502.08518,4717.899999999923,False,9.549694368615746e-11
BASE,W50_VOL10,2020—2021,0.11665049929999932,0.0564769764893128,0.057145003276976115,0.06675438910456327,0.8560486290641485,-0.03906287861012374,486,0.2043864024820284,48,612.80014,1835.199999999977,False,4.1154635255225e-11
BASE,W50_VOL10,2022—2023,-0.07702435663971553,-0.03928378625096346,-0.03924511261458474,0.04072029434513926,-0.963772812690127,-0.08211432436986246,484,0.14703507103445443,41,586.2572600000001,1862.900000000068,False,3.8539837987627834e-11
BASE,W50_VOL10,2024—终点,0.1407294975889921,0.05154248575398172,0.05238761875005906,0.06540078366011645,0.8010243275113346,-0.07907685126681034,634,0.3202742847638259,67,1002.5759800000001,3139.399999999936,False,4.7975845518521965e-11
BASE,W50_VOL15,2020—2021,0.1725824841999998,0.08250380325198527,0.08357811574011151,0.0934096990563763,0.8947477251764716,-0.06264751105525879,486,0.2791159097808426,51,839.4031600000001,2521.599999999975,False,3.9676706364843994e-11
BASE,W50_VOL15,2022—2023,-0.08825970811819503,-0.045149073477013926,-0.044695519798942596,0.05482258301595572,-0.8152757009996098,-0.10147035969109601,484,0.19534369017041708,39,780.75756,2476.600000000097,False,4.092726157978177e-11
BASE,W50_VOL15,2024—终点,0.19874934167465338,0.07164488765611346,0.07254415925237388,0.08203779088459291,0.8842773369461613,-0.08725180811885529,634,0.3887135397783133,64,1243.8855800000001,3906.7999999999215,False,7.207745511550456e-11
BASE,W50_SHOCK,2020—2021,0.1475878421999988,0.0709518686665516,0.07536304045938975,0.11712650856432147,0.6434328264639018,-0.10260103526460461,486,0.3338855220393017,55,1338.83156,4038.300000000006,False,5.1386450650170445e-11
BASE,W50_SHOCK,2022—2023,-0.07860692966829011,-0.0401077819193918,-0.03928251169390018,0.057502861468701746,-0.6831401201709114,-0.10163450202089913,484,0.204841954027557,41,891.4713600000001,2766.7000000001017,False,4.0259351408167277e-11
BASE,W50_SHOCK,2024—终点,0.1699397565217798,0.06174015872896593,0.06676862942654917,0.11742939926193544,0.5685852933439312,-0.10394046940119774,634,0.3944408674758402,65,1729.8375400000002,5434.699999999933,False,5.093170329928398e-11
BASE,W75_NONE,2020—2021,0.28873903819999874,0.13463405719009103,0.1327399357853178,0.11365712159258341,1.1678980949485844,-0.06771742390070642,486,0.2982927585913689,42,1261.59236,3810.899999999961,False,3.247180302423658e-11
BASE,W75_NONE,2022—2023,-0.10959572940172019,-0.056387648131776616,-0.055028546597987116,0.07753384097570466,-0.7097358508941971,-0.11441604741480406,484,0.2303764069482266,37,1210.75898,3801.4000000001406,False,6.892264536872972e-11
BASE,W75_NONE,2024—终点,0.20829893548520612,0.07489551527182907,0.078587645406256,0.11309024183487679,0.6949109324657907,-0.08835847101662675,634,0.33465027403610215,58,1828.04666,5736.699999999932,False,9.742961992742494e-11
BASE,W75_VOL10,2020—2021,0.15133906280000042,0.07269359447610449,0.07212041140890585,0.06272096857344936,1.1498612513365332,-0.026284863299829996,486,0.1641396056574725,46,744.18744,2228.7999999999643,False,4.18367562815547e-11
BASE,W75_VOL10,2022—2023,-0.10095423889929317,-0.05181976338846482,-0.05197292445585794,0.049650375184908786,-1.0467780809772227,-0.10582234090424844,484,0.16203373285211103,41,808.21176,2543.1000000000936,False,4.7066350816749036e-11
BASE,W75_VOL10,2024—终点,0.10149436806166375,0.037587622399284266,0.03864224456486185,0.05923658044078878,0.6523375299066689,-0.06506251607996968,634,0.24915588179123951,65,1197.1039,3749.399999999955,False,5.638867150992155e-11
BASE,W75_VOL15,2020—2021,0.22158269259999944,0.10479724314857708,0.10337967927241601,0.08687382263817472,1.1899980469719558,-0.03614210057758924,486,0.2238336555696676,49,1027.1614800000002,3096.899999999958,False,5.228173449722817e-11
BASE,W75_VOL15,2022—2023,-0.11789051185187113,-0.06079316008233369,-0.060482517753400855,0.06678592243401758,-0.905617764180104,-0.12266511453356616,484,0.21144203491607105,40,1088.1017800000002,3429.6000000001286,False,2.8990143619012088e-11
