cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,T1_BAND60,六十日均线缓冲与追踪退出,-0.05868758439999834,-0.009083311993551906,0.0007584822883256267,0.1404079825849968,0.005401988365344364,-0.3015984918491409,1604,0.5184787768433416,36,1335.31688,4062.9000000000106,False,3.728928277269006e-11,-0.04534078363916888,False
BASE,T2_CHANNEL20,二十日突破与十日低点退出,0.06049989450000118,0.00890171570744504,0.015248616755491239,0.11333447091097651,0.13454526793943325,-0.23407518114943593,1604,0.3384126150966992,72,2772.0211,8376.399999999916,False,2.8990143619012088e-11,-0.02735575593817194,False
BASE,T3_EMA10_40,双指数均线缓冲,-0.2794814530000002,-0.048250790382140814,-0.040161758121849474,0.13587046277722645,-0.29558858710666785,-0.4691313363392941,1604,0.5241007200793665,34,1153.1906,3632.1000000000295,False,3.04964942188235e-11,-0.0845082620277578,False
BASE,T4_PULLBACK20,长期上涨中的二十日均线收复,-0.024953993300000244,-0.0038053911419647438,0.000266166856294314,0.09046355277300779,0.0029422551749894573,-0.16549629514144962,1604,0.2511228945477388,66,2666.99866,8373.699999999919,False,3.54702933691442e-11,-0.04006286278758172,False
BASE,R1_RSI2_BULL,上涨趋势内两日超跌,-0.0005276775999969924,-7.963004802386312e-05,0.002472904576047952,0.07134804206827867,0.03465973983815044,-0.21820553265819043,1604,0.16581746111216825,196,7103.635520000002,22115.299999999814,False,4.2163605940004345e-11,-0.036337101693640836,False
BASE,R2_Z_CONFIRM,偏离均值后的首日回升,0.16770488200000178,0.023667072559537716,0.025817734284865886,0.06970302346044423,0.37039618947831143,-0.15391242204842237,1604,0.1340446327381231,50,2260.0236000000004,6703.400000000063,False,3.282707439211663e-11,-0.01259039908607926,False
BASE,R3_SHOCK_RECOVERY,五日急跌后的收盘转强,0.05978815020000089,0.008799528386592466,0.010352322632048475,0.05643439061420863,0.18343996487563816,-0.12278247486897705,1604,0.07512564662814235,78,3290.36996,9876.700000000048,False,3.888089850079268e-11,-0.02745794325902451,False
BASE,R4_BAND_REENTRY,跌出波动带后的重新收复,0.13353155659999932,0.01909003020610412,0.0211797401868318,0.0673979099848454,0.31424921324109484,-0.11374836706062519,1604,0.13339480839494153,62,2760.88868,8290.200000000043,False,2.972910806420259e-11,-0.017167441439512855,False
BASE,S1_TREND_REBOUND,趋势突破与震荡反弹切换,0.3582429613000024,0.047279697919939204,0.05203133868232328,0.10825268371873686,0.48064710171538644,-0.17429679488992103,1604,0.23671361548244163,106,5250.707740000001,16296.500000000065,False,5.2523319027386606e-11,0.011022226274322228,False
BASE,S2_PULLBACK_SHOCK,上涨回调与弱市急跌切换,0.036252043399999524,0.005387099822649855,0.007498825464808902,0.0652465457369816,0.11493061249614298,-0.14681817543132478,1604,0.11042494407558064,142,5718.59132,17685.40000000004,False,3.6706637729366776e-11,-0.030870371822967122,False
BASE,D1_DRAWDOWN_RECOVERY,回撤退出与短期趋势恢复,-0.08375950959999823,-0.013111102435972605,-0.004596726505773232,0.1314298483718575,-0.03497475316845537,-0.3361629138268762,1604,0.5136478286589218,138,4997.601920000001,15425.19999999998,False,3.396394276933279e-11,-0.04936857408158958,False
BASE,R5_PULLBACK_DOUBLE,长期上涨中的双条件回调,0.031814627299998476,0.0047363710541421175,0.006943326864122954,0.06614140569297593,0.104977007842159,-0.1959950479000004,1604,0.11627949408748703,128,4563.174540000001,14068.699999999975,False,4.1154635255225e-11,-0.03152110059147486,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
