origin,next_execution_date,window,first_training_mark,last_training_mark,selected,past_net_sharpe,eligible_candidates,source_cost
2019-12-31,2020-01-02,756,2016-11-28,2019-12-31,L17_SLOW_QUICK_VOLATILITY_Z15,0.6331273036885395,24,BASE
2020-03-31,2020-04-01,756,2017-02-24,2020-03-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.6174659425724668,15,BASE
2020-06-30,2020-07-01,756,2017-05-23,2020-06-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.673666055367283,17,BASE
2020-09-30,2020-10-09,756,2017-08-25,2020-09-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.9370475925921703,14,BASE
2020-12-31,2021-01-04,756,2017-11-24,2020-12-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.7847500874738429,12,BASE
2021-03-31,2021-04-01,756,2018-02-22,2021-03-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.8314474792335987,12,BASE
2021-06-30,2021-07-01,756,2018-05-23,2021-06-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.8516793885326238,13,BASE
2021-09-30,2021-10-08,756,2018-08-22,2021-09-30,L01_FAST_QUICK_ALL_Z15,0.9468400889771805,15,BASE
2021-12-31,2022-01-04,756,2018-11-23,2021-12-31,L01_FAST_QUICK_ALL_Z15,0.941316002379763,15,BASE
2022-03-31,2022-04-01,756,2019-02-22,2022-03-31,L02_FAST_QUICK_ALL_Z20,0.5694459103745588,12,BASE
2022-06-30,2022-07-01,756,2019-05-22,2022-06-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.961862025378461,10,BASE
2022-09-30,2022-10-10,756,2019-08-22,2022-09-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.9070060385618889,9,BASE
2022-12-30,2023-01-03,756,2019-11-22,2022-12-30,L03_FAST_QUICK_DRAWDOWN_Z15,0.7980479428180192,8,BASE
2023-03-31,2023-04-03,756,2020-02-24,2023-03-31,L03_FAST_QUICK_DRAWDOWN_Z15,0.4625097498936855,15,BASE
2023-06-30,2023-07-03,756,2020-05-21,2023-06-30,L02_FAST_QUICK_ALL_Z20,0.4410608215212071,18,BASE
2023-09-28,2023-10-09,756,2020-08-21,2023-09-28,L20_SLOW_PATIENT_ALL_Z20,0.40718446327472996,6,BASE
2023-12-29,2024-01-02,756,2020-11-23,2023-12-29,L20_SLOW_PATIENT_ALL_Z20,0.2534030770172034,5,BASE
2024-03-29,2024-04-01,756,2021-02-19,2024-03-29,CASH,,0,BASE
2024-06-28,2024-07-01,756,2021-05-19,2024-06-28,CASH,,0,BASE
2024-09-30,2024-10-08,756,2021-08-18,2024-09-30,L04_FAST_QUICK_DRAWDOWN_Z20,0.582249510995507,5,BASE
2024-12-31,2025-01-02,756,2021-11-22,2024-12-31,L04_FAST_QUICK_DRAWDOWN_Z20,0.31197838141203277,3,BASE
2025-03-31,2025-04-01,756,2022-02-17,2025-03-31,L04_FAST_QUICK_DRAWDOWN_Z20,0.29529067762891775,3,BASE
2025-06-30,2025-07-01,756,2022-05-19,2025-06-30,L04_FAST_QUICK_DRAWDOWN_Z20,0.3888671715165946,5,BASE
2025-09-30,2025-10-09,756,2022-08-22,2025-09-30,L10_FAST_PATIENT_DRAWDOWN_Z20,0.47141014977581763,17,BASE
2025-12-31,2026-01-05,756,2022-11-22,2025-12-31,L10_FAST_PATIENT_DRAWDOWN_Z20,0.41376661104243473,15,BASE
2026-03-31,2026-04-01,756,2023-02-16,2026-03-31,L04_FAST_QUICK_DRAWDOWN_Z20,0.4253349679665054,17,BASE
2026-06-30,2026-07-01,756,2023-05-17,2026-06-30,L04_FAST_QUICK_DRAWDOWN_Z20,0.5832645697558959,22,BASE
