cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,P5_PP,2020—2021,-0.16146763680000037,-0.08395400341582542,-0.08280935206072788,0.09924546675432126,-0.8343892650101549,-0.24456441671211093,486,0.25041251287634636,58,2199.7273600000003,6584.399999999969,False,3.3168134905281477e-11
BASE,P5_PP,2022—2023,-0.05442043301209661,-0.027590843837891774,-0.026547572484975634,0.05353297647201068,-0.49591063741534785,-0.10104745627821098,484,0.15228983233905727,34,1102.9588600000002,3402.699999999987,False,3.559819106158102e-11
BASE,P5_PP,2024—终点,0.19040210491032963,0.06879039604442591,0.07324572727932956,0.11643862364617012,0.6290500951119645,-0.13632226697786423,634,0.19050529584213718,50,1789.16966,5548.799999999977,False,3.1604940886609256e-11
BASE,P5_PN,2020—2021,-0.023120762799998775,-0.011580412788000602,-0.007177840875303591,0.09394296059874466,-0.07640637286238036,-0.1100892456194106,486,0.13336616380655864,35,1304.35256,3829.7999999999774,False,2.5920599000528455e-11
BASE,P5_PN,2022—2023,-0.04213236819115055,-0.021292877409768998,-0.019515972856252617,0.06340262086733439,-0.3078101912709325,-0.07636123203757046,484,0.21438823423645478,51,1915.5471400000001,5888.600000000013,False,3.856825969705824e-11
BASE,P5_PN,2024—终点,0.024869714971337595,0.009420834824025821,0.010213355837546907,0.04087808886672277,0.2498491519710256,-0.06597568715187484,634,0.08502229620232604,24,891.3770800000001,2605.5999999999704,False,2.7000623958883807e-11
BASE,P5_NP,2020—2021,0.010031040200001048,0.0049823653673386915,0.010077274271629293,0.100978128941508,0.09979660325719242,-0.1644668247560119,486,0.27687814541287026,48,2109.39196,6367.100000000053,False,3.8909320210223086e-11
BASE,P5_NP,2022—2023,-0.12796576457136108,-0.0661722667276159,-0.06563809691808836,0.07511050545686873,-0.8738870350936491,-0.15773212346117285,484,0.1874022027287604,45,1641.4788600000002,5247.500000000106,False,3.703348738781642e-11
BASE,P5_NP,2024—终点,-0.15862331038612712,-0.06380007006766485,-0.062091232132218975,0.08751774587472996,-0.7094701938632462,-0.18621243501550103,634,0.35631839383370206,85,2605.2000800000005,7966.199999999853,False,3.682032456708839e-11
BASE,P5_NN,2020—2021,0.20224503050000084,0.09605387209627907,0.09520370689255715,0.08346929493619824,1.1405835758565877,-0.07314228438569277,486,0.21257050584545056,46,2027.0939000000003,5992.000000000106,False,3.115019353572279e-11
BASE,P5_NN,2022—2023,-0.19439082314426775,-0.10244266096492072,-0.10212792296979845,0.1091029442834248,-0.9360693576196548,-0.19946211480689563,484,0.34379732589895656,60,2567.38022,7909.4000000001115,False,3.5356606531422585e-11
BASE,P5_NN,2024—终点,0.20959319333763987,0.07533484948083662,0.07740591012405698,0.09748230634815465,0.7940508695763155,-0.09748339792607569,634,0.27988351363435604,78,3371.5372400000006,10270.899999999878,False,3.893774191965349e-11
BASE,P20_PP,2020—2021,0.06154733490000022,0.03018757831753461,0.039059647142648264,0.13609044471986778,0.287012414597143,-0.14054060680688396,486,0.3082524169925942,29,1234.83302,3583.9000000000347,False,3.0098590286797844e-11
BASE,P20_PP,2022—2023,-0.11180065117979952,-0.05755671320752649,-0.05774932095655999,0.055250313126049305,-1.045230654617457,-0.11203608604873787,484,0.1629355247965342,19,768.23666,2310.4999999999663,False,2.958699951705057e-11
BASE,P20_PP,2024—终点,0.026624087702634844,0.010080041965499758,0.015545902806340653,0.10538786557489081,0.14751131661636518,-0.1464648627723586,634,0.18993033630752273,26,1009.9124400000001,3071.5999999999585,False,3.205968823749572e-11
BASE,P20_PN,2020—2021,-0.04909547430000088,-0.024755649963486046,-0.023473932345158315,0.056243345525656775,-0.4173637276689045,-0.09928732802123337,486,0.0715261007953177,14,563.59486,1640.4000000000092,False,2.9743318918917794e-11
