period,cost,entry_date,exit_date_new,exit_date_old,net_profit_cny_new,net_profit_cny_old,exit_reasons_new,exit_reasons_old
evaluation,BASE,2020-07-01,2020-07-06,2020-07-07,17244.148679999955,32499.69695999997,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-01-05,2021-01-11,2021-01-14,10222.780939999995,14224.61633999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-10-29,2021-11-26,2021-12-13,494.6992199999804,10329.403900000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-12-01,2021-12-10,,10169.109680000023,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2022-05-13,2022-06-07,2022-06-08,9716.031359999994,11954.959680000058,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-02-19,2024-02-21,2024-02-26,609.6558000000077,7363.206000000006,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-06-18,2024-07-15,2024-07-18,-2917.286400000041,-999.6410000000031,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-09-25,2024-09-27,2024-09-30,13053.199699999996,36316.57100000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-03,2025-06-13,2025-06-26,2817.1598400000075,9658.767300000009,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-18,2025-06-26,,5271.644399999961,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2025-12-19,2025-12-29,2026-01-07,4890.934800000046,14899.535999999964,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-05-06,2026-05-08,2026-05-13,812.0692799999961,4160.4443999999785,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-05-13,2026-05-27,,747.9661199999682,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2026-06-05,2026-06-17,2026-06-22,-953.7584199999692,4165.9629600000335,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-06-23,2026-07-14,,-16633.78310000003,,持仓含分红收益触及固定止损,
evaluation,STRESS,2020-07-01,2020-07-06,2020-07-07,16880.79448000001,32074.51455999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
