cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,SINGLE_COMPONENT_EXIT,原八因素合成单一分数后固定版本退出,0.14243605349999852,0.02029383330230913,0.022750984863180394,0.07298868676205804,0.3117056337422297,-0.12667829655150978,1604,0.19193266644087725,48,2261.1893,6752.400000000118,False,3.001332515850663e-11,-0.015963638343307846,False
BASE,ENTRY_VINTAGE_EXIT,第128轮进入时固定原退出模型,0.5627663853000027,0.06967868864425397,0.0705080202613379,0.07977124985533804,0.883877592355659,-0.11444223426810142,1604,0.19447826891732978,40,2152.52294,6483.999999999963,False,5.638867150992155e-11,0.033421216998636996,False
BASE,VINTAGE_REFERENCE_RISK,第131轮固定版本与普通波动预算,0.27636500260000035,0.03750149195351425,0.03811459151898277,0.051117603272926124,0.7456255590756491,-0.07296043914247852,1604,0.1325651133409446,62,1357.89948,4096.599999999991,False,4.808953235624358e-11,0.0012440203078972756,False
BASE,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.3320103631999995,0.04420270287353553,0.043826843842775604,0.0339481998524545,1.2909916883150099,-0.02676498395427419,1604,0.06145547926551384,66,1004.62736,2976.8999999999523,False,7.855760486563668e-11,0.007945231227918556,True
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,SINGLE_COMPONENT_EXIT,原八因素合成单一分数后固定版本退出,0.10541621040000031,0.01523566138879008,0.017786962441976372,0.07306999645211897,0.2434236116821457,-0.13316728909718706,1604,0.1919401510182558,48,4445.45792,12035.200000000092,False,3.200284481863491e-11,-0.020849283124952565,False
STRESS,ENTRY_VINTAGE_EXIT,第128轮进入时固定原退出模型,0.5198364216000002,0.06519275214818776,0.06630223164583206,0.07973989985607459,0.8314812504844292,-0.11682680250818454,1604,0.1944044267722347,40,4238.91568,11532.70000000007,False,6.207301339600235e-11,0.029107807634445114,False
STRESS,VINTAGE_REFERENCE_RISK,第131轮固定版本与普通波动预算,0.2512737831999997,0.03439835845745139,0.035118465139679506,0.05111167115575509,0.6870928761585842,-0.07487853452486062,1604,0.13253375295758188,62,2687.64336,7338.400000000056,False,5.496758603840135e-11,-0.0016865860562912532,False
STRESS,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.3137491710000012,0.042030205345845555,0.041741668503743445,0.03388538379660131,1.2318487745129247,-0.028234122527049946,1604,0.06149251702100085,66,1967.0658000000003,5361.600000000023,False,5.5933924159035087e-11,0.005945260832102908,True
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
