period,cost,model,complete_cycles,unfinished_profit,total_profit,top_five_completed_profit
early,BASE,CONFIRMED_STUMP,9,7580.372339999973,42407.30583999996,62226.06506000002
early,STRESS,CONFIRMED_STUMP,9,7311.301360000012,40246.64911999993,61090.163559999986
early,BASE,NO_FACTOR_LEARNER,3,7182.389779999998,30290.841920000094,40594.37702000007
early,STRESS,NO_FACTOR_LEARNER,3,6974.361239999969,29308.00119999991,40387.533599999966
early,BASE,FIXED_WEEKLY_VOL10,0,79150.29770000011,79150.29770000011,0.0
early,STRESS,FIXED_WEEKLY_VOL10,0,78718.78571999999,78718.78571999999,0.0
early,BASE,BUY_HOLD,0,44169.245520000026,44169.245520000026,0.0
early,STRESS,BUY_HOLD,0,44018.44672000001,44018.44672000001,0.0
early,BASE,ETF_VOL10,0,86636.74690000014,86636.74690000014,0.0
early,STRESS,ETF_VOL10,0,83538.13156000001,83538.13156000001,0.0
main,BASE,CONFIRMED_STUMP,14,-5680.528400000039,-23522.810200000065,48384.37798000008
main,STRESS,CONFIRMED_STUMP,14,-5703.221200000029,-25151.63579999999,47078.10407999999
main,BASE,NO_FACTOR_LEARNER,4,19595.025520000025,-14182.71372,0.0
main,STRESS,NO_FACTOR_LEARNER,4,19196.5202,-14681.439280000079,0.0
main,BASE,FIXED_WEEKLY_VOL10,0,31647.130019999924,31647.130019999924,0.0
main,STRESS,FIXED_WEEKLY_VOL10,0,30447.10979999992,30447.10979999992,0.0
main,BASE,BUY_HOLD,0,45794.88935999997,45794.88935999997,0.0
main,STRESS,BUY_HOLD,0,45658.139999999985,45658.139999999985,0.0
main,BASE,ETF_VOL10,0,14724.500159999909,14724.500159999909,0.0
main,STRESS,ETF_VOL10,0,12038.813719999918,12038.813719999918,0.0
