period,cost,model,reused,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error,ending_shares,unfilled_requests,source
early,BASE,CONFIRMED_STUMP,False,1219,242407.30583999996,42407.30583999996,0.038914531415669806,0.4352014858827393,0.09900492549005947,-0.1886376606386787,67,812.4941600000001,2505.8999999999173,0.5235816714245228,5.093170329928398e-11,54900.0,0.0,
early,STRESS,CONFIRMED_STUMP,False,1219,240246.64911999993,40246.64911999993,0.037069565391475656,0.4182064820410607,0.09870751543435344,-0.18969454220343118,65,1584.35088,4675.400000000011,0.5224104272122614,5.275069270282984e-11,54400.0,0.0,
early,BASE,NO_FACTOR_LEARNER,False,1219,230290.8419200001,30290.841920000094,0.02839248957927576,0.32641482250401666,0.1016153101301943,-0.22940950219872658,55,537.7580800000001,1650.3999999999933,0.5497034050363565,5.581668460763467e-11,52100.0,0.0,
early,STRESS,NO_FACTOR_LEARNER,False,1219,229308.0011999999,29308.00119999991,0.027519676858033026,0.31865783384675156,0.1013352331663102,-0.23082521700269254,53,1042.9988,3045.5000000000164,0.548594836617902,5.417177817435004e-11,51900.0,0.0,
early,BASE,FIXED_WEEKLY_VOL10,False,1219,279150.2977000001,79150.29770000011,0.06843423018625905,0.6724189499406149,0.10696434945525249,-0.2276799531771485,54,404.4023,1216.0999999999674,0.5955542745945314,7.571543392259628e-11,63200.0,0.0,
early,STRESS,FIXED_WEEKLY_VOL10,False,1219,278718.78572,78718.78571999999,0.06810614742465049,0.6709617549112991,0.10669630987145988,-0.22824144145092629,52,767.9142800000001,2220.500000000001,0.594657659013899,7.298694981727749e-11,63100.0,0.0,
early,BASE,BUY_HOLD,True,1219,244169.24552000003,44169.245520000026,0.040409305212863345,0.2842607920063479,0.25150799155827147,-0.4501919403512673,1,39.954480000000004,110.79999999998779,0.9631807683409372,4.729372449219227e-11,,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_BUY_HOLD_BASE\ledger.parquet
early,STRESS,BUY_HOLD,True,1219,244018.44672,44018.44672000001,0.040281711191537006,0.2837540157753378,0.2516753186789463,-0.4504213486795602,1,79.95328,221.6000000000002,0.9638788321706482,5.4569682106375694e-11,,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_BUY_HOLD_STRESS\ledger.parquet
early,BASE,ETF_VOL10,True,1219,286636.74690000014,86636.74690000014,0.07406255394127004,0.7178531006417013,0.10760982691550798,-0.21276804875993882,82,580.3531,1730.9000000000146,0.5998046387595299,7.66249286243692e-11,,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_ETF_VOL10_BASE\ledger.parquet
early,STRESS,ETF_VOL10,True,1219,283538.13156,83538.13156000001,0.07174747062553721,0.6978542759175911,0.10759936309164887,-0.21433055064705464,82,1143.96844,3300.2000000000126,0.5999783945940378,7.821654435247183e-11,,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_ETF_VOL10_STRESS\ledger.parquet
main,BASE,CONFIRMED_STUMP,False,1624,176477.18979999993,-23522.810200000065,-0.01847283010060574,-0.17116013613634734,0.08679081112245701,-0.27596600110072633,80,1025.8102,3174.9000000000087,0.34540370258726666,5.4647841807309305e-11,24200.0,0.0,
main,STRESS,CONFIRMED_STUMP,False,1624,174848.3642,-25151.63579999999,-0.019828111924432568,-0.19144667040869598,0.08544575459619513,-0.2835165880513505,79,2005.8358000000003,5584.899999999986,0.3452143531914122,4.75210981676355e-11,24000.0,0.0,
main,BASE,NO_FACTOR_LEARNER,False,1624,185817.28628,-14182.71372,-0.010900711532443874,-0.07746771177505282,0.08949101387772872,-0.2732219905206513,67,589.91372,1830.5999999999876,0.3625313192205789,5.4647841807309305e-11,25500.0,0.0,
main,STRESS,NO_FACTOR_LEARNER,False,1624,185318.56071999992,-14681.439280000079,-0.011296753535916526,-0.0846080728541318,0.08814871752004426,-0.27716217178876645,66,1129.73928,3169.1000000000035,0.36205062520863224,5.03632691106759e-11,25500.0,0.0,
main,BASE,FIXED_WEEKLY_VOL10,False,1624,231647.13001999992,31647.130019999924,0.02213129420367821,0.24324700881274622,0.1190989667956044,-0.34603978853598927,100,760.0699800000001,2337.9999999999714,0.662014163592598,5.4569682106375694e-11,31800.0,0.0,
