period,cost,cycle_id,entry_date,selected_model_date,prediction_identity,states
evaluation,BASE,1.0,2020-02-05,2020-02-03,c215fbdcf0e3f9153dd45a083774e38d0065c92cbb2e299058bd5a9fd79c6449,10
evaluation,BASE,2.0,2020-07-01,2020-07-01,6736b091a85870df7cc40cea9d6eef3c1788d9c02d16a9e326f7206b3a6e7706,4
evaluation,BASE,3.0,2020-08-19,2020-08-03,6736b091a85870df7cc40cea9d6eef3c1788d9c02d16a9e326f7206b3a6e7706,30
evaluation,BASE,4.0,2021-01-05,2021-01-04,2130ce873e2f676a5bbfd477f976cd44d301728e589e90441331441e7cbd9bb1,7
evaluation,BASE,5.0,2021-02-03,2021-02-01,2130ce873e2f676a5bbfd477f976cd44d301728e589e90441331441e7cbd9bb1,13
evaluation,BASE,6.0,2021-06-08,2021-06-01,b2268d48f360dce611962b4ac363147bcf9c47bcaf6f17f432b3c29cf3640624,35
evaluation,BASE,7.0,2021-10-29,2021-10-08,0d168cbdef330b2fc9e72eac7ea34134aae08b46e445507b6062d171603e7a5d,31
evaluation,BASE,8.0,2022-05-13,2022-05-05,edf351216f787f22f2d2bd0e187d1da222e935184e171f2a562ecb125a72462a,17
evaluation,BASE,9.0,2022-08-10,2022-08-01,edf351216f787f22f2d2bd0e187d1da222e935184e171f2a562ecb125a72462a,21
evaluation,BASE,10.0,2024-02-19,2024-02-01,a4210df07ef13e1071f638f47b3067bde29be5f90d04962d433a30c10630ceac,4
evaluation,BASE,11.0,2024-06-18,2024-06-03,6109755f577ba82299929777ec4edfed403897c08e1e35ae26fbd06657bfeaf5,55
evaluation,BASE,12.0,2024-09-25,2024-09-02,6ba8dc8d7eb017eba2fcca3ed7b53ca8836c0f4a9b18c56fee3ac7588c882770,3
evaluation,BASE,13.0,2025-04-10,2025-04-01,2b6ed98dfad23df1882ee546b74d7799aab0b2b2e1dc24e86e99826d68373cc4,9
evaluation,BASE,14.0,2025-06-03,2025-06-03,2b6ed98dfad23df1882ee546b74d7799aab0b2b2e1dc24e86e99826d68373cc4,8
evaluation,BASE,15.0,2025-06-18,2025-06-03,2b6ed98dfad23df1882ee546b74d7799aab0b2b2e1dc24e86e99826d68373cc4,7
evaluation,BASE,16.0,2025-12-19,2025-12-01,72f82f80e4a50acc466f7d00ba72cb83c05b62b5ce630b0adbf882ed1e639b3d,11
evaluation,BASE,17.0,2026-01-16,2026-01-05,72f82f80e4a50acc466f7d00ba72cb83c05b62b5ce630b0adbf882ed1e639b3d,13
evaluation,BASE,18.0,2026-05-06,2026-05-06,61708fa3c0842ae2ef86e1a7a9ba8c462fbf223d3033b20125a753f71d67c389,5
evaluation,BASE,19.0,2026-06-05,2026-06-01,61708fa3c0842ae2ef86e1a7a9ba8c462fbf223d3033b20125a753f71d67c389,30
evaluation,BASE,20.0,2026-07-23,2026-07-01,61708fa3c0842ae2ef86e1a7a9ba8c462fbf223d3033b20125a753f71d67c389,16
evaluation,STRESS,1.0,2020-02-05,2020-02-03,c215fbdcf0e3f9153dd45a083774e38d0065c92cbb2e299058bd5a9fd79c6449,10
evaluation,STRESS,2.0,2020-07-01,2020-07-01,6736b091a85870df7cc40cea9d6eef3c1788d9c02d16a9e326f7206b3a6e7706,4
evaluation,STRESS,3.0,2020-08-19,2020-08-03,6736b091a85870df7cc40cea9d6eef3c1788d9c02d16a9e326f7206b3a6e7706,30
evaluation,STRESS,4.0,2021-01-05,2021-01-04,2130ce873e2f676a5bbfd477f976cd44d301728e589e90441331441e7cbd9bb1,7
evaluation,STRESS,5.0,2021-02-03,2021-02-01,2130ce873e2f676a5bbfd477f976cd44d301728e589e90441331441e7cbd9bb1,13
evaluation,STRESS,6.0,2021-06-08,2021-06-01,b2268d48f360dce611962b4ac363147bcf9c47bcaf6f17f432b3c29cf3640624,35
