period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2020,0.05978015999999989,0.059526970432104066,0.05827910034243931,0.030219384510373624,1.9285336642919855,-0.005286847226450345,243,0.03291238431697688,2,82.368,264.00000000001785,False,2.4414248400717042e-11
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2021,0.038928950698605254,0.038765683541946545,0.03854544332994492,0.03216397750078768,1.1984041255159117,-0.009122623314605201,243,0.03701177372548245,2,86.37407999999999,259.2000000000098,False,1.2278178473934531e-11
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2025,0.05121686381516693,0.051000809428099966,0.05005887905681977,0.025125532679001163,1.9923509561513426,0.0,243,0.0407192170168733,2,89.37486000000001,235.6000000000002,False,2.8705926524708048e-11
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2026,0.0,0.0,0.0,0.0,,0.0,149,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2020,0.05978015999999989,0.059526970432104066,0.05827910034243931,0.030219384510373624,1.9285336642919855,-0.005286847226450345,243,0.03291238431697688,2,82.368,264.00000000001785,False,2.4414248400717042e-11
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2021,0.038928950698605254,0.038765683541946545,0.03854544332994492,0.03216397750078768,1.1984041255159117,-0.009122623314605201,243,0.03701177372548245,2,86.37407999999999,259.2000000000098,False,1.2278178473934531e-11
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2025,0.05121686381516693,0.051000809428099966,0.05005887905681977,0.025125532679001163,1.9923509561513426,0.0,243,0.0407192170168733,2,89.37486000000001,235.6000000000002,False,2.8705926524708048e-11
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2026,0.0,0.0,0.0,0.0,,0.0,149,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_ONLY,2020,0.07033804799999979,0.07003868358814704,0.06834863667663342,0.03620055349796413,1.8880550177354956,-0.005286847226450345,243,0.03702647524238947,2,82.7904,264.00000000001785,False,2.2282620193436742e-11
evaluation,BASE,PANIC_ONLY,2021,0.03890185056749479,0.03873869917380708,0.03851876001001908,0.032141688494244175,1.1984049940909884,-0.00911644385443932,243,0.036986480521121815,2,87.17384000000001,261.6000000000099,False,2.4101609596982598e-11
evaluation,BASE,PANIC_ONLY,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_ONLY,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_ONLY,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,PANIC_ONLY,2025,0.05122958080044095,0.051013471476846844,0.05007108115054366,0.025131710957747952,1.9923466903914495,0.0,243,0.04072893660817152,2,90.2853,238.00000000000023,False,1.9099388737231493e-11
evaluation,BASE,PANIC_ONLY,2026,0.0,0.0,0.0,0.0,,0.0,149,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2020,0.06751541259999942,0.06722843492744016,0.06572762063042135,0.036462015044911394,1.802632700070542,-0.005403214023214214,243,0.04063410934187569,5,93.81748,259.7000000000162,False,2.326672188246448e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2021,0.04090023430543227,0.04072853870072201,0.04043948680089539,0.032347979365247095,1.250139501583254,-0.009119499551878272,243,0.0481316188814085,6,106.97390000000001,316.800000000012,False,3.205968823749572e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2022,0.0007454493459376382,0.0007454493459376382,0.0008263663285407175,0.012774714860266021,0.06468765350771274,-0.00982083030256035,242,0.022725571932358888,6,64.53476,221.89999999999947,False,3.6266101233195513e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2024,0.04052052799741792,0.04052052799741792,0.040226831639976424,0.031915190748215486,1.2604289899857697,-0.017555139630963546,242,0.05519467463907676,10,144.49106,434.0999999999797,False,2.9899638320785016e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2025,0.05360237005785167,0.05337599942012424,0.05221653183336439,0.020634607627839953,2.530531850914117,-0.005160722522432669,243,0.0719592654713158,6,142.62102,384.3999999999945,False,4.695266397902742e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2026,0.02109170479410404,0.03448122014762302,0.03460405262738281,0.03763416614713789,0.9194850363388343,-0.023077365070130404,149,0.09129340013499587,12,208.68040000000002,645.5999999999627,False,4.092726157978177e-11
evaluation,BASE,BUY_HOLD,2020,0.2814884467999998,0.2801811402090982,0.27355207408866355,0.22973862748596008,1.1907099693340903,-0.16055455715202166,243,0.9980743079350705,1,39.91064,145.2000000000055,False,2.7284841053187847e-11
evaluation,BASE,BUY_HOLD,2021,-0.03909048117061911,-0.03893278801219865,-0.02383188177217863,0.17830056468572633,-0.13366128040135403,-0.16951436057712796,243,0.9850610403433633,0,0.0,0.0,False,8.185452315956354e-11
evaluation,BASE,BUY_HOLD,2022,-0.1955425417304226,-0.1955425417304226,-0.19953602070306542,0.18977907942455732,-1.0514121014186222,-0.2688464292333853,242,0.9646426639612224,0,0.0,0.0,False,2.8194335754960775e-11
evaluation,BASE,BUY_HOLD,2023,-0.0916107335204824,-0.0916107335204824,-0.08841361175105267,0.12407304945822596,-0.7125932032549951,-0.18895188368823768,242,0.9467762506277704,0,0.0,0.0,False,2.6147972675971687e-11
evaluation,BASE,BUY_HOLD,2024,0.15920797025504138,0.15920797025504138,0.16860164826666224,0.205190869607964,0.8216820202029026,-0.11679840124068283,242,0.9267134558125625,0,0.0,0.0,False,2.830802259268239e-11
evaluation,BASE,BUY_HOLD,2025,0.19000526796167636,0.1891536772596284,0.1826290577328328,0.13628707555074462,1.3400321123247918,-0.09414639544678001,243,0.9266042470655912,0,0.0,0.0,False,2.773958840407431e-11
evaluation,BASE,BUY_HOLD,2026,0.020090666215121258,0.03283455662211168,0.04677594553211755,0.1705115478268411,0.2743271416409857,-0.08979668519913939,149,0.9004276520099145,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2020,0.05951885300000005,0.05926680080887769,0.058033970599511146,0.030236784948113004,1.9193168420220184,-0.005280958014032498,243,0.032875208246575124,2,164.5294,474.300000000018,False,1.807620719773695e-11
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2021,0.037424860055794,0.03726801350342073,0.03710295088595412,0.03218023316830883,1.1529733390028136,-0.009109633884335956,243,0.036958606930124316,2,172.33104000000003,474.09999999996694,False,2.4101609596982598e-11
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2025,0.04974090379135673,0.049531221168838936,0.048645241915898384,0.024546320168211268,1.9817732997264674,0.0,243,0.04074777712290507,2,178.44624000000002,470.4000000000265,False,1.77351466845721e-11
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2026,0.0,0.0,0.0,0.0,,0.0,149,0.0,0,0.0,0.0,False,0.0
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2020,0.05951885300000005,0.05926680080887769,0.058033970599511146,0.030236784948113004,1.9193168420220184,-0.005280958014032498,243,0.032875208246575124,2,164.5294,474.300000000018,False,1.807620719773695e-11
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2021,0.037424860055794,0.03726801350342073,0.03710295088595412,0.03218023316830883,1.1529733390028136,-0.009109633884335956,243,0.036958606930124316,2,172.33104000000003,474.09999999996694,False,2.4101609596982598e-11
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
