fit_origin,status,training_cycle_count,training_rows,latest_exit_date,kind
2014-12-31,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,2014-10-30,ridge
2015-01-05,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,2014-10-30,ridge
2015-02-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,2,111,2015-01-20,ridge
2015-03-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,2015-02-03,ridge
2015-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,2015-02-03,ridge
2015-05-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,2015-02-03,ridge
2015-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,4,176,2015-05-12,ridge
2015-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,ridge
2015-08-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,ridge
2015-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,ridge
2015-10-08,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,ridge
2015-11-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,ridge
2015-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,ridge
2016-01-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,6,260,2015-12-29,ridge
2016-02-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,ridge
2016-03-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,ridge
2016-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,ridge
2016-05-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,ridge
2016-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,ridge
2016-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,ridge
2016-08-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,ridge
2016-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,ridge
2016-10-10,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,ridge
2016-11-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,ridge
2016-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,2016-11-03,ridge
2017-01-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,2016-11-03,ridge
2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,2016-11-03,ridge
2017-03-01,FIT_COMPLETE,10,438,2017-02-08,ridge
2017-04-05,FIT_COMPLETE,10,438,2017-02-08,ridge
2017-05-02,FIT_COMPLETE,10,438,2017-02-08,ridge
2017-06-01,FIT_COMPLETE,11,497,2017-05-11,ridge
2017-07-03,FIT_COMPLETE,11,497,2017-05-11,ridge
2017-08-01,FIT_COMPLETE,11,497,2017-05-11,ridge
2017-09-01,FIT_COMPLETE,12,556,2017-08-14,ridge
2017-10-09,FIT_COMPLETE,12,556,2017-08-14,ridge
2017-11-01,FIT_COMPLETE,12,556,2017-08-14,ridge
2017-12-01,FIT_COMPLETE,13,615,2017-11-16,ridge
2018-01-02,FIT_COMPLETE,13,615,2017-11-16,ridge
2018-02-01,FIT_COMPLETE,13,615,2017-11-16,ridge
2018-03-01,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-04-02,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-05-02,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-06-01,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-07-02,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-08-01,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-09-03,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-10-08,FIT_COMPLETE,14,671,2018-02-09,ridge
2018-11-01,FIT_COMPLETE,15,678,2018-10-19,ridge
2018-12-03,FIT_COMPLETE,15,678,2018-10-19,ridge
2019-01-02,FIT_COMPLETE,15,678,2018-10-19,ridge
2019-02-01,FIT_COMPLETE,15,678,2018-10-19,ridge
2019-03-01,FIT_COMPLETE,15,678,2018-10-19,ridge
2019-04-01,FIT_COMPLETE,15,678,2018-10-19,ridge
2019-05-06,FIT_COMPLETE,15,678,2018-10-19,ridge
2019-06-03,FIT_COMPLETE,16,721,2019-05-07,ridge
2019-07-01,FIT_COMPLETE,16,721,2019-05-07,ridge
2019-08-01,FIT_COMPLETE,17,759,2019-07-05,ridge
2019-09-02,FIT_COMPLETE,17,759,2019-07-05,ridge
2019-10-08,FIT_COMPLETE,17,759,2019-07-05,ridge
2019-11-01,FIT_COMPLETE,17,759,2019-07-05,ridge
2019-12-02,FIT_COMPLETE,17,759,2019-07-05,ridge
2020-01-02,FIT_COMPLETE,17,759,2019-07-05,ridge
2020-02-03,FIT_COMPLETE,17,759,2019-07-05,ridge
2020-03-02,FIT_COMPLETE,17,759,2019-07-05,ridge
2020-04-01,FIT_COMPLETE,18,787,2020-03-17,ridge
2020-05-06,FIT_COMPLETE,18,787,2020-03-17,ridge
2020-06-01,FIT_COMPLETE,19,829,2020-05-26,ridge
2020-07-01,FIT_COMPLETE,19,829,2020-05-26,ridge
2020-08-03,FIT_COMPLETE,19,829,2020-05-26,ridge
2020-09-01,FIT_COMPLETE,19,829,2020-05-26,ridge
2020-10-09,FIT_COMPLETE,20,888,2020-09-23,ridge
2020-11-02,FIT_COMPLETE,20,888,2020-09-23,ridge
2020-12-01,FIT_COMPLETE,20,888,2020-09-23,ridge
2021-01-04,FIT_COMPLETE,20,888,2020-09-23,ridge
