period,date,quantity_fixed,additional_friction_cashflow,cumulative_cashflow_delta,hypothetical_cash_after,cash_feasible_at_this_trade
main,2020-01-02,46600,-131.6636399999843,-131.6636399999843,7698.109999999986,True
main,2020-01-21,-6200,-17.553439999996044,-149.21707999998034,33467.39815999999,True
main,2020-01-22,-40400,-113.78255999999237,-262.9996399999727,198395.00072000004,True
main,2020-02-05,37200,-102.59759999997914,-365.59723999995185,57425.03528000003,True
main,2020-02-18,-27500,-77.27499999999418,-442.87223999994603,168810.46328000005,True
main,2020-03-03,-9700,-27.373399999989488,-470.2456399999355,208680.90872000006,True
main,2020-03-23,1300,-2.5999999999994543,-472.845639999935,204068.70872000005,True
main,2020-04-07,-1300,-2.5999999999994543,-475.44563999993443,208946.50872000004,True
main,2020-07-01,32400,-91.97712000002502,-567.4227599999595,73071.38040000002,True
main,2020-07-02,14100,-40.26114000000962,-607.6838999999691,12769.769400000017,True
main,2020-07-08,-46500,-136.9610999999859,-744.644999999955,232580.31000000003,True
main,2020-08-19,17700,-52.653959999996005,-797.298959999951,146311.41624000002,True
main,2020-10-09,-17700,-52.08756000001449,-849.3865199999655,229751.22696000003,True
main,2020-12-15,44000,-132.0439999999653,-981.4305199999308,9531.17416000003,True
main,2021-01-14,-15700,-64.80017999999109,-1046.2306999999219,98043.75496000002,True
main,2021-01-20,-28300,-115.61681999999564,-1161.8475199999175,251651.28736000002,True
main,2021-02-03,8700,-35.67000000000553,-1197.517519999923,205845.8578,True
main,2021-02-19,-8700,-36.07542000000103,-1233.592939999924,255729.09652000002,True
main,2021-03-11,1100,-3.300000000000182,-1236.8929399999242,250191.09652,True
main,2021-03-25,-1100,-2.2000000000007276,-1239.092939999925,255577.19652,True
main,2021-06-08,3200,-11.37760000000344,-1250.4705399999284,238626.41892,True
main,2021-06-28,38000,-154.1811999999918,-1404.6517399999202,37754.10211999999,True
main,2021-06-30,-39900,-161.3316599999671,-1565.9833999998873,245948.79092,True
main,2021-07-22,-1300,-3.9000000000005457,-1569.8833999998878,252702.49092,True
main,2021-07-29,51800,-154.4261599999736,-1724.3095599998614,-1426.319959999977,False
main,2021-08-11,-7800,-31.338839999996708,-1755.6483999998582,38275.393000000025,True
main,2021-08-12,-44000,-176.44880000004196,-1932.0971999999,260562.4426,True
main,2021-10-29,12000,-35.88720000000467,-1967.9843999999048,201126.6778,True
main,2021-11-12,34000,-101.88440000000992,-2069.8687999999147,31704.93619999999,True
main,2021-11-22,-18000,-53.881200000003446,-2123.749999999918,121111.15939999999,True
main,2021-12-09,17500,-70.30450000001292,-2194.054499999931,32105.571399999964,True
main,2021-12-14,-45500,-183.16480000002775,-2377.219299999959,265472.6872,True
main,2022-01-10,1200,-2.399999999999636,-2379.6192999999585,259596.08719999995,True
main,2022-01-24,-1200,-2.399999999999636,-2382.019299999958,265297.08719999995,True
main,2022-01-27,1300,-2.6000000000012733,-2384.6192999999594,259274.6872,True
main,2022-02-17,-1300,-2.5999999999994543,-2387.219299999959,265249.6872,True
main,2022-03-11,1500,-2.9999999999990905,-2390.219299999958,258895.18719999996,True
main,2022-03-16,-1500,-3.0,-2393.219299999958,264935.1872,True
main,2022-04-25,1600,-3.2000000000007276,-2396.4192999999586,258611.78719999996,True
main,2022-05-12,-1600,-3.199999999999818,-2399.6192999999585,264928.38719999994,True
main,2022-05-13,16700,-46.7399599999917,-2446.35925999995,198235.32063999996,True
main,2022-05-18,42200,-118.27816000001621,-2564.6374199999664,28861.198079999933,True
main,2022-05-23,-53500,-150.57040000002598,-2715.2078199999924,246733.01447999995,True
main,2022-06-09,51100,-145.34884000002057,-2860.556660000013,31004.75767999994,True
