cost,entry,original_exit,variant,window_account_return,window_profit,last_sell_date_in_window,final_shares_at_window_end
BASE,2024-09-25,2024-10-08,ORIGINAL,0.30320466379926225,80993.90976000001,2024-10-08,0
BASE,2024-09-25,2024-10-08,NO_ZERO_WAIT,0.133782163464351,37288.422900000005,2024-09-30,0
BASE,2024-09-25,2024-10-08,NO_INTERNAL_UPSCALE,0.12130042501632787,31446.05952000001,2024-10-08,0
BASE,2024-09-25,2024-10-08,NO_115_MULTIPLIER,0.25817052315777733,67959.21390000003,2024-10-08,0
BASE,2024-09-25,2024-10-08,SOURCE_A_ONLY,0.33208023846475654,88652.35968,2024-10-08,0
BASE,2024-09-25,2024-10-08,SOURCE_B_ONLY,0.04737960507601269,12940.975299999991,2024-09-30,0
BASE,2024-09-25,2024-10-08,FINAL_RISK_CAP10,0.13672018438644962,32921.49591999999,2024-10-08,0
BASE,2020-12-15,2021-01-20,ORIGINAL,0.10516069768436753,24250.121399999945,2021-01-20,0
BASE,2020-12-15,2021-01-20,NO_ZERO_WAIT,0.10514716386234957,24743.23067999995,2021-01-20,0
BASE,2020-12-15,2021-01-20,NO_INTERNAL_UPSCALE,0.08521635039675357,19118.535839999968,2021-01-20,0
BASE,2020-12-15,2021-01-20,NO_115_MULTIPLIER,0.1024786448223931,23389.244879999955,2021-01-20,0
BASE,2020-12-15,2021-01-20,SOURCE_A_ONLY,0.11046447118563818,25597.662959999958,2021-01-20,0
BASE,2020-12-15,2021-01-20,SOURCE_B_ONLY,0.09609179466250639,21579.557759999996,2021-01-20,0
BASE,2020-12-15,2021-01-20,FINAL_RISK_CAP10,0.07752057967094528,16971.89631999997,2021-01-20,0
BASE,2020-07-01,2020-07-08,ORIGINAL,0.11413798860319257,23903.000640000013,2020-07-08,0
BASE,2020-07-01,2020-07-08,NO_ZERO_WAIT,0.13315374420689507,28081.232880000025,2020-07-07,0
BASE,2020-07-01,2020-07-08,NO_INTERNAL_UPSCALE,0.08342292465654166,17470.591920000006,2020-07-08,0
BASE,2020-07-01,2020-07-08,NO_115_MULTIPLIER,0.10661572569810174,22218.939960000018,2020-07-08,0
BASE,2020-07-01,2020-07-08,SOURCE_A_ONLY,0.12107049992581698,25329.709860000003,2020-07-08,0
BASE,2020-07-01,2020-07-08,SOURCE_B_ONLY,0.08630888035706841,18159.753599999996,2020-07-07,0
BASE,2020-07-01,2020-07-08,FINAL_RISK_CAP10,0.09004345533030556,18298.734959999972,2020-07-08,0
BASE,2025-06-03,2025-07-30,ORIGINAL,0.06108907325164603,21712.11730000004,2025-07-30,0
BASE,2025-06-03,2025-07-30,NO_ZERO_WAIT,0.06320292286570561,20371.585939999844,2025-07-29,0
BASE,2025-06-03,2025-07-30,NO_INTERNAL_UPSCALE,0.016433019418959027,4909.566059999983,2025-07-30,0
BASE,2025-06-03,2025-07-30,NO_115_MULTIPLIER,0.054555515275275246,18443.14518000005,2025-07-30,0
BASE,2025-06-03,2025-07-30,SOURCE_A_ONLY,0.06177493835893655,22399.9914,2025-07-30,0
BASE,2025-06-03,2025-07-30,SOURCE_B_ONLY,0.054506886441078706,15995.412179999985,2025-07-29,0
BASE,2025-06-03,2025-07-30,FINAL_RISK_CAP10,0.06105623239856883,16808.946419999993,2025-07-30,0
BASE,2025-04-09,2025-04-24,ORIGINAL,0.04230057031750256,14424.20504000003,2025-04-24,0
BASE,2025-04-09,2025-04-24,NO_ZERO_WAIT,0.04461179304820595,13765.197020000021,2025-04-23,0
BASE,2025-04-09,2025-04-24,NO_INTERNAL_UPSCALE,0.04232670598395938,12132.11017999996,2025-04-24,0
BASE,2025-04-09,2025-04-24,NO_115_MULTIPLIER,0.039500640190101244,12846.23007999995,2025-04-24,0
BASE,2025-04-09,2025-04-24,SOURCE_A_ONLY,0.04249719981971123,14781.583079999953,2025-04-24,0
BASE,2025-04-09,2025-04-24,SOURCE_B_ONLY,0.040820371425804636,11509.202440000023,2025-04-23,0
BASE,2025-04-09,2025-04-24,FINAL_RISK_CAP10,0.01846321508868276,4990.826500000025,2025-04-24,0
