period,date,status,observations,panic_budget,learned_budget,breakout_budget
evaluation,2020-01-02,NO_VIEW_WARMUP_KEEP_BUDGET,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-02-03,NO_VIEW_WARMUP_KEEP_BUDGET,17,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,37,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,59,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-05-06,NO_VIEW_WARMUP_KEEP_BUDGET,80,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,98,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,118,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,141,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,162,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-10-09,NO_VIEW_WARMUP_KEEP_BUDGET,184,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,200,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2020-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,221,0.3333333333333333,0.3333333333333333,0.3333333333333333
evaluation,2021-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5751565801778407,0.0007689889886090009,0.42407443083355034
evaluation,2021-02-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8706118505284062,0.0,0.12938814947159383
evaluation,2021-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.8706118505284062,0.0,0.12938814947159383
evaluation,2021-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.8706118505284062,0.0,0.12938814947159383
evaluation,2021-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.8706118505284062,0.0,0.12938814947159383
evaluation,2021-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.8706118505284062,0.0,0.12938814947159383
evaluation,2021-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.8706118505284062,0.0,0.12938814947159383
evaluation,2021-08-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8608638947609115,0.023249422860769645,0.1158866823783188
evaluation,2021-09-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7966107798438549,0.03894469347544838,0.1644445266806967
evaluation,2021-10-08,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7942455682582119,0.045984389935973334,0.15977004180581475
evaluation,2021-11-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8017126161186763,0.04892286565546866,0.14936451822585511
evaluation,2021-12-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8116289484184775,0.04347811615923804,0.14489293542228446
evaluation,2022-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7891396214476862,0.04071706505426641,0.17014331349804732
evaluation,2022-02-07,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.318013540234432,0.020992118459307624,0.6609943413062603
evaluation,2022-03-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.3151890164527334,0.04157458081158027,0.6432364027356863
evaluation,2022-04-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.31518901645273273,0.04157458081158016,0.6432364027356872
evaluation,2022-05-05,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.3151890164527321,0.04157458081158006,0.6432364027356878
evaluation,2022-06-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.31631590952243144,0.03477102760192101,0.6489130628756477
evaluation,2022-07-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.3152618324585842,0.042410664244998876,0.6423275032964169
evaluation,2022-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2022-09-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2022-10-10,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2022-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2022-12-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-01-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-02-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-04-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-05-04,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-07-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-08-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-09-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-10-09,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2023-12-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-01-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-02-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-06-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-08-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-09-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-10-08,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2024-12-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2025-01-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2025-02-05,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2025-03-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2025-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.3217978556112484,0.07359926951983498,0.6046028748689166
evaluation,2025-05-06,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.939989902707509,0.057447778148518765,0.00256231914397224
evaluation,2025-06-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9399757087416277,0.05713799657525066,0.002886294683121549
evaluation,2025-07-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.93925833680872,0.0582660496806555,0.0024756135106244865
evaluation,2025-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9363615282319275,0.062348894290690064,0.0012895774773822493
evaluation,2025-09-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.933447963647801,0.06559030195475248,0.0009617343974465104
