cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,TREND_COHERENCE_BLEND,按上升趋势连贯程度分配来源,0.29004595459999954,0.05185945328547224,0.051863393603174886,0.0509889483659653,1.0171497013614281,-0.03954736653045395,1219,0.11209586845367593,40,523.3090800000001,1529.0000000000193,False,4.604316927725449e-11,0.012898225088828319,False
BASE,VINTAGE_REFERENCE_RISK,第131轮普通波动乘数策略,0.31118657249999926,0.05525921391988411,0.055183569293453694,0.05278706036029318,1.0453995527844013,-0.03954736653045395,1219,0.11842000438341128,33,485.98550000000006,1418.3000000000072,False,5.67297320230864e-11,0.016297985723240184,False
BASE,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.2940723642999991,0.05251039130251532,0.05250124030284173,0.05136491082550617,1.0221226798425842,-0.04197791619990116,1219,0.11337488663855581,37,546.8271400000001,1602.2000000000269,False,4.604316927725449e-11,0.013549163105871398,False
BASE,CONTINUATION_STRENGTH_BLEND,第144轮继续持有预测预算,0.322334222799997,0.05703428193396122,0.05684513392995003,0.052410676265256105,1.0846098157988013,-0.04191316728609005,1219,0.12046579103111403,39,579.7554400000001,1695.6000000000313,False,4.604316927725449e-11,0.018073053737317296,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,TREND_COHERENCE_BLEND,按上升趋势连贯程度分配来源,0.30058511959999584,0.053559861514003465,0.053512892426144903,0.05165397227748337,1.0359879418116282,-0.0403384696273853,1219,0.11539468429796043,40,1039.1760800000002,2979.099999999998,False,4.6270542952697724e-11,0.014859589428316791,False
STRESS,VINTAGE_REFERENCE_RISK,第131轮普通波动乘数策略,0.31967028759999794,0.05661119068058205,0.05648916402425103,0.05325989979110238,1.0606321875522593,-0.0403384696273853,1219,0.121262865242272,33,967.14248,2786.8999999999896,False,4.6270542952697724e-11,0.017910918594895374,False
STRESS,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.3067993049999977,0.05455730048699888,0.05448751824980971,0.05220161461796962,1.0437899028328752,-0.04331005882257805,1219,0.11705214487437679,37,1088.239,3111.7000000000075,False,4.6270542952697724e-11,0.015857028401312208,False
STRESS,CONTINUATION_STRENGTH_BLEND,第144轮继续持有预测预算,0.33725251659999644,0.059391088783699676,0.059126547671726926,0.05343571130563566,1.1064987482536062,-0.04336532670452197,1219,0.12456082571873149,39,1153.99668,3297.500000000008,False,4.6270542952697724e-11,0.020690816698013002,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
