period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,VINTAGE_REFERENCE_RISK,11129.072119999997,17719.59999999997,-8063.499999999998,-353.2721200000001,-1119.700000000039,0.5453661292393608
evaluation,BASE,MODEL_SUPPORT_REFERENCE_ROUTER,7115.950780000188,5448.5,2251.4,136.54922,447.4000000000101,0.008723058526152627
evaluation,BASE,TREND_REFERENCE_ROUTER,2369.935820000188,7306.39999999998,-8483.8,-905.7358200000001,-2641.600000000026,0.33154769330432676
evaluation,STRESS,VINTAGE_REFERENCE_RISK,12495.077559999743,17716.99999999997,-7919.299999999999,-720.5775599999997,-1976.800000000033,0.5447558983543406
evaluation,STRESS,MODEL_SUPPORT_REFERENCE_ROUTER,6545.30899999995,5435.0,2246.3,295.491,840.5000000000082,0.005319423285086389
evaluation,STRESS,TREND_REFERENCE_ROUTER,5932.705159999896,7460.799999999988,-8255.2,-1789.9051599999998,-4937.200000000034,0.3657717481487254
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,-3422.8416399999405,-3178.0999999999985,0.0,60.84164000000004,183.90000000001965,-0.02327687294181713
earlier_diagnostic,BASE,MODEL_SUPPORT_REFERENCE_ROUTER,3207.835679999902,3177.4999999999927,0.0,-9.035679999999957,-21.300000000007003,0.04290960093365337
earlier_diagnostic,BASE,TREND_REFERENCE_ROUTER,-9793.217119999928,-10402.099999999984,0.0,-137.18287999999995,-471.6999999999623,-0.10554591112126044
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,-2574.196520000056,-2128.2999999999956,0.0,121.09652000000006,324.8000000000179,-0.016842284719384093
earlier_diagnostic,STRESS,MODEL_SUPPORT_REFERENCE_ROUTER,1762.85016000006,1700.7999999999956,0.0,-18.65016000000014,-43.399999999999636,0.03280045402690557
earlier_diagnostic,STRESS,TREND_REFERENCE_ROUTER,-8290.582999999984,-9375.699999999975,0.0,-271.51700000000005,-813.6000000000022,-0.08914055863211456
