period,date,status,observations,panic_budget,learned_budget
evaluation,2020-01-02,NO_VIEW_WARMUP_KEEP_BUDGET,1,0.5,0.5
evaluation,2020-02-03,NO_VIEW_WARMUP_KEEP_BUDGET,17,0.5,0.5
evaluation,2020-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,37,0.5,0.5
evaluation,2020-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,59,0.5,0.5
evaluation,2020-05-06,NO_VIEW_WARMUP_KEEP_BUDGET,80,0.5,0.5
evaluation,2020-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,98,0.5,0.5
evaluation,2020-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,118,0.5,0.5
evaluation,2020-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,141,0.5,0.5
evaluation,2020-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,162,0.5,0.5
evaluation,2020-10-09,NO_VIEW_WARMUP_KEEP_BUDGET,184,0.5,0.5
evaluation,2020-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,200,0.5,0.5
evaluation,2020-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,221,0.5,0.5
evaluation,2021-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9990350810381732,0.0009649189618268217
evaluation,2021-02-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9993665840022237,0.0006334159977763321
evaluation,2021-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9993665840022237,0.0006334159977763321
evaluation,2021-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9993665840022237,0.0006334159977763321
evaluation,2021-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9993665840022237,0.0006334159977763321
evaluation,2021-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9993665840022237,0.0006334159977763321
evaluation,2021-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9993665840022237,0.0006334159977763321
evaluation,2021-08-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.944899012799326,0.05510098720067402
evaluation,2021-09-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9058076322740028,0.09419236772599715
evaluation,2021-10-08,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.894391098884019,0.10560890111598098
evaluation,2021-11-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.894881270957686,0.10511872904231401
evaluation,2021-12-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9033651453474272,0.09663485465257282
evaluation,2022-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9025024503842798,0.09749754961572021
evaluation,2022-02-07,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8772217709014347,0.12277822909856528
evaluation,2022-03-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7831069832282632,0.21689301677173678
evaluation,2022-04-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7831069832282632,0.21689301677173678
evaluation,2022-05-05,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7831069832282632,0.21689301677173678
evaluation,2022-06-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8097183434847818,0.19028165651521822
evaluation,2022-07-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7780908672010769,0.2219091327989231
evaluation,2022-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6803660419469812,0.31963395805301875
evaluation,2022-09-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2022-10-10,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2022-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
