period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,11536.800000000017,82.22016,237.600000000009,0.0,18,1,2,2020-03-02,2020-02-28,False,11216.979840000007,0.056101510812470404
evaluation,BASE,2,2020-07-01,2020-06-30,105609.11760000001,16959.600000000006,45.596880000000006,151.20000000000573,0.0,10,1,1,2020-07-15,2020-07-14,False,16762.80312,0.15872496145162374
evaluation,BASE,3,2020-08-19,2020-08-18,113980.7916,-5545.800000000003,44.44596,140.40000000000532,0.0,17,1,1,2020-09-11,2020-09-10,False,-5730.645960000008,-0.050277295670229476
evaluation,BASE,4,2021-01-05,2021-01-04,52185.635039999994,1587.5999999999985,21.17584,58.799999999993524,705.5999999999999,12,1,1,2021-01-21,2021-01-20,False,2213.224160000005,0.04241060127568787
evaluation,BASE,5,2021-02-03,2021-02-02,39564.711359999994,-734.3999999999942,15.667200000000001,43.20000000000164,0.0,12,1,1,2021-02-26,2021-02-25,False,-793.2671999999958,-0.020049866983283256
evaluation,BASE,6,2021-06-08,2021-06-07,39168.632159999994,-806.5999999999985,15.494119999999999,44.39999999999511,0.0,30,1,1,2021-07-21,2021-07-20,False,-866.4941199999936,-0.022122143976344405
evaluation,BASE,7,2021-07-29,2021-07-28,186313.2552,7562.0,75.97720000000001,228.00000000000864,0.0,9,1,1,2021-08-11,2021-08-10,False,7258.022799999992,0.03895601948561731
evaluation,BASE,8,2021-10-29,2021-10-28,58409.87964,330.40000000000873,23.4112,70.80000000000268,0.0,16,1,1,2021-11-22,2021-11-19,False,236.18880000000604,0.004043644695995234
evaluation,BASE,9,2021-11-25,2021-11-24,58523.40234000001,936.0,23.577840000000002,70.20000000000266,0.0,10,1,1,2021-12-09,2021-12-08,False,842.2221599999973,0.014391202943174565
evaluation,BASE,10,2022-05-13,2022-05-12,80215.0398,1829.0999999999913,32.42532,100.49999999998894,0.0,6,1,1,2022-05-23,2022-05-20,False,1696.1746800000024,0.02114534486586395
evaluation,BASE,11,2022-06-08,2022-06-07,75817.96055999999,-470.6000000000058,30.205279999999995,108.60000000000412,0.0,2,1,1,2022-06-10,2022-06-09,False,-609.40528000001,-0.0080377429767152
evaluation,BASE,12,2022-08-10,2022-08-09,94210.8384,-515.1999999999971,37.54688,134.4000000000051,0.0,12,1,1,2022-08-26,2022-08-25,False,-687.1468800000022,-0.007293713671058915
evaluation,BASE,13,2024-02-19,2024-02-08,94209.23808,2817.899999999994,38.217420000000004,111.60000000000011,0.0,4,1,1,2024-02-23,2024-02-22,False,2668.0825799999943,0.028320816879278114
evaluation,BASE,14,2024-06-18,2024-06-17,95185.83336,-214.39999999999418,38.0024,107.2000000000001,0.0,22,1,1,2024-07-18,2024-07-17,False,-359.6023999999943,-0.0037778983206455826
