period,date,status,observations,panic_budget,learned_budget
evaluation,2020-01-02,NO_VIEW_WARMUP_KEEP_BUDGET,1,0.5,0.5
evaluation,2020-02-03,NO_VIEW_WARMUP_KEEP_BUDGET,17,0.5,0.5
evaluation,2020-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,37,0.5,0.5
evaluation,2020-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,59,0.5,0.5
evaluation,2020-05-06,NO_VIEW_WARMUP_KEEP_BUDGET,80,0.5,0.5
evaluation,2020-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,98,0.5,0.5
evaluation,2020-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,118,0.5,0.5
evaluation,2020-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,141,0.5,0.5
evaluation,2020-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,162,0.5,0.5
evaluation,2020-10-09,NO_VIEW_WARMUP_KEEP_BUDGET,184,0.5,0.5
evaluation,2020-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,200,0.5,0.5
evaluation,2020-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,221,0.5,0.5
evaluation,2021-01-04,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2021-02-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2021-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2021-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2021-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2021-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2021-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2021-08-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2021-09-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2021-10-08,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2021-11-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2021-12-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-01-04,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-02-07,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-03-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-04-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-05-05,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-06-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-07-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-08-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2022-09-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2022-10-10,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2022-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2022-12-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2023-01-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2023-02-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2023-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2023-04-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
