period,date,panic_budget,learned_budget,panic_reference_equity,learned_reference_equity,panic_state,learned_state,target,budget_status,budget_update_scheduled,last_successful_budget_origin
evaluation,2020-01-02,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-02
evaluation,2020-01-03,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-03
evaluation,2020-01-06,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-06
evaluation,2020-01-07,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-07
evaluation,2020-01-08,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-08
evaluation,2020-01-09,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-09
evaluation,2020-01-10,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-10
evaluation,2020-01-13,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-13
evaluation,2020-01-14,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-14
evaluation,2020-01-15,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-15
evaluation,2020-01-16,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-16
evaluation,2020-01-17,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-17
evaluation,2020-01-20,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-20
evaluation,2020-01-21,0.5,0.5,200000.0,200000.0,0.0,0.0,0.0,REFERENCE_WEALTH_BUDGET_AVAILABLE,True,2020-01-21
