period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,11536.800000000017,82.22016,237.600000000009,0.0,18,1,2,2020-03-02,2020-02-28,False,11216.979840000007,0.056101510812470404
evaluation,BASE,2,2020-07-01,2020-06-30,104351.86620000002,16757.70000000001,45.05406000000001,149.40000000000566,0.0,10,1,1,2020-07-15,2020-07-14,False,16563.245940000008,0.1587249614516238
evaluation,BASE,3,2020-08-19,2020-08-18,120313.0578,-5853.899999999994,46.91518,148.20000000000562,0.0,17,1,1,2020-09-11,2020-09-10,False,-6049.015179999999,-0.0502772956702294
evaluation,BASE,4,2021-01-05,2021-01-04,113956.38672,3466.800000000003,46.24112,128.39999999998585,1540.8,12,1,1,2021-01-21,2021-01-20,False,4832.958880000017,0.042410601275687916
evaluation,BASE,5,2021-02-03,2021-02-02,119243.64395999999,-2213.399999999994,47.2192,130.20000000000493,0.0,12,1,1,2021-02-26,2021-02-25,False,-2390.819199999999,-0.02004986698328335
evaluation,BASE,6,2021-06-08,2021-06-07,116976.59064,-2408.899999999994,46.272980000000004,132.5999999999854,0.0,30,1,1,2021-07-21,2021-07-20,False,-2587.7729799999797,-0.02212214397634439
evaluation,BASE,7,2021-07-29,2021-07-28,108846.16488000001,4417.799999999988,44.38668,133.20000000000505,0.0,9,1,1,2021-08-11,2021-08-10,False,4240.2133199999835,0.03895601948561721
evaluation,BASE,8,2021-10-29,2021-10-28,114344.76438,646.8000000000175,45.830400000000004,138.60000000000525,0.0,16,1,1,2021-11-22,2021-11-19,False,462.36960000001216,0.004043644695995238
evaluation,BASE,9,2021-11-25,2021-11-24,115046.00460000001,1840.0,46.34960000000001,138.00000000000523,0.0,10,1,1,2021-12-09,2021-12-08,False,1655.6503999999948,0.014391202943174565
evaluation,BASE,10,2022-05-13,2022-05-12,117728.541,2684.4999999999854,47.589400000000005,147.49999999998374,0.0,6,1,1,2022-05-23,2022-05-20,False,2489.410600000002,0.021145344865863936
evaluation,BASE,11,2022-06-08,2022-06-07,118962.98784,-738.3999999999942,47.393919999999994,170.40000000000646,0.0,2,1,1,2022-06-10,2022-06-09,False,-956.1939200000006,-0.008037742976715072
evaluation,BASE,12,2022-08-10,2022-08-09,117763.548,-643.9999999999854,46.9336,168.00000000000637,0.0,12,1,1,2022-08-26,2022-08-25,False,-858.9335999999918,-0.0072937136710588225
evaluation,BASE,13,2024-02-19,2024-02-08,117845.96448,3524.899999999994,47.806020000000004,139.60000000000014,0.0,4,1,1,2024-02-23,2024-02-22,False,3337.493979999994,0.02832081687927812
evaluation,BASE,14,2024-06-18,2024-06-17,120758.1468,-272.0,48.212,136.0000000000001,0.0,22,1,1,2024-07-18,2024-07-17,False,-456.2120000000001,-0.0037778983206456437
evaluation,BASE,15,2024-08-02,2024-08-01,119462.8878,-1104.0,47.52720000000001,138.0000000000001,0.0,2,1,1,2024-08-06,2024-08-05,False,-1289.5272,-0.010794374920509832
evaluation,BASE,16,2024-08-28,2024-08-27,118718.13888,-3907.199999999997,46.66816,140.7999999999845,0.0,11,1,1,2024-09-12,2024-09-11,False,-4094.668159999982,-0.03449067007476307
evaluation,BASE,17,2024-09-25,2024-09-24,116971.8897,17353.0,50.21650000000001,167.49999999998155,0.0,3,1,1,2024-09-30,2024-09-27,False,17135.28350000002,0.14649061021367785
evaluation,BASE,18,2025-04-09,2025-04-08,243120.41436000002,8480.599999999977,98.87316000000001,258.3999999999848,0.0,10,2,1,2025-04-23,2025-04-22,False,8123.326839999992,0.033412771450658164
evaluation,BASE,19,2025-06-03,2025-05-30,133863.96744,-1457.6999999999825,53.21622000000001,135.59999999998507,2983.2,11,1,1,2025-06-18,2025-06-17,False,1336.6837800000321,0.009985388940449232
evaluation,BASE,20,2025-12-19,2025-12-18,135834.1614,6525.0,55.593,174.0000000000066,0.0,18,1,1,2026-01-16,2026-01-15,False,6295.406999999994,0.04634627206525378
evaluation,BASE,21,2026-05-06,2026-04-30,143177.22972,705.6000000000058,57.365280000000006,176.39999999998057,0.0,2,1,1,2026-05-08,2026-05-07,False,471.8347200000253,0.003295459207604127
evaluation,BASE,22,2026-05-13,2026-05-12,141398.07396,-2431.0,56.027400000000014,171.6000000000065,0.0,3,1,1,2026-05-18,2026-05-15,False,-2658.6274000000067,-0.018802430086509548
evaluation,BASE,23,2026-06-05,2026-06-04,139037.40192,4811.0,56.53208000000001,169.7999999999813,0.0,11,1,1,2026-06-23,2026-06-22,False,4584.667920000019,0.03297434975545621
evaluation,BASE,24,2026-07-23,2026-07-22,144294.25308,-2838.7999999999884,57.102160000000005,181.19999999998004,0.0,6,1,1,2026-07-31,2026-07-30,False,-3077.1021599999685,-0.021325188594267533
evaluation,BASE,25,2026-08-07,2026-08-06,140827.25982,926.8999999999942,56.46914000000001,179.4000000000068,0.0,5,1,1,2026-08-14,2026-08-13,True,691.0308599999873,0.00490693961441298
evaluation,STRESS,1,2020-02-05,2020-02-04,199707.45104,11520.400000000009,164.13104000000004,448.00000000002086,0.0,18,1,2,2020-03-02,2020-02-28,False,10908.268959999989,0.05462124173732075
evaluation,STRESS,2,2020-07-01,2020-06-30,104003.18464,16690.40000000001,89.74624000000001,247.9999999999947,0.0,10,1,1,2020-07-15,2020-07-14,False,16352.653760000014,0.1572322406915098
evaluation,STRESS,3,2020-08-19,2020-08-18,120386.53536,-5853.899999999994,93.83036,246.99999999999474,0.0,17,1,1,2020-09-11,2020-09-10,False,-6194.730359999989,-0.051457003405534246
evaluation,STRESS,4,2021-01-05,2021-01-04,114043.39912,3466.800000000003,92.48224000000002,256.79999999999075,1540.8,12,1,1,2021-01-21,2021-01-20,False,4658.317760000012,0.04084688632525224
evaluation,STRESS,5,2021-02-03,2021-02-02,118782.69408,-2203.1999999999825,94.0032,259.2000000000098,0.0,12,1,1,2021-02-26,2021-02-25,False,-2556.4031999999925,-0.021521680576450455
evaluation,STRESS,6,2021-06-08,2021-06-07,116536.596,-2398.0,92.12720000000002,263.99999999999045,0.0,30,1,1,2021-07-21,2021-07-20,False,-2754.1271999999904,-0.023633152971106092
evaluation,STRESS,7,2021-07-29,2021-07-28,107931.1552,4378.0,87.96480000000001,241.99999999998312,0.0,9,1,1,2021-08-11,2021-08-10,False,4048.035200000017,0.03750571549520502
evaluation,STRESS,8,2021-10-29,2021-10-28,113918.54920000001,644.0,91.26400000000001,230.00000000001552,0.0,16,1,1,2021-11-22,2021-11-19,False,322.7359999999845,0.0028330416974796276
evaluation,STRESS,9,2021-11-25,2021-11-24,114114.02736000001,1824.0,91.88400000000001,250.80000000000274,0.0,10,1,1,2021-12-09,2021-12-08,False,1481.3159999999973,0.01298101586868748
evaluation,STRESS,10,2022-05-13,2022-05-12,117012.38624,2666.300000000003,94.53352000000001,263.699999999997,0.0,6,1,1,2022-05-23,2022-05-20,False,2308.066480000006,0.01972497574116651
evaluation,STRESS,11,2022-06-08,2022-06-07,118205.26320000002,-733.1999999999971,94.12032,282.00000000001904,0.0,2,1,1,2022-06-10,2022-06-09,False,-1109.3203200000162,-0.0093846948094272
evaluation,STRESS,12,2022-08-10,2022-08-09,117001.38183999999,-639.3999999999942,93.19672,277.9999999999941,0.0,12,1,1,2022-08-26,2022-08-25,False,-1010.5967199999883,-0.008637476789650097
evaluation,STRESS,13,2024-02-19,2024-02-08,116587.6164,3484.5,94.5162,276.0000000000002,0.0,4,1,1,2024-02-23,2024-02-22,False,3113.9838,0.026709387293040156
evaluation,STRESS,14,2024-06-18,2024-06-17,119783.99444,-269.6000000000058,95.57319999999999,269.60000000000025,0.0,22,1,1,2024-07-18,2024-07-17,False,-634.773200000006,-0.005299315680426444
evaluation,STRESS,15,2024-08-02,2024-08-01,118169.64895999999,-1091.199999999997,93.95231999999999,272.80000000000024,0.0,2,1,1,2024-08-06,2024-08-05,False,-1457.9523199999971,-0.012337790057187263
evaluation,STRESS,16,2024-08-28,2024-08-27,117462.16608,-3862.800000000003,92.27568,278.40000000000026,0.0,11,1,1,2024-09-12,2024-09-11,False,-4233.475680000003,-0.0360411851856768
evaluation,STRESS,17,2024-09-25,2024-09-24,115315.1076,17094.0,98.934,296.9999999999966,0.0,3,1,1,2024-09-30,2024-09-27,False,16698.066000000003,0.14480380192612335
evaluation,STRESS,18,2025-04-09,2025-04-08,239906.82436,8364.299999999988,194.99060000000003,509.60000000001355,0.0,10,2,1,2025-04-23,2025-04-22,False,7659.709399999974,0.03192785124155513
evaluation,STRESS,19,2025-06-03,2025-05-30,131587.614,-1431.9000000000233,104.54868,266.40000000000026,2930.3999999999996,11,1,1,2025-06-18,2025-06-17,False,1127.551319999976,0.008568825634303058
evaluation,STRESS,20,2025-12-19,2025-12-18,133575.909,6412.5,109.269,285.0000000000192,0.0,18,1,1,2026-01-16,2026-01-15,False,6018.230999999981,0.045054763580160105
evaluation,STRESS,21,2026-05-06,2026-04-30,140828.20876000004,693.6000000000058,112.77936000000003,289.00000000001955,0.0,2,1,1,2026-05-08,2026-05-07,False,291.82063999998627,0.002072174620194936
evaluation,STRESS,22,2026-05-13,2026-05-12,139010.0818,-2388.5,110.09580000000003,280.99999999999403,0.0,3,1,1,2026-05-18,2026-05-15,False,-2779.595799999994,-0.019995641783731356
evaluation,STRESS,23,2026-06-05,2026-06-04,136663.84368,4726.0,111.05544,305.7999999999787,0.0,11,1,1,2026-06-23,2026-06-22,False,4309.144560000022,0.03153097735264884
evaluation,STRESS,24,2026-07-23,2026-07-22,141993.07452,-2791.7999999999884,112.31352,296.9999999999937,0.0,6,1,1,2026-07-31,2026-07-30,False,-3201.113519999982,-0.022544152458288374
evaluation,STRESS,25,2026-08-07,2026-08-06,138558.80136,911.3999999999942,111.04968000000002,293.99999999999375,0.0,5,1,1,2026-08-14,2026-08-13,True,506.35032000000035,0.003654407479207428
