cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,UNIVERSAL_REFERENCE_BUDGET,全部固定比例增长汇总预算,0.24877642260000127,0.04509186416333843,0.046936613544851326,0.07507926757724004,0.6251607808582293,-0.11273392703887683,1219,0.15333327842459227,33,739.31548,2229.5999999999663,False,4.524736141320318e-11,0.0061306359666945046,False
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮连续最小方差,0.1568584352000007,0.0293488950560923,0.03162303621561269,0.0733779218584707,0.4309611857992698,-0.11074951407131403,1219,0.11458489947978016,35,786.8129600000001,2425.6999999999634,False,5.218225851422176e-11,-0.009612333140551623,False
BASE,TWO_POLICY_WEALTH_BUDGET,原第84轮单策略净值比例,0.23505771640000012,0.042802499433195314,0.04467620134037666,0.07418985632951158,0.6021874626896286,-0.11470460096731547,1219,0.1534815392419266,33,728.9567200000001,2193.6999999999653,False,4.1154635255225e-11,0.00384127123655139,False
BASE,PANIC_LEARNED_HALF,原两条策略各半,0.22966376269999908,0.04189677703772837,0.04366344015915876,0.07224015020229958,0.6044206723945715,-0.11074951407131403,1219,0.1435925223406067,32,726.44746,2201.5999999999667,False,5.218225851422176e-11,0.0029355488410844482,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,UNIVERSAL_REFERENCE_BUDGET,全部固定比例增长汇总预算,0.23398862440000123,0.04262323577543801,0.04457159876104072,0.07508205095301203,0.5936385353795754,-0.11402220913156573,1219,0.15341049674962612,33,1470.47512,4220.199999999999,False,5.826450433232822e-11,0.003922963689751334,False
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮连续最小方差,0.14153592399999956,0.026627814295249148,0.028969239118058602,0.0732794877947668,0.39532534942373626,-0.11216937802319174,1219,0.1146310833475733,35,1564.3152,4525.500000000001,False,4.160938260611147e-11,-0.012072457790437526,False
STRESS,TWO_POLICY_WEALTH_BUDGET,原第84轮单策略净值比例,0.2208401934000004,0.040408284331011964,0.042378076205959764,0.07420007012177525,0.5711325627645628,-0.11519060288307513,1219,0.15363073740648825,33,1450.5613200000003,4161.699999999999,False,4.1154635255225e-11,0.0017080122453252897,False
STRESS,PANIC_LEARNED_HALF,原两条策略各半,0.21526860940000017,0.03946393855069464,0.04132491760448148,0.07223208590324974,0.5721130310404378,-0.11216937802319174,1219,0.14367440811841564,32,1444.87812,4149.4,False,4.229150363244116e-11,0.0007636664650079658,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
