period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2020,0.11562463009999956,0.11512241617633713,0.11167124333875005,0.07382895055759404,1.5125671229964888,-0.034250502346481373,243,0.12259875448893882,7,185.37398000000002,568.2000000000205,False,4.160938260611147e-11
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2021,0.02714467875927576,0.02703147591737889,0.028435981686494183,0.05946427517237928,0.47820277980454534,-0.06191899558491831,243,0.20469502153849506,12,298.74556,865.1999999999897,False,3.6834535421803594e-11
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2022,0.0033499255850274363,0.0033499255850274363,0.003691251900487802,0.026426231397209076,0.13968135845800708,-0.017645326763010546,242,0.047504961863303684,6,159.25876,545.1999999999961,False,2.1827872842550278e-11
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2024,0.07200905189710785,0.07200905189710785,0.07112649581047714,0.05682928655824937,1.251581712847535,-0.03141752618837998,242,0.09944811237765365,10,268.96736,807.7999999999622,False,3.821298832917819e-11
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2025,0.046949676333659034,0.046752020270039274,0.04583048837180808,0.016436400707034438,2.788353070036409,-0.003805193051115176,243,0.08667313711229747,6,188.34072000000003,505.7999999999707,False,2.5437429940211587e-11
evaluation,BASE,UNIVERSAL_REFERENCE_BUDGET,2026,0.018490204044941908,0.030203963035021895,0.03129210194829704,0.055566839886384944,0.5631434505233448,-0.03949147053317751,149,0.14110617276017148,11,337.92570000000006,1045.7999999999552,False,4.979483492206782e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2020,0.06751541259999942,0.06722843492744016,0.06572762063042135,0.036462015044911394,1.802632700070542,-0.005403214023214214,243,0.04063410934187569,5,93.81748,259.7000000000162,False,2.326672188246448e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2021,0.04090023430543227,0.04072853870072201,0.04043948680089539,0.032347979365247095,1.250139501583254,-0.009119499551878272,243,0.0481316188814085,6,106.97390000000001,316.800000000012,False,3.205968823749572e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2022,0.0007454493459376382,0.0007454493459376382,0.0008263663285407175,0.012774714860266021,0.06468765350771274,-0.00982083030256035,242,0.022725571932358888,6,64.53476,221.89999999999947,False,3.6266101233195513e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2024,0.04052052799741792,0.04052052799741792,0.040226831639976424,0.031915190748215486,1.2604289899857697,-0.017555139630963546,242,0.05519467463907676,10,144.49106,434.0999999999797,False,2.9899638320785016e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2025,0.05360237005785167,0.05337599942012424,0.05221653183336439,0.020634607627839953,2.530531850914117,-0.005160722522432669,243,0.0719592654713158,6,142.62102,384.3999999999945,False,4.695266397902742e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2026,0.02109170479410404,0.03448122014762302,0.03460405262738281,0.03763416614713789,0.9194850363388343,-0.023077365070130404,149,0.09129340013499587,12,208.68040000000002,645.5999999999627,False,4.092726157978177e-11
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2020,0.10865605300000031,0.10818555109833025,0.10498922134377796,0.0674768042333102,1.5559305532722545,-0.03139065795053697,243,0.1137330641731732,7,174.1894,535.2000000000203,False,3.888089850079268e-11
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2021,0.028018608671232237,0.027901711966370188,0.029010814837374787,0.054683690346581056,0.5305204285502031,-0.05659164537707222,243,0.18830193127796188,12,276.29998,800.9999999999917,False,4.092726157978177e-11
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2022,0.002958110940437037,0.002958110940437037,0.003232423533492179,0.023681716415380465,0.13649447855869226,-0.01584849876994369,242,0.04258675980678878,6,141.91692,485.89999999999657,False,2.3078428057488054e-11
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2024,0.06400355231375983,0.06400355231375983,0.06331443625144662,0.050827098197086217,1.245682686938761,-0.02834601213613938,242,0.08964147001925608,10,240.42988,721.8999999999663,False,2.290789780090563e-11
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2025,0.04712364794700734,0.04692524318225558,0.04599801300569264,0.016563927827858874,2.776999120240585,-0.0035170449705969765,243,0.08314746393120435,6,179.25078000000002,480.99999999997317,False,2.864908310584724e-11
evaluation,BASE,TWO_POLICY_WEALTH_BUDGET,2026,0.01689889031958133,0.027590963032751416,0.028558798942084938,0.05194312459641896,0.5498090298567411,-0.036971399929986826,149,0.13171962825304268,11,311.92766,965.3999999999586,False,2.4229507289419416e-11
