cost,model,era,days,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown
BASE,M0,2020-2021,486,0.025839422699999358,0.012784148347576667,0.017930067983183598,0.10187491062177585,0.17600082173079257,-0.11699150398318035
BASE,M0,2022-2023,484,-0.23017228873748613,-0.12260173737206781,-0.12651209674030678,0.09221120525557998,-1.3719818148960932,-0.2567963386576141
BASE,M0,2024-2026,631,0.07273741530058811,0.027294080264129068,0.030739253077894404,0.0871867240223437,0.3525680477456261,-0.11189570776839255
BASE,M1,2020-2021,486,0.025113933200000327,0.01242743048271329,0.017836159720319125,0.10437842105474761,0.17087976173699607,-0.10656273028560174
BASE,M1,2022-2023,484,-0.18021221175223068,-0.09457866810651666,-0.09526688579476306,0.09025151851368578,-1.0555710016149673,-0.18021221175223068
BASE,M1,2024-2026,631,0.04049906541582731,0.015342357110725372,0.01864126686885857,0.08250732304604814,0.22593469501434066,-0.10772230473545194
BASE,VOL_ONLY,2020-2021,486,0.16152629219999937,0.07740929467249442,0.08169582328270078,0.11923429630271963,0.6851705072782601,-0.10210206520710187
BASE,VOL_ONLY,2022-2023,484,-0.22857811388593433,-0.12169374013726529,-0.1238832196479992,0.10819720187084282,-1.1449761870540893,-0.2552404462050273
BASE,VOL_ONLY,2024-2026,631,0.30807937736343904,0.10848878245484421,0.11044129015798537,0.12223610630667399,0.9035079199995376,-0.11038194305511384
BASE,BUY_HOLD,2020-2021,486,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777
BASE,BUY_HOLD,2022-2023,484,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396
BASE,BUY_HOLD,2024-2026,631,0.41067335557895657,0.14105813639020487,0.14697866954299824,0.1733789099061833,0.8477309588722732,-0.15253998850559136
STRESS,M0,2020-2021,486,0.017857533599998924,0.008852514604291942,0.014038980836964374,0.1018601833418094,0.13782599222165304,-0.11854957114893092
STRESS,M0,2022-2023,484,-0.23971045745178285,-0.12805416306503467,-0.13274390019786475,0.0921917145927175,-1.4398680053223634,-0.265962657900201
STRESS,M0,2024-2026,631,0.055284914639016046,0.02085184338621723,0.02445201854363566,0.0872342986899774,0.28030280418182607,-0.11647617739181457
STRESS,M1,2020-2021,486,0.01410545400000061,0.0069990074819783745,0.0124655363678445,0.1044329745286247,0.11936398847308273,-0.108560449847727
STRESS,M1,2022-2023,484,-0.19058044707054664,-0.10032252838617027,-0.10163022278487321,0.09022695163592283,-1.1263843113636824,-0.19058044707054664
STRESS,M1,2024-2026,631,0.020034413340847542,0.007636618978898786,0.011028422503254446,0.0825751617114297,0.13355617203384706,-0.11324044698577038
STRESS,VOL_ONLY,2020-2021,486,0.15665757060000135,0.07515814999102523,0.0796085424412162,0.11927525769128104,0.6674355099468006,-0.10240370156598887
STRESS,VOL_ONLY,2022-2023,484,-0.23193967550900663,-0.12360949087122503,-0.12606729390567106,0.10818085234703007,-1.1653383308652776,-0.25848340009991877
STRESS,VOL_ONLY,2024-2026,631,0.29964160167898346,0.10574103478063783,0.10795305971610565,0.12218956871831307,0.8834883439598086,-0.11121741704391193
STRESS,BUY_HOLD,2020-2021,486,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083
STRESS,BUY_HOLD,2022-2023,484,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586
STRESS,BUY_HOLD,2024-2026,631,0.4101920625305079,0.14090881480800257,0.14686758055542642,0.1734939850436726,0.8465283711043718,-0.1526317349696486
