period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,56044.00656,5017.200000000004,23.401760000000003,74.000000000005,0.0,13,1,1,2020-02-24,2020-02-21,False,4919.79824,0.08778455613684448
evaluation,BASE,2,2020-07-01,2020-06-30,144583.911,21873.0,62.15520000000001,206.9999999999772,0.0,4,1,1,2020-07-07,2020-07-06,False,21603.84480000002,0.14942080796251267
evaluation,BASE,3,2020-08-19,2020-08-18,123837.7626,-4575.0,48.5796,153.0000000000058,0.0,30,2,1,2020-09-30,2020-09-29,False,-4776.5796000000055,-0.038571268567153566
evaluation,BASE,4,2021-01-05,2021-01-04,148569.30792,9249.899999999994,61.23234000000001,167.40000000000634,0.0,7,1,2,2021-01-14,2021-01-13,False,9021.267659999987,0.06072093749576906
evaluation,BASE,5,2021-02-03,2021-02-02,101109.81791999999,4618.400000000009,41.33744,110.40000000000418,0.0,7,1,1,2021-02-19,2021-02-18,False,4466.662560000004,0.044176348567199604
evaluation,BASE,6,2021-06-08,2021-06-07,235166.62392,-13404.599999999977,91.31316000000001,268.80000000000575,0.0,35,2,4,2021-07-28,2021-07-27,False,-13764.713159999983,-0.05853174625954796
evaluation,BASE,7,2021-10-29,2021-10-28,238768.14408,9940.100000000006,97.41822,289.800000000011,0.0,31,3,2,2021-12-13,2021-12-10,False,9552.881779999996,0.04000902975063237
evaluation,BASE,8,2022-05-13,2022-05-12,138346.59704,5308.600000000006,56.68556,184.59999999997967,0.0,17,3,1,2022-06-08,2022-06-07,False,5067.3144400000265,0.03662767678004338
evaluation,BASE,9,2022-08-10,2022-08-09,207963.28434,-2021.0,82.70484,298.2000000000113,0.0,21,2,2,2022-09-08,2022-09-07,False,-2401.904840000011,-0.011549658140968418
evaluation,BASE,10,2024-02-19,2024-02-08,111767.94911999999,3376.199999999997,45.347,132.39999999998543,0.0,5,1,1,2024-02-26,2024-02-23,False,3198.4530000000113,0.028616906950363587
evaluation,BASE,11,2024-06-18,2024-06-17,236543.89932,-532.7999999999884,94.43880000000001,266.4000000000002,0.0,22,1,1,2024-07-18,2024-07-17,False,-893.6387999999886,-0.0037778983206455947
evaluation,BASE,12,2024-08-02,2024-08-01,235825.85574,-11713.600000000006,91.91380000000001,274.7999999999949,0.0,29,3,2,2024-09-12,2024-09-11,False,-12080.313800000002,-0.0512255696564445
evaluation,BASE,13,2024-09-25,2024-09-24,118717.7388,14787.599999999991,50.40296000000001,160.79999999999046,0.0,3,1,2,2024-09-30,2024-09-27,False,14576.397040000002,0.12278196322923901
evaluation,BASE,14,2025-04-10,2025-04-09,90910.37844,2403.800000000003,36.8186,95.20000000000007,0.0,17,1,1,2025-05-08,2025-05-07,False,2271.7814000000026,0.024989241481371206
evaluation,BASE,15,2025-06-03,2025-05-30,240086.40768,2979.1999999999825,96.56256,243.20000000000022,5350.4,17,1,1,2025-06-26,2025-06-25,False,7989.837439999982,0.0332790078255878
evaluation,BASE,16,2025-12-19,2025-12-18,221295.2502,11114.600000000006,90.66668000000001,283.20000000001073,0.0,11,2,1,2026-01-07,2026-01-06,False,10740.733319999996,0.048535760755338594
evaluation,BASE,17,2026-01-16,2026-01-15,249150.82020000002,-11786.0,97.22200000000001,306.00000000000495,5399.7,13,2,2,2026-02-04,2026-02-03,False,-6789.5220000000045,-0.02725065080881481
evaluation,BASE,18,2026-05-06,2026-04-30,221485.58826,1982.3000000000466,88.91874000000001,271.2000000000103,0.0,5,2,1,2026-05-13,2026-05-12,False,1622.1812600000362,0.007324093963602597
evaluation,BASE,19,2026-06-05,2026-06-04,162128.4192,2051.399999999994,65.20908,197.9999999999837,0.0,10,1,2,2026-06-22,2026-06-18,False,1788.1909200000105,0.011029472370258024
evaluation,BASE,20,2026-07-23,2026-07-22,89347.76598000001,-691.8999999999942,35.57114000000001,112.20000000000425,0.0,16,1,1,2026-08-14,2026-08-13,True,-839.6711399999984,-0.00939778550465329
evaluation,STRESS,1,2020-02-05,2020-02-04,56084.82496,5017.200000000004,46.803520000000006,133.20000000000505,0.0,13,1,1,2020-02-24,2020-02-21,False,4837.196479999999,0.0862478662178212
evaluation,STRESS,2,2020-07-01,2020-06-30,144681.8496,21873.0,124.31040000000002,344.99999999999267,0.0,4,1,1,2020-07-07,2020-07-06,False,21403.68960000001,0.14793624534918864
evaluation,STRESS,3,2020-08-19,2020-08-18,123432.35320000001,-4561.800000000003,96.78008,253.99999999999983,0.0,30,2,1,2020-09-30,2020-09-29,False,-4912.580080000003,-0.039799776579160305
evaluation,STRESS,4,2021-01-05,2021-01-04,148149.83624,9217.400000000009,122.02600000000001,333.60000000001264,0.0,7,1,2,2021-01-14,2021-01-13,False,8761.773999999996,0.059141300607353245
evaluation,STRESS,5,2021-02-03,2021-02-02,100635.33803999999,4593.3000000000175,82.22556,219.60000000000832,0.0,7,1,1,2021-02-19,2021-02-18,False,4291.474440000009,0.042643812040401324
