period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-01-02,2019-12-31,199593.11064,-18876.0,75.99768,241.99999999999483,0.0,16,1,1,2020-02-03,2020-01-23,False,-19193.997679999997,-0.09616563226282707
evaluation,BASE,2,2020-02-05,2020-02-04,180628.31844,12735.900000000023,74.73636000000002,238.5000000000161,0.0,14,1,1,2020-02-25,2020-02-24,False,12422.663640000006,0.06877472894222005
evaluation,BASE,3,2020-04-09,2020-04-08,192971.5866,-1071.0,76.91820000000001,203.99999999997755,0.0,3,1,1,2020-04-14,2020-04-13,False,-1351.9181999999776,-0.007005788903017588
evaluation,BASE,4,2020-04-20,2020-04-17,191821.15656,-300.6000000000058,76.61292000000002,200.40000000000018,0.0,1,1,1,2020-04-21,2020-04-20,False,-577.612920000006,-0.0030112054913991396
evaluation,BASE,5,2020-04-23,2020-04-22,190971.38664,5029.799999999988,77.33940000000001,199.20000000000016,0.0,11,1,1,2020-05-13,2020-05-12,False,4753.260599999989,0.024889909863619285
evaluation,BASE,6,2020-05-14,2020-05-13,195168.0258,1089.0,78.22980000000001,198.00000000002217,0.0,21,1,1,2020-06-12,2020-06-11,False,812.7701999999778,0.00416446391087068
evaluation,BASE,7,2020-06-19,2020-06-18,196609.8141,31525.0,84.875,291.000000000011,0.0,56,1,1,2020-09-09,2020-09-08,False,31149.12499999999,0.15843118077593457
evaluation,BASE,8,2020-09-14,2020-09-11,228009.5928,871.1999999999825,91.30176,290.39999999996803,0.0,6,1,1,2020-09-22,2020-09-21,False,489.49824000001445,0.0021468317801408504
evaluation,BASE,9,2020-09-23,2020-09-22,228286.64820000003,1649.0,91.56800000000001,291.000000000011,0.0,18,1,1,2020-10-27,2020-10-26,False,1266.4319999999889,0.005547551773113241
evaluation,BASE,10,2020-11-09,2020-11-06,229762.24326000002,3687.999999999942,92.56880000000001,276.59999999996955,0.0,1,1,1,2020-11-10,2020-11-09,False,3318.8311999999723,0.014444632646819902
evaluation,BASE,11,2020-11-11,2020-11-10,232556.90208,14523.199999999983,95.85312,278.39999999996934,0.0,38,1,1,2021-01-05,2021-01-04,False,14148.946880000014,0.06084079532127905
evaluation,BASE,12,2021-01-06,2021-01-05,246934.377,588.8999999999942,98.81742,271.8000000000103,3261.6,16,1,1,2021-01-28,2021-01-27,False,3479.882579999984,0.014092337495803527
evaluation,BASE,13,2021-01-29,2021-01-28,250533.0966,-833.3999999999942,99.97096,277.8000000000105,0.0,15,1,1,2021-02-26,2021-02-25,False,-1211.1709600000047,-0.004834375084317721
evaluation,BASE,14,2021-03-02,2021-03-01,249069.10386,-2102.1999999999534,99.13244,274.2000000000104,0.0,2,1,1,2021-03-04,2021-03-03,False,-2475.5324399999636,-0.009939138984462092
evaluation,BASE,15,2021-03-08,2021-03-05,246638.8179,-10369.5,96.5061,279.0000000000106,0.0,1,1,1,2021-03-09,2021-03-08,False,-10745.006100000011,-0.04356575413184387
evaluation,BASE,16,2021-03-11,2021-03-10,235813.45326,-2673.3000000000175,93.71558000000002,281.399999999969,0.0,39,1,1,2021-05-11,2021-05-10,False,-3048.4155799999867,-0.012927233530815164
evaluation,BASE,17,2021-05-17,2021-05-14,232766.94408000002,-8308.199999999983,91.37204000000001,272.4000000000103,0.0,67,1,1,2021-08-19,2021-08-18,False,-8671.972039999993,-0.03725602909070933
evaluation,BASE,18,2021-08-20,2021-08-19,224168.8248,7888.8000000000175,91.17264,273.60000000001037,0.0,16,1,1,2021-09-13,2021-09-10,False,7524.027360000007,0.033564111185901205
evaluation,BASE,19,2021-09-15,2021-09-14,231721.53504000002,-6031.999999999971,91.40800000000002,278.40000000001055,0.0,3,1,1,2021-09-22,2021-09-17,False,-6401.807999999982,-0.02762716032799841
evaluation,BASE,20,2021-09-23,2021-09-22,225381.0672,228.9999999999709,90.12524,274.7999999999697,0.0,4,1,1,2021-09-29,2021-09-28,False,-135.92523999999884,-0.0006030907639610238
evaluation,BASE,21,2021-09-30,2021-09-29,225163.22364,-1051.0999999999767,89.78222000000002,274.2000000000104,0.0,37,1,1,2021-11-29,2021-11-26,False,-1415.082219999987,-0.00628469515191556
evaluation,BASE,22,2021-11-30,2021-11-29,224093.80980000002,-953.4000000000233,89.37444000000002,272.39999999996996,0.0,1,1,1,2021-12-01,2021-11-30,False,-1315.1744399999934,-0.005868856623811986
evaluation,BASE,23,2021-12-08,2021-12-07,222488.4888,-8524.79999999996,87.21936000000001,266.4000000000101,3330.0,29,1,1,2022-01-19,2022-01-18,False,-5548.419359999969,-0.02493800641069377
