cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,VORTEX_RISK,2020—2021,-0.014256746999998456,-0.007124628042262262,-0.0032210254138136567,0.08897150086966796,-0.0362028894907826,-0.18008738890730988,486,0.3662177756678876,84,1780.6494,5309.499999999949,False,3.907985046680551e-11
BASE,VORTEX_RISK,2022—2023,-0.0660197173066517,-0.033573446818979266,-0.03270769032968174,0.05370705784394676,-0.6090017149090242,-0.11175252996840658,484,0.222740954702869,42,866.99818,2623.6999999999507,False,4.0827785596775357e-11
BASE,VORTEX_RISK,2024—终点,0.1595228257297505,0.05812172862427203,0.059829661951025195,0.08181612866442041,0.731269774403827,-0.08286793825891912,634,0.3868152922926907,86,1812.9911200000001,5485.799999999969,False,4.934008757118136e-11
BASE,TREND_NOISE_REFERENCE_BLEND,2020—2021,0.19704896469999975,0.09369249907210299,0.09076581360350951,0.04919274213688075,1.845105795301064,-0.026560198049483116,486,0.08197532503229543,21,327.30706000000004,972.6000000000131,False,4.0245140553452075e-11
BASE,TREND_NOISE_REFERENCE_BLEND,2022—2023,0.0004741558756059021,0.00023704984148927602,0.0002817303588174558,0.009469783286594194,0.029750454713814267,-0.010410860630406027,484,0.012434703166298848,7,73.58244000000002,241.09999999999982,False,2.4783730623312294e-11
BASE,TREND_NOISE_REFERENCE_BLEND,2024—终点,0.11221772980630187,0.041431746182644565,0.041087877947695285,0.03135213002725374,1.3105290744832478,-0.02676498395427396,634,0.08314855590488958,38,603.73786,1763.199999999939,False,7.855760486563668e-11
BASE,VINTAGE_REFERENCE_RISK,2020—2021,0.15511581139999991,0.0744442973300739,0.07418919391836586,0.06933373961728613,1.0700301805135746,-0.07296043914247852,486,0.170688065350386,23,425.43772,1270.4000000000153,False,3.7118752516107634e-11
BASE,VINTAGE_REFERENCE_RISK,2022—2023,0.011537412845078993,0.005752162734477541,0.005973181361451474,0.021839201675291374,0.2735073126875999,-0.02815851497114433,484,0.042672253326607366,8,139.3904,482.799999999991,False,3.774403012357652e-11
BASE,VINTAGE_REFERENCE_RISK,2024—终点,0.09236407440190834,0.03429630461831718,0.03499816525738178,0.05062181282431721,0.6913653088411268,-0.05844429222319417,634,0.1719663587200466,31,793.0713600000001,2343.3999999999855,False,4.808953235624358e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,VORTEX_RISK,2020—2021,-0.04203412300000045,-0.021156200243016374,-0.017443254913397977,0.08908119474032616,-0.19581298796278482,-0.19352022235867236,486,0.3666132074551912,84,3496.9246,9590.9,False,4.5702108764089644e-11
STRESS,VORTEX_RISK,2022—2023,-0.08064462759564472,-0.041169789585061484,-0.04058939031056502,0.053860669765872664,-0.7535998064450987,-0.1238322383560707,484,0.22273974005788985,42,1668.4602800000002,4648.699999999991,False,3.944933268940076e-11
STRESS,VORTEX_RISK,2024—终点,0.1232852325900739,0.04537528227840449,0.04772145419145796,0.0819826859200649,0.5820918606885792,-0.09357281102475053,634,0.387194370663528,85,3399.0660400000006,9287.30000000004,False,5.002220859751105e-11
STRESS,TREND_NOISE_REFERENCE_BLEND,2020—2021,0.19136774240000023,0.09110474777340312,0.08839559362727382,0.04918360044683187,1.7972574765613314,-0.026490071431383246,486,0.08203517589911764,21,638.8515199999999,1754.5999999999779,False,2.955857780762017e-11
STRESS,TREND_NOISE_REFERENCE_BLEND,2022—2023,-0.0005410106191913289,-0.00027054190605713097,-0.0002253581534526483,0.009523604771411823,-0.023663114845875757,-0.010414236242913613,484,0.012437253172787684,7,141.50852,408.80000000000126,False,3.3871572213683976e-11
STRESS,TREND_NOISE_REFERENCE_BLEND,2024—终点,0.10332037808675051,0.03824384220834795,0.038016484421798884,0.031185880357580405,1.2190287394775485,-0.028234122527049838,634,0.08319443419414033,38,1186.7057600000003,3198.2000000000435,False,5.5933924159035087e-11
