period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-52895.71134000001,-48821.00000000001,9823.4,3456.0113400000014,10442.099999999919,-1.1245073496592441
evaluation,BASE,VINTAGE_REFERENCE_RISK,-41766.63922000001,-31101.400000000038,1759.9000000000015,3102.7392200000013,9322.39999999988,-0.5791412204198833
evaluation,BASE,BUY_HOLD,-39744.70293999993,-10986.80000000004,-11254.400000000001,4374.902940000002,13128.59999999986,-0.12141505199942762
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,-64891.885119999875,-49338.000000000015,9208.8,6597.385120000001,18165.300000000007,-1.2145900537375052
evaluation,STRESS,VINTAGE_REFERENCE_RISK,-52396.80756000013,-31621.000000000044,1289.5,5876.807560000001,16188.499999999975,-0.6698341553831646
evaluation,STRESS,BUY_HOLD,-55113.77939999997,-11787.800000000047,-11890.100000000002,8392.979400000002,23042.90000000004,-0.2696497095348081
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,-25757.821760000166,-21295.30000000004,8014.299999999999,3170.2217600000004,9306.600000000013,-0.6166844508478144
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,-29180.663400000107,-24473.400000000038,8014.299999999999,3231.0634,9490.500000000033,-0.6399613237896316
earlier_diagnostic,BASE,BUY_HOLD,-9405.543140000198,13263.199999999935,-8404.899999999998,3632.04314,10631.800000000045,0.12671624284221777
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,-43173.233679999685,-27466.90000000006,7722.700000000001,6084.5336800000005,17344.499999999905,-0.7954237044748417
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,-45747.43019999974,-29595.200000000055,7722.700000000001,6205.6302,17669.299999999923,-0.8122659891942258
earlier_diagnostic,STRESS,BUY_HOLD,-23968.961159999715,11687.899999999932,-8696.499999999996,7002.76116,19957.59999999992,-0.029341575822690952
