signal_bucket,observation_count,mean_return,median_return,win_rate,standard_deviation,period,outcome,mean_return_bps,median_return_bps,signal
1,15290,-8.068030661169467e-05,0.0,0.3169391759319817,0.0005861250218797731,development,etf_markout_close_1m,-0.8068030661169467,0.0,no_if_primary_alpha_score
2,15301,-4.6941670573031154e-05,0.0,0.33984706881903143,0.0005445124519446705,development,etf_markout_close_1m,-0.4694167057303115,0.0,no_if_primary_alpha_score
3,15280,-2.6300077792832603e-05,0.0,0.3517015706806283,0.000531171184128996,development,etf_markout_close_1m,-0.26300077792832605,0.0,no_if_primary_alpha_score
4,15310,-1.0888411182590182e-05,0.0,0.36492488569562376,0.0005296668704033583,development,etf_markout_close_1m,-0.10888411182590182,0.0,no_if_primary_alpha_score
5,15301,-1.1578717598457039e-05,0.0,0.36827658322985424,0.0005339598868908881,development,etf_markout_close_1m,-0.11578717598457039,0.0,no_if_primary_alpha_score
6,15314,1.137131533928042e-05,0.0,0.38853336815985373,0.0005324726021191407,development,etf_markout_close_1m,0.11371315339280419,0.0,no_if_primary_alpha_score
7,15284,1.1393315978798393e-05,0.0,0.39093169327401206,0.0005227581242863001,development,etf_markout_close_1m,0.11393315978798393,0.0,no_if_primary_alpha_score
8,15294,3.3517942245695955e-05,0.0,0.4110762390479927,0.0005407456861819142,development,etf_markout_close_1m,0.33517942245695953,0.0,no_if_primary_alpha_score
9,15317,3.8009490305957566e-05,0.0,0.41861983417118237,0.0005509631699911247,development,etf_markout_close_1m,0.38009490305957566,0.0,no_if_primary_alpha_score
10,15287,8.145998840222711e-05,0.0,0.4523451298488912,0.0006129010955039015,development,etf_markout_close_1m,0.8145998840222711,0.0,no_if_primary_alpha_score
1,15159,-4.1160106538315705e-05,0.0,0.3870967741935484,0.0008099031165525103,development,etf_execution_next_open_1m,-0.41160106538315705,0.0,no_if_primary_alpha_score
2,15173,-2.1398239052740335e-05,0.0,0.39253937916035064,0.0007452278500169715,development,etf_execution_next_open_1m,-0.21398239052740334,0.0,no_if_primary_alpha_score
3,15145,-1.4618119910754926e-05,0.0,0.39557609772202046,0.000735508997277724,development,etf_execution_next_open_1m,-0.14618119910754926,0.0,no_if_primary_alpha_score
4,15152,1.176201152092859e-06,0.0,0.40766895459345304,0.0007406886255510377,development,etf_execution_next_open_1m,0.01176201152092859,0.0,no_if_primary_alpha_score
5,15170,7.571388502631514e-07,0.0,0.40929466051417274,0.0007301854726714403,development,etf_execution_next_open_1m,0.007571388502631514,0.0,no_if_primary_alpha_score
6,15163,4.248385812988884e-06,0.0,0.4126492118973818,0.0007326490719324808,development,etf_execution_next_open_1m,0.04248385812988884,0.0,no_if_primary_alpha_score
7,15150,-4.080803792865225e-06,0.0,0.40877887788778877,0.0007229052176389546,development,etf_execution_next_open_1m,-0.04080803792865225,0.0,no_if_primary_alpha_score
8,15156,9.672657805456102e-06,0.0,0.4109923462655054,0.0007330094723932925,development,etf_execution_next_open_1m,0.09672657805456102,0.0,no_if_primary_alpha_score
9,15181,9.374817257345218e-06,0.0,0.4198010671233779,0.0007596689454421007,development,etf_execution_next_open_1m,0.09374817257345218,0.0,no_if_primary_alpha_score
10,15157,3.7554938422898606e-05,0.0,0.4331332057795078,0.0008322977645768312,development,etf_execution_next_open_1m,0.37554938422898604,0.0,no_if_primary_alpha_score
1,15157,-5.18075444445082e-06,-1.1473088386892982e-05,0.4866398363792307,0.0006592348479315274,development,etf_execution_next_vwap_1m,-0.0518075444445082,-0.11473088386892982,no_if_primary_alpha_score
2,15173,3.951282333647756e-06,-4.392548919263106e-06,0.4946945231661504,0.0006016548052634799,development,etf_execution_next_vwap_1m,0.03951282333647756,-0.04392548919263106,no_if_primary_alpha_score
3,15145,4.13963239114055e-06,-1.6214419483739917e-06,0.4978540772532189,0.0005933681821724751,development,etf_execution_next_vwap_1m,0.041396323911405505,-0.016214419483739917,no_if_primary_alpha_score
4,15152,1.6912151202876293e-05,3.121010361928356e-06,0.5042238648363252,0.0005927620130964679,development,etf_execution_next_vwap_1m,0.16912151202876294,0.031210103619283558,no_if_primary_alpha_score
5,15170,1.9174668087557667e-05,9.684838359946824e-06,0.5104812129202373,0.000584854854977382,development,etf_execution_next_vwap_1m,0.19174668087557667,0.09684838359946824,no_if_primary_alpha_score
6,15163,2.0338590423548066e-05,8.312435100021887e-06,0.5097935764690364,0.0005875230010799674,development,etf_execution_next_vwap_1m,0.20338590423548067,0.08312435100021887,no_if_primary_alpha_score
7,15150,1.1455990107195295e-05,9.36070744794737e-06,0.5106270627062707,0.0005862714816027842,development,etf_execution_next_vwap_1m,0.11455990107195295,0.0936070744794737,no_if_primary_alpha_score
8,15156,1.9987882194426384e-05,5.564334366603418e-06,0.5064660860385326,0.0005847990922466924,development,etf_execution_next_vwap_1m,0.19987882194426385,0.055643343666034184,no_if_primary_alpha_score
9,15181,2.3576208635542297e-05,1.552125770931667e-05,0.5143929912390488,0.000615255243730139,development,etf_execution_next_vwap_1m,0.23576208635542298,0.15521257709316671,no_if_primary_alpha_score
10,15157,3.6782818930801374e-05,1.8956606832043477e-05,0.5198258230520552,0.0006704126305981532,development,etf_execution_next_vwap_1m,0.36782818930801375,0.18956606832043477,no_if_primary_alpha_score
1,15159,-0.0018911601065383157,-0.0018499999999999999,0.01682169008509796,0.0008099031165525102,development,etf_execution_next_open_1m_net_base,-18.911601065383156,-18.5,no_if_primary_alpha_score
2,15173,-0.0018713982390527403,-0.0018499999999999999,0.013115402359454294,0.0007452278500169716,development,etf_execution_next_open_1m_net_base,-18.713982390527402,-18.5,no_if_primary_alpha_score
3,15145,-0.001864618119910755,-0.0018499999999999999,0.012413337735226147,0.0007355089972777241,development,etf_execution_next_open_1m_net_base,-18.64618119910755,-18.5,no_if_primary_alpha_score
4,15152,-0.0018488237988479072,-0.0018499999999999999,0.014123548046462514,0.0007406886255510375,development,etf_execution_next_open_1m_net_base,-18.48823798847907,-18.5,no_if_primary_alpha_score
5,15170,-0.0018492428611497367,-0.0018499999999999999,0.013579433091628214,0.00073018547267144,development,etf_execution_next_open_1m_net_base,-18.492428611497367,-18.5,no_if_primary_alpha_score
6,15163,-0.001845751614187011,-0.0018499999999999999,0.013190001978500296,0.000732649071932481,development,etf_execution_next_open_1m_net_base,-18.45751614187011,-18.5,no_if_primary_alpha_score
7,15150,-0.0018540808037928653,-0.0018499999999999999,0.011815181518151816,0.000722905217638955,development,etf_execution_next_open_1m_net_base,-18.540808037928652,-18.5,no_if_primary_alpha_score
8,15156,-0.0018403273421945439,-0.0018499999999999999,0.013460015835312747,0.0007330094723932928,development,etf_execution_next_open_1m_net_base,-18.40327342194544,-18.5,no_if_primary_alpha_score
9,15181,-0.0018406251827426546,-0.0018499999999999999,0.014557670772676373,0.0007596689454421006,development,etf_execution_next_open_1m_net_base,-18.406251827426544,-18.5,no_if_primary_alpha_score
10,15157,-0.0018124450615771013,-0.0018499999999999999,0.022233951309625917,0.0008322977645768317,development,etf_execution_next_open_1m_net_base,-18.124450615771014,-18.5,no_if_primary_alpha_score
1,15159,-0.0025411601065383157,-0.0025,0.006003034500956527,0.0008099031165525108,development,etf_execution_next_open_1m_net_stress,-25.411601065383156,-25.0,no_if_primary_alpha_score
2,15173,-0.0025213982390527405,-0.0025,0.00481117774995057,0.0007452278500169711,development,etf_execution_next_open_1m_net_stress,-25.213982390527406,-25.0,no_if_primary_alpha_score
3,15145,-0.0025146181199107547,-0.0025,0.004027731924727633,0.0007355089972777238,development,etf_execution_next_open_1m_net_stress,-25.146181199107545,-25.0,no_if_primary_alpha_score
4,15152,-0.0024988237988479074,-0.0025,0.00574181626187962,0.0007406886255510373,development,etf_execution_next_open_1m_net_stress,-24.988237988479074,-25.0,no_if_primary_alpha_score
5,15170,-0.002499242861149737,-0.0025,0.004350692155570204,0.00073018547267144,development,etf_execution_next_open_1m_net_stress,-24.99242861149737,-25.0,no_if_primary_alpha_score
6,15163,-0.002495751614187011,-0.0025,0.004220800633120095,0.0007326490719324813,development,etf_execution_next_open_1m_net_stress,-24.957516141870112,-25.0,no_if_primary_alpha_score
7,15150,-0.0025040808037928653,-0.0025,0.0039603960396039604,0.0007229052176389546,development,etf_execution_next_open_1m_net_stress,-25.040808037928652,-25.0,no_if_primary_alpha_score
8,15156,-0.002490327342194544,-0.0025,0.00395882818685669,0.0007330094723932931,development,etf_execution_next_open_1m_net_stress,-24.90327342194544,-25.0,no_if_primary_alpha_score
9,15181,-0.0024906251827426546,-0.0025,0.0046110269415717015,0.0007596689454421008,development,etf_execution_next_open_1m_net_stress,-24.906251827426544,-25.0,no_if_primary_alpha_score
10,15157,-0.0024624450615771017,-0.0025,0.009302632447054166,0.0008322977645768319,development,etf_execution_next_open_1m_net_stress,-24.624450615771018,-25.0,no_if_primary_alpha_score
1,15015,-9.528670576987391e-05,0.0,0.37442557442557445,0.0010056810085945227,development,etf_markout_close_3m,-0.952867057698739,0.0,no_if_primary_alpha_score
2,15066,-5.657845529823752e-05,0.0,0.38975175892738617,0.000913830957512084,development,etf_markout_close_3m,-0.5657845529823752,0.0,no_if_primary_alpha_score
3,15013,-3.7400528708168095e-05,0.0,0.398987544128422,0.0009072189584746873,development,etf_markout_close_3m,-0.37400528708168096,0.0,no_if_primary_alpha_score
4,15019,-3.229055126705883e-06,0.0,0.4160063919035888,0.0009017533146879033,development,etf_markout_close_3m,-0.032290551267058834,0.0,no_if_primary_alpha_score
5,15019,-6.714378623289599e-06,0.0,0.4170717091683867,0.0009005020139278476,development,etf_markout_close_3m,-0.06714378623289599,0.0,no_if_primary_alpha_score
6,15020,1.2622072384847902e-05,0.0,0.4262982689747004,0.0009098551675356938,development,etf_markout_close_3m,0.12622072384847902,0.0,no_if_primary_alpha_score
7,14996,1.330665360343545e-05,0.0,0.43298212856761803,0.0009005740853452085,development,etf_markout_close_3m,0.1330665360343545,0.0,no_if_primary_alpha_score
8,15017,2.9362999757076063e-05,0.0,0.436571885196777,0.0009008598196317631,development,etf_markout_close_3m,0.29362999757076064,0.0,no_if_primary_alpha_score
9,15027,4.025638338629138e-05,0.0,0.4476608770879084,0.0009288334481903702,development,etf_markout_close_3m,0.4025638338629138,0.0,no_if_primary_alpha_score
10,15042,9.353894677677335e-05,0.0,0.47307538891104906,0.0010232021060566565,development,etf_markout_close_3m,0.9353894677677336,0.0,no_if_primary_alpha_score
1,14889,-5.326750477469612e-05,0.0,0.4084223252065283,0.0011518025067799194,development,etf_execution_next_open_3m,-0.5326750477469612,0.0,no_if_primary_alpha_score
2,14932,-3.2078423368454776e-05,0.0,0.4152826145191535,0.0010553722229271064,development,etf_execution_next_open_3m,-0.3207842336845478,0.0,no_if_primary_alpha_score
3,14859,-1.9007840198143914e-05,0.0,0.42068779864055456,0.0010353491157335996,development,etf_execution_next_open_3m,-0.19007840198143913,0.0,no_if_primary_alpha_score
4,14884,4.968937758852113e-06,0.0,0.42824509540446115,0.0010277563797261194,development,etf_execution_next_open_3m,0.049689377588521134,0.0,no_if_primary_alpha_score
5,14893,2.681592047071781e-06,0.0,0.43141072987309476,0.0010122057693780556,development,etf_execution_next_open_3m,0.02681592047071781,0.0,no_if_primary_alpha_score
6,14872,6.4864515791492306e-06,0.0,0.43518020441097366,0.0010362504490365298,development,etf_execution_next_open_3m,0.0648645157914923,0.0,no_if_primary_alpha_score
7,14848,4.7062218764984265e-06,0.0,0.4346039870689655,0.0010221411556603094,development,etf_execution_next_open_3m,0.047062218764984266,0.0,no_if_primary_alpha_score
8,14889,1.253740202135555e-06,0.0,0.4325340855665256,0.0010259853232988745,development,etf_execution_next_open_3m,0.01253740202135555,0.0,no_if_primary_alpha_score
9,14894,7.101742760980247e-06,0.0,0.4384987243185175,0.0010663281792541437,development,etf_execution_next_open_3m,0.07101742760980247,0.0,no_if_primary_alpha_score
10,14902,4.905832829960223e-05,0.0,0.4534290699235002,0.0011776485250689819,development,etf_execution_next_open_3m,0.4905832829960223,0.0,no_if_primary_alpha_score
1,14887,-1.69459253717831e-05,-3.9887451517395256e-05,0.4771948680056425,0.0010524593880755155,development,etf_execution_next_vwap_3m,-0.16945925371783102,-0.39887451517395256,no_if_primary_alpha_score
2,14932,-6.870428804417597e-06,-1.5471657289045648e-05,0.48834717385480847,0.0009590215973797811,development,etf_execution_next_vwap_3m,-0.06870428804417597,-0.15471657289045648,no_if_primary_alpha_score
3,14859,2.1109476424290842e-07,-9.96816466458661e-06,0.49289992597079213,0.0009429090716162927,development,etf_execution_next_vwap_3m,0.002110947642429084,-0.0996816466458661,no_if_primary_alpha_score
4,14884,2.06327957889814e-05,-1.5753080724323354e-06,0.4981859715130341,0.0009296581812061947,development,etf_execution_next_vwap_3m,0.206327957889814,-0.015753080724323354,no_if_primary_alpha_score
5,14893,2.0829200832391946e-05,-8.538178466466206e-07,0.4988249513194118,0.0009132120776911217,development,etf_execution_next_vwap_3m,0.20829200832391945,-0.008538178466466206,no_if_primary_alpha_score
6,14872,2.2194419445705133e-05,2.163261496823665e-06,0.501210328133405,0.0009372301453427836,development,etf_execution_next_vwap_3m,0.22194419445705132,0.021632614968236652,no_if_primary_alpha_score
7,14848,2.0382513103008546e-05,6.445558097367687e-06,0.5053879310344828,0.000934401129200055,development,etf_execution_next_vwap_3m,0.20382513103008545,0.06445558097367687,no_if_primary_alpha_score
8,14889,1.1377980188114724e-05,-4.85891441981412e-06,0.49647390691114246,0.0009307694953481886,development,etf_execution_next_vwap_3m,0.11377980188114724,-0.0485891441981412,no_if_primary_alpha_score
9,14894,2.1336426133642198e-05,6.916423821334838e-06,0.5049684436685914,0.000973748362171979,development,etf_execution_next_vwap_3m,0.21336426133642197,0.06916423821334838,no_if_primary_alpha_score
10,14902,4.822741628758929e-05,8.89209190335638e-06,0.5059723527043349,0.0010699067628907263,development,etf_execution_next_vwap_3m,0.4822741628758929,0.0889209190335638,no_if_primary_alpha_score
1,14889,-0.0019032675047746962,-0.0018499999999999999,0.04674591980656861,0.0011518025067799198,development,etf_execution_next_open_3m_net_base,-19.032675047746963,-18.5,no_if_primary_alpha_score
2,14932,-0.0018820784233684548,-0.0018499999999999999,0.038440932226091615,0.0010553722229271062,development,etf_execution_next_open_3m_net_base,-18.82078423368455,-18.5,no_if_primary_alpha_score
3,14859,-0.001869007840198144,-0.0018499999999999999,0.03647620970455616,0.0010353491157335996,development,etf_execution_next_open_3m_net_base,-18.690078401981438,-18.5,no_if_primary_alpha_score
4,14884,-0.0018450310622411478,-0.0018499999999999999,0.038968019349637194,0.0010277563797261196,development,etf_execution_next_open_3m_net_base,-18.45031062241148,-18.5,no_if_primary_alpha_score
5,14893,-0.001847318407952928,-0.0018499999999999999,0.035788625528771906,0.0010122057693780554,development,etf_execution_next_open_3m_net_base,-18.473184079529283,-18.5,no_if_primary_alpha_score
