period,cost,scale,contrast,cagr_difference,conditional_low,conditional_median,conditional_high,selection_adjusted
evaluation,BASE,FULL,RESIDUAL_minus_RAW,0.02165730603131632,-0.02386960816652374,0.021331640590490718,0.07401292910240635,False
evaluation,BASE,FULL,RESIDUAL_minus_PRICE,0.04332011951711313,-0.03238326210879193,0.043092913581328954,0.12004130904707419,False
evaluation,BASE,VOL10,RESIDUAL_minus_RAW,0.003773334502233102,-0.020507014106120783,0.0038698813294367283,0.027798709935250177,False
evaluation,BASE,VOL10,RESIDUAL_minus_PRICE,0.020525955977258384,-0.025636215143646238,0.020372821085563358,0.06744169824646765,False
evaluation,STRESS,FULL,RESIDUAL_minus_RAW,0.021360949102499402,-0.024060416921716458,0.0210656639807402,0.07416984744200487,False
evaluation,STRESS,FULL,RESIDUAL_minus_PRICE,0.04274681503103147,-0.03263079236691402,0.04243830388219966,0.11957922453256012,False
evaluation,STRESS,VOL10,RESIDUAL_minus_RAW,0.0033864768476570273,-0.021015291698713374,0.003524780175756621,0.02724046143174923,False
evaluation,STRESS,VOL10,RESIDUAL_minus_PRICE,0.020030035942047122,-0.02612966447815191,0.019845407464786545,0.06656675119354925,False
earlier_diagnostic,BASE,FULL,RESIDUAL_minus_RAW,-0.03001430801347426,-0.1069644976296384,-0.0301675468425062,0.03927806190614231,False
earlier_diagnostic,BASE,FULL,RESIDUAL_minus_PRICE,-0.07056223976642058,-0.2041775953235085,-0.07284587121886073,0.060837458613850204,False
earlier_diagnostic,BASE,VOL10,RESIDUAL_minus_RAW,-0.009617080071307134,-0.05911964340636393,-0.01106295791189928,0.038809541633822754,False
earlier_diagnostic,BASE,VOL10,RESIDUAL_minus_PRICE,-0.024960311081781934,-0.09054375745295062,-0.025956318796965784,0.041641748919871165,False
earlier_diagnostic,STRESS,FULL,RESIDUAL_minus_RAW,-0.02976642745236794,-0.1064098035658521,-0.029823958174313728,0.039531101645154075,False
earlier_diagnostic,STRESS,FULL,RESIDUAL_minus_PRICE,-0.07112983877632148,-0.20442344665248044,-0.0732332006115166,0.0595543501645353,False
earlier_diagnostic,STRESS,VOL10,RESIDUAL_minus_RAW,-0.009286410824211964,-0.058839314257050204,-0.010494742925199025,0.03890315782095154,False
earlier_diagnostic,STRESS,VOL10,RESIDUAL_minus_PRICE,-0.0254030459441857,-0.0919020232420155,-0.026514443179539646,0.04100632375325675,False
